PropertyID,UniqueID,Value,Name
2,2,1,ムシとり大会：1_開始準備
2,3,0,ムシとり大会：3_終了
2,5,2,ムシとり大会：2_開始
4,7,1,ゲットファンファーレ：1_BGM開始準備
4,8,0,ゲットファンファーレ：2_ダッキング終了
5,11,1,宝さがし：1_開始準備
5,12,2,宝さがし：2_開始
5,13,0,宝さがし：3_終了
6,14,1,とたけけの夢：1_ギターあり
6,15,0,とたけけの夢：3_終了
7,16,1,コンプファンファーレ：1_開始
7,17,0,コンプファンファーレ：2_終了
6,18,2,とたけけの夢：2_ギターなし
8,19,1,作業台デモ：1_BGM開始準備
8,20,2,作業台デモ：2_BGM開始
8,21,3,作業台デモ：3_BGM終了
8,22,0,作業台デモ：4_ダッキング終了
4,24,2,ゲットファンファーレ：2_BGM開始
4,25,3,ゲットファンファーレ：3_BGM終了
9,26,1,緊急脱出デモ：1_BGM開始
9,27,3,緊急脱出デモ：3_脱出完了
9,28,2,緊急脱出デモ：2_脱出前
10,29,0,カレンダーイベント：無し
10,30,21,カレンダーイベント：カウントダウン開始
10,31,5,カレンダーイベント：ムシとり大会1回目開催
10,32,6,カレンダーイベント：ムシとり大会2回目開催
10,33,7,カレンダーイベント：ムシとり大会3回目開催
10,34,8,カレンダーイベント：ムシとり大会4回目開催
10,35,1,カレンダーイベント：春のつり大会開催
10,36,2,カレンダーイベント：夏のつり大会開催
10,37,3,カレンダーイベント：秋のつり大会開催
10,38,4,カレンダーイベント：冬のつり大会開催
12,39,1,ハチ刺され：1_ハチの巣落下_逃亡
12,40,2,ハチ刺され：2_ハチに刺された
13,41,1,しょぼんファンファーレ_ループ：1_再生
13,42,0,しょぼんファンファーレ_ループ：2_終了
12,43,0,ハチ刺され：0_BGM終了
14,44,1,しょぼんファンファーレ：1_再生
14,45,0,しょぼんファンファーレ：2_終了
15,46,0,おでかけデモ：0_再生しない
15,47,1,おでかけデモ：1_ビジター出発直前
15,48,2,おでかけデモ：2_ビジター飛行中
15,49,3,おでかけデモ：3_ホスト待ち演出
15,50,4,おでかけデモ：4_ホスト到着
16,51,0,村内放送：0_再生しない
16,52,1,村内放送：1_村内放送たぬきちBGM開始
16,53,2,村内放送：2_村内放送しずえBGM開始
17,54,0,プロローグデモ：0_再生しない
17,55,1,プロローグデモ：1_カウンターBGM開始
18,56,0,蚊さされデモ：0_終了
18,57,1,蚊さされデモ：1_開始
9,58,4,緊急脱出デモ：4_キャンセル
12,59,3,ハチ刺され：3_屋内に逃亡
19,60,0,年明けデモ：0_終了
19,61,1,年明けデモ：1_再生
21,63,1,ゲットファンファーレ_追撃するハチ用：1_BGM開始準備
21,64,0,ゲットファンファーレ_追撃するハチ用：4_ダッキング終了
21,65,2,ゲットファンファーレ_追撃するハチ用：2_BGM開始
21,66,3,ゲットファンファーレ_追撃するハチ用：3_BGM終了
22,67,1,序盤BGM：1_自宅場所決め
22,68,2,序盤BGM：2_NPC宅場所決め
22,69,3,序盤BGM：3_枝と果物集め
22,70,4,序盤BGM：4_キャンプファイヤー
22,71,5,序盤BGM：5_オートセーブ解禁から自宅建設まで
22,72,6,序盤BGM：6_自宅建設から商店完成まで
22,73,7,序盤BGM：7_商店完成から案内所完成まで
22,74,0,序盤BGM：0_再生しない
15,75,5,おでかけデモ：5_DALロゴ_行き
15,76,6,おでかけデモ：6_DALロゴ_帰り
23,77,0,シーンBGM：再生しない
24,78,1,BGM一時停止：1_停止
24,79,0,BGM一時停止：0_解除
25,80,0,キャンプファイヤー：0_再生しない
25,81,1,キャンプファイヤー：1_再生
15,84,7,おひらきデモ：7_ビジター空港
15,85,8,おひらきデモ：8_ホスト空港
27,86,0,落とし穴：0_解除
27,87,1,落とし穴：1_落とし穴にはまった
23,88,1,シーンBGM：メインフィールド
10,89,25,カレンダーイベント：イースター当日
28,90,0,ジューンブライド会話デモ：0_再生しない
28,91,1,ジューンブライド会話デモ：1_再生
29,92,0,ジューンブライド挙式デモ：0_再生しない
29,93,1,ジューンブライド挙式デモ：1_再生開始
30,94,0,ジューンブライド撮影スタジオ：0_通常
30,95,1,ジューンブライド撮影スタジオ：1_初回
