UniqueID,Label
2,Evfl_InsectFesState
4,GetDemoState
5,Evfl_TreasureHuntState
6,Evfl_PrologueTKKState
7,CompFanfareState
8,DIYFanfareState
9,EmergencyEscapeDemoState
10,CalendarEvent
12,BeeStingsState
13,UnluckyFanfareLoop
14,UnluckyFanfare
15,NetDemoState
16,AnnounceDemoState
17,PrologueDemoState
18,MosquitoBitesState
19,NewYearDemoState
21,GetDemoState_Bee
22,PrologueBgmPhase
23,SceneType
24,BgmPauseState
25,CampfireBgmState
27,PitfallBgmState
28,JuneBrideTalkDemoState
29,JuneBrideWeddingDemoState
30,JuneBrideStudioState
31,YumemiDemoWakeUpState
32,YumemiFieldBgmDelay
33,EventAnnounceState
34,HarvestCookingState
35,CarnivalDanceDemoState
36,RadioExerciseState_v20000
37,OrderDemoState_v20000
38,KappeiSong_State_v20000
41,FortuneDemoState_v20000
42,DALFanfareWherearen_v20000
43,CeremonyWherearenState_v20000
44,IntroduceEditFacilityState_v20000
45,WherearenCompleteDemoState_v20000
46,SchoolEvent_v20000
47,FortuneDemoType_v20000
48,CoffeeDemoType_v20000
49,TakeOrderCameraDemoState_v20000
50,HairStylingDemoState_v20000
51,PartyDemoBgmState_v20000
52,SickDemoBgmState_v20000
53,ShareHouseConsultantDemoBgmState_v20000
54,WhereranIntroductionDemoBgmState_v20000
55,EnvSoundDemoState_v20000
56,JuneBridePreTalkDemoState_v20000
57,RemakeDemoState_v20000
58,CafeAmiiboDemoState_v20000
60,PhotographyIntroDemoState_v20000
61,EditFacilityPreEnd_v20000
62,OneRoomVisitorDemoState_v20000
63,VisitorEnteringDemoState_v20000
64,OneRoomShareHouseEndDemoState_v20000
