UniqueID,ItemID,IsAppearNorth,IsAppearSouth,IsHide1,IsHide2_1,IsHide2_2,IsHide3,IsHide4,f659c43b u8,70cdb695 u8,6278197b u8,bb916530 u8,a924cade u8,a6945588 u8,b421fa66 u8,IsVariable
0,2567,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2839,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4525,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4526,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
4,4527,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
5,4528,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
6,3277,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,3278,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,3279,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,2833,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,2270,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
11,2854,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,7411,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,2831,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
14,7308,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2266,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2267,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
17,2269,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
18,2268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,2265,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
