BaseColorB,BaseColorG,BaseColorR,HighlightColorB,HighlightColorG,HighlightColorR,UniqueID,Label,Name
0.022,0.022,0.022,0.06,0.06,0.06,0,HairColor0,HairColor0
0.016,0.02,0.04,0.016,0.045,0.08,1,HairColor1,HairColor1
0.024,0.023,0.082,0.06,0.06,0.2,2,HairColor2,HairColor2
0.016,0.04,0.21,0.016,0.08,0.28,3,HairColor3,HairColor3
0.12,0.12,0.12,0.18,0.18,0.18,4,HairColor4,HairColor4
0.2879,0.2539,0.1541,0.3559,0.3559,0.1421,5,HairColor5,HairColor5
0.33,0.12,0.02,0.52,0.086,0.016,6,HairColor6,HairColor6
0.238,0.3,0.046,0.3,0.36,0.06,7,HairColor7,HairColor7
0.035,0.2,0.376,0.0583,0.2478,0.4227,8,HairColor8,HairColor8
0.114,0.32,0.328,0.106,0.38,0.42,9,HairColor9,HairColor9
0.036,0.1356,0.016,0.05,0.17,0.02,10,HairColor10,HairColor10
0.0386,0.0386,0.391,0.0693,0.0693,0.49,11,HairColor11,HairColor11
0.3399,0.1634,0.3659,0.387,0.214,0.413,12,HairColor12,HairColor12
0.2379,0.1881,0.597,0.0737,0.1739,0.603,13,HairColor13,HairColor13
0.0407,0.12,0.4904,0.0421,0.1246,0.527,14,HairColor14,HairColor14
0.2685,0.3232,0.3232,0.4269,0.4451,0.4451,15,HairColor15,HairColor15
