BackRotateOffsetX,BackRotateOffsetY,BackRotateOffsetZ,BackTransOffsetX,BackTransOffsetY,BackTransOffsetZ,FrontRotateOffsetX,FrontRotateOffsetY,FrontRotateOffsetZ,FrontTransOffsetX,FrontTransOffsetY,FrontTransOffsetZ,LeftRotateOffsetX,LeftRotateOffsetY,LeftRotateOffsetZ,LeftTransOffsetX,LeftTransOffsetY,LeftTransOffsetZ,PeakRotateOffsetX,PeakRotateOffsetY,PeakRotateOffsetZ,PeakTransOffsetX,PeakTransOffsetY,PeakTransOffsetZ,RightRotateOffsetX,RightRotateOffsetY,RightRotateOffsetZ,RightTransOffsetX,RightTransOffsetY,RightTransOffsetZ,TopRotateOffsetX,TopRotateOffsetY,TopRotateOffsetZ,TopTransOffsetX,TopTransOffsetY,TopTransOffsetZ,UniqueID,CapResName,InvisibleEarL,InvisibleEarR,Label,Name,ResName
-90,-90,-18,6.05,-1.51,0,-90,-90,0,6.2,0.4,0,227,178,88,5.25,-0.45,2.38,-90,-90,-2.8,6.3,-0.3,0,227,2,88,5.25,-0.45,-2.54,-90,-90,-2.8,5.95,-0.3,0,0,,0,0,HairStyle0,Hair00,PlayerHair00
-90,-90,-18,6.05,-1.51,0,-90,-90,0,6.2,0.96,0,220,190,88,5.58,0.31,2.09,-90,-90,0,6.3,0.03,0,220,-10,88,5.64,0.31,-2.14,-90,-90,-2.8,6,-0.3,0,1,,0,0,HairStyle1,Hair01,PlayerHair01
-90,-90,-36.7,6.57,-1.95,0,-90,-90,0,6.2,1.9,0,237,178,88,5.25,-0.45,2.85,-90,-90,0,7.24,0.27,0,237,2,88,5.25,-0.45,-2.93,-90,-90,-8.6,6.75,-0.3,0,2,,1,1,HairStyle2,Hair02,PlayerHair02
-90,-90,-32.8,5.72,-2.38,0,-90,-90,0,6.2,1.58,0,230,160,88,5.25,-1.25,2.5,-90,-90,-18.4,6.27,-1.14,0,230,20,88,5.25,-1.25,-2.6,-90,-90,-34,5.42,-2.1,0,3,PlayerHairCap03,0,0,HairStyle3,Hair03,PlayerHair03
-90,-90,-18,6.05,-1.51,0,-90,-90,0,6.2,0.76,0,227,178,88,5.25,-0.45,2.55,-90,-90,-2.8,6.3,-0.3,0,227,2,88,5.25,-0.45,-2.71,-90,-90,-2.8,5.95,-0.3,0,4,,0,0,HairStyle4,Hair04,PlayerHair04
-90,-90,-26.2,6.35,-1.95,0,-90,-90,0,6.2,0.96,0,233,178,88,5.25,-0.45,2.78,-90,-90,-2.8,6.72,-0.375,0,233,2,88,5.3,-0.45,-2.9,-90,-90,-8,6.3,-0.75,0,5,PlayerHairCap05,1,1,HairStyle5,Hair05,PlayerHair05
-90,-90,-35.2,6.29,-2.22,0,-90,-90,0,6.2,0.95,0,237,178,88,5.25,-0.45,2.8,-90,-90,-4.2,6.8,-0.48,0,237,2,88,5.25,-0.45,-2.95,-90,-90,-14.5,6.3,-1.06,0,6,,0,1,HairStyle6,Hair06,PlayerHair06
-90,-90,-15.3,6.55,-2.21,0,-90,-90,0,6.1,0.96,0,235,182,88,5.25,-0.45,2.8,-90,-90,3.5,6.7,-0.3,0,235,-2,88,5.25,-0.45,-2.95,-90,-90,0,6.5,-0.65,0,7,PlayerHairCap07,1,1,HairStyle7,Hair07,PlayerHair07
-90,-90,-22,6.72,-2.26,0,-90,-90,0,6.2,1.26,0,237,178,88,5.25,-0.45,3.25,-90,-90,-1.1,7,-0.86,0,237,2,88,5.3,-0.45,-3.35,-90,-90,-2.1,6.6,-0.91,0,8,PlayerHairCap08,0,0,HairStyle8,Hair08,PlayerHair08
-90,-90,-20.3,6.3,-1.74,0,-90,-90,0,6.2,1.01,0,233,178,88,5.25,-0.45,2.95,-90,-90,-16.2,6.4,-1.38,0,233,2,88,5.25,-0.45,-3.1,-90,-90,-2.8,6.26,-0.37,0,9,PlayerHairCap09,0,0,HairStyle9,Hair09,PlayerHair09
-90,-90,-17.3,6.61,-1.88,0,-90,-90,0,6.2,1.43,0,242,175,88,5.25,-0.45,2.85,-90,-90,-1.1,6.94,-0.05,0,242,5,88,5.25,-0.45,-2.95,-90,-90,-11.5,6.6,-0.8,0,10,PlayerHairCap10,1,1,HairStyle10,Hair10,PlayerHair10
-90,-90,-30.5,6.2,-2.4,0,-90,-90,0,6.2,1.14,0,237,178,88,5.25,-0.45,2.85,-90,-90,-1.7,6.73,-0.3,0,237,2,88,5.3,-0.45,-2.95,-90,-90,-2.8,6.4,-0.53,0,11,,1,1,HairStyle11,Hair11,PlayerHair11
-90,-90,-23.8,6.36,-2.09,0,-90,-90,0,6.2,0.9,0,235,182,88,5.25,-0.45,3,-90,-90,-1.68,6.72,-0.5,0,235,-2,88,5.25,-0.45,-3.05,-90,-90,-2.8,6.38,-0.65,0,12,PlayerHairCap12,0,0,HairStyle12,Hair12,PlayerHair12
-90,-90,-30,6,-2.04,0,-90,-90,4.65,6.35,1,0,230,178,88,5.25,-0.45,2.6,-90,-90,-2.8,6.5,-0.23,0,230,2,88,5.3,-0.45,-2.7,-90,-90,-6,6.13,-0.5,0,13,,0,0,HairStyle13,Hair13,PlayerHair13
-90,-90,-23.1,6.72,-2.16,0,-90,-90,0,6.45,1.8,0,220,155,88,6.3,-0.38,3.45,-90,-90,-9.8,7.02,-1.04,0,210,10,88,6.1,0.47,-3.65,-90,-90,-26.5,6.33,-2.23,0,14,PlayerHairCap14,0,0,HairStyle14,Hair14,PlayerHair14
-90,-90,-13.8,6.21,-1.43,0,-90,-90,0,6.2,0.51,0,227,170,88,5.25,-0.65,2.5,-90,-90,0,6.35,-0.3,0,227,10,88,5.25,-0.65,-2.55,-90,-90,-2.8,6,-0.3,0,15,,0,0,HairStyle15,Hair15,PlayerHair15
-90,-90,-18,6.05,-1.51,0,-90,-90,0,6.2,0.93,0,225,193,88,5.4,0.25,2.28,-90,-90,-2.8,6.32,-0.15,0,225,-13,88,5.4,0.25,-2.43,-90,-90,-2.8,6,-0.3,0,16,,0,0,HairStyle16,Hair16,PlayerHair16
-90,-90,-28,5.87,-2.4,0,-90,-90,3,6.3,0.66,0,230,178,88,5.25,-0.45,2.7,-90,-90,-22.5,6.12,-1.8,0,230,2,88,5.25,-0.45,-2.82,-90,-90,-9,6.05,-0.8,0,17,,0,0,HairStyle17,Hair17,PlayerHair17
