CheekOrangeColorB,CheekOrangeColorG,CheekOrangeColorR,CheekPinkColorB,CheekPinkColorG,CheekPinkColorR,SkinBaseColorB,SkinBaseColorG,SkinBaseColorR,SkinEdgeColorB,SkinEdgeColorG,SkinEdgeColorR,UniqueID,Label,Name
0.68,0.8,1,0.84,0.82,1,0.33,0.52,0.94,0.09,0,0.7,0,SkinColor0,SkinColor0
0.68,0.8,1,0.84,0.82,1,0.25,0.47,0.91,0.09,0,0.7,1,SkinColor1,SkinColor1
0.68,0.8,1,0.84,0.82,1,0.218,0.428,0.854,0.09,0,0.7,2,SkinColor2,SkinColor2
0.68,0.8,1,0.84,0.82,1,0.1225,0.296,0.686,0.08,0.08,0.5,3,SkinColor3,SkinColor3
0.68,0.8,1,0.84,0.82,1,0.079,0.2509,0.552,0.08,0.08,0.35,4,SkinColor4,SkinColor4
0.6,0.75,1,0.8,0.77,0.95,0.038,0.151,0.365,0.03,0.016,0.11,5,SkinColor5,SkinColor5
0.55,0.7,1,0.74,0.7,0.9,0.02,0.09,0.23,0.03,0.016,0.11,6,SkinColor6,SkinColor6
0.4,0.6,1,0.65,0.6,0.9,0.016,0.04,0.12,0.03,0.02,0.09,7,SkinColor7,SkinColor7
0.68,0.8,1,0.84,0.82,1,0.78,0.78,0.76,0.03,0.02,0.09,8,SkinColor8,SkinColor8
0.6,0.75,1,0.8,0.77,0.95,0.15,0.35,0.23,0.03,0.016,0.11,9,SkinColor9,SkinColor9
0.68,0.8,1,0.84,0.82,1,0.54,0.33,0.12,0.03,0.016,0.11,10,SkinColor10,SkinColor10
0.7,0.8,1,0.84,0.82,1,0.75,0.18,0.23,0.03,0.016,0.11,11,SkinColor11,SkinColor11
