fdb1f290.HashRef,DefaultValue,FlagsFlowAccess,FlagsNetAccess,MaxValue,UniqueID,Key,Name,SendPlayReport,SyncNoCheck
Pre,0,EnableReadOnly,ReadOnly,1,0,TodayCreateVillage,今日村作成されたか,1,0
Pre,0,DisableAccess,ReadOnly,1,1,TodayPlayerEmigrate,今日プレイヤが移住してきたか？,1,0
None,0,EnableReadOnly,ReadOnly,1,2,TkkFirstLive,とたけけ|初ライブを行ったか,1,0
None,0,EnableReadWrite,ReadOnly,1,3,FinishiPC1Prologue,PC1の序盤プロローグ完了時にON,1,0
None,0,EnableReadWrite,ReadOnly,1,4,IsMovingConsultationToPlayer,NPCが引越相談をした,1,0
None,0,EnableReadWrite,ReadOnly,1,5,EnableMarketBuild,まめつぶ商店建築条件満たした,1,0
None,0,EnableReadWrite,ReadOnly,1,6,ValidateVillageSave,村データが有効化された,1,0
Pre,0,EnableReadWrite,ReadOnly,5,7,FreeEChatTimes,村で告知会話を聞いた回数,1,0
Pre,0,EnableReadWrite,ReadOnly,5,8,FreeFChatTimes,村でイベント会話を聞いた回数,1,0
None,0,DisableAccess,ReadOnly,65535,10,RandomKey,ランダムキー,1,0
None,0,EnableReadWrite,ReadOnly,1,11,DoneMuseumConstruction,博物館建築工事完了,1,0
None,0,EnableReadWrite,ReadOnly,1,12,Prologue4BuiltPlayer,序盤プレイヤーテント設置したか？,1,0
None,0,EnableReadWrite,ReadOnly,1,13,Plorogue4BuiltMuseum,博物館|フータテント予定地設置したか？,1,0
None,0,EnableReadWrite,ReadOnly,1,14,Prologue4BuiltShop,商店の工事看板設置したか？,1,0
None,0,EnableReadWrite,ReadOnly,1,15,Prologue4BuiltNpcAN,序盤ANテント設置したか？,1,0
None,0,EnableReadWrite,ReadOnly,1,16,Prologue4BuiltNpcHA,序盤HAテント設置したか？,1,0
Pre,0,EnableReadWrite,ReadOnly,1,17,TodayStartTown1P,1Pが村誕生させた初日か？,1,0
None,0,DisableAccess,ReadOnly,1,18,ShopItemSet,商店に商品を置いてよいか？,1,0
