FlagLand,FlagPlayer,LifeSupportStamp*,MaxValue1,MaxValue2,MaxValue3,MaxValue4,MaxValue5,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,WaitFrame,UniqueID,IsSpecial,Key,MaxLevel,Name
FFFFFFFF,FFFFFFFF,Event,1,0,0,0,0,1F4,1F4,3E8,7D0,BB8,0,0,53,0,ImmigratetoIsland,1,島に移住した
3,FFFFFFFF,Fish,A,64,1F4,7D0,1388,12C,1F4,3E8,7D0,BB8,0,0,0,0,CatchFish,5,サカナを釣った
FFFFFFFF,FFFFFFFF,Fish,A,14,28,3C,50,12C,1F4,3E8,7D0,BB8,0,0,3,0,FillFishList,5,サカナ図鑑を埋めた
3,FFFFFFFF,Communication,1,A,14,1E,32,12C,1F4,3E8,7D0,BB8,0,0,68,0,GreetAllVillager,5,村民全員とあいさつをした
3,FFFFFFFF,Insect,A,64,1F4,7D0,1388,12C,1F4,3E8,7D0,BB8,0,0,1,0,CatchInsect,5,ムシを捕まえた
FFFFFFFF,FFFFFFFF,Insect,A,14,28,3C,50,12C,1F4,3E8,7D0,BB8,0,0,4,0,FillInsectList,5,ムシ図鑑を埋めた
FFFFFFFF,FFFFFFFF,DIY,A,32,64,96,C8,12C,1F4,3E8,7D0,BB8,0,0,55,0,FillRecipeList,5,集めたレシピの数
FFFFFFFF,FFFFFFFF,Seafood,5,32,FA,3E8,9C4,12C,1F4,3E8,7D0,BB8,0,0,98,0,CatchSeafood,5,海の幸をGETした回数
FFFFFFFF,FFFFFFFF,Seafood,5,A,14,1E,28,12C,1F4,3E8,7D0,BB8,0,0,95,0,FillSeafoodList,5,海の幸図鑑を埋めた数
FFFFFFFF,FFFFFFFF,DIY,5,32,C8,3E8,BB8,12C,1F4,3E8,7D0,BB8,0,0,72,0,DIYTool,5,道具をDIYした
FFFFFFFF,FFFFFFFF,DIY,5,32,C8,3E8,BB8,12C,1F4,3E8,7D0,BB8,0,0,73,0,DIYFurniture,5,家具をDIYした
FFFFFFFF,FFFFFFFF,DIY,5,14,32,64,C8,12C,1F4,3E8,7D0,BB8,0,0,14,0,RemakeFurniture,5,リメイクをした
FFFFFFFF,FFFFFFFF,DIY,14,64,1F4,7D0,1388,12C,1F4,3E8,7D0,BB8,0,1E,67,0,StrikeWood,5,木からもくざいを出した
FFFFFFFF,FFFFFFFF,HHA,1,14,32,64,C8,12C,1F4,3E8,7D0,BB8,0,0,49,0,BreakTool,5,道具を壊した
FFFFFFFF,FFFFFFFF,HHA,1,0,0,0,0,1F4,1F4,3E8,7D0,BB8,0,0,57,0,StrikeRock8Times,1,コイン岩を8連打した
FFFFFFFF,FFFFFFFF,HHA,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,61,0,DigFossil,1,化石を掘り出した
FFFFFFFF,FFFFFFFF,HHA,5,1E,64,12C,1F4,12C,1F4,3E8,7D0,BB8,0,0,62,0,JudgeFossil,5,化石を鑑定した
FFFFFFFF,FFFFFFFF,Plant,32,C8,3E8,7D0,BB8,12C,1F4,3E8,7D0,BB8,0,0,37,0,SellWeed,5,雑草を引き取ってもらった
3,FFFFFFFF,Plant,A,32,64,C8,12C,12C,1F4,3E8,7D0,BB8,0,0,6,0,PlantFlowerSeed,5,花の種を植えた
FFFFFFFF,FFFFFFFF,Plant,A,32,64,1F4,3E8,12C,1F4,3E8,7D0,BB8,0,3C,23,0,WaterPlant,5,水やりをした
FFFFFFFF,FFFFFFFF,Plant,5,A,1E,0,0,12C,1F4,3E8,7D0,BB8,0,0,8,0,PlantTreeSeedling,3,木の苗を植えた
3,FFFFFFFF,Plant,14,64,1F4,3E8,BB8,12C,1F4,3E8,7D0,BB8,0,0,70,0,SellFruit,5,フルーツを売った
FFFFFFFF,FFFFFFFF,Plant,0,0,0,0,0,64,C8,12C,1F4,2BC,3E8,0,7,1,PlantFruit,6,6種類のフルーツを植えた
FFFFFFFF,FFFFFFFF,Plant,1,5,14,0,0,12C,1F4,3E8,0,0,0,0,92,0,PlantBushSeedling,3,各種低木の苗を植えた
3,FFFFFFFF,Fish,A,32,C8,1F4,3E8,12C,1F4,3E8,7D0,BB8,0,0,69,0,SellShell,5,貝殻を売った
42,FFFFFFFF,Fish,5,14,32,64,C8,12C,1F4,3E8,7D0,BB8,0,0,63,0,DigShell,5,潮干狩りをした
FFFFFFFF,FFFFFFFF,Fish,3,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,32,0,CatchTrash,3,ゴミを釣った
FFFFFFFF,FFFFFFFF,Fish,A,32,64,0,0,12C,1F4,3E8,7D0,BB8,0,0,2,0,CatchFishContinuously,3,連続で釣りを成功させた回数の最高記録
FFFFFFFF,FFFFFFFF,Event,1,2,5,6,7,1F4,3E8,7D0,BB8,1388,0,0,82,0,ExtendMyHome,5,マイホームを増築した
FFFFFFFF,FFFFFFFF,Event,1,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,40,0,GetSRankonHHA,1,HHAでSを取った
FFFFFFFF,FFFFFFFF,Event,5,F,1E,64,96,12C,3E8,7D0,BB8,1388,0,0,78,0,PlaceFurnitureMyHouse,5,家に飾っている家具の数
FFFFFFFF,FFFFFFFF,Event,14,32,64,C8,12C,12C,3E8,7D0,BB8,1388,0,0,77,0,HouseStorageItem,5,家の倉庫に収納したアイテムの数
FFFFFFFF,FFFFFFFF,Event,1,3,5,0,0,1F4,3E8,7D0,BB8,1388,0,0,81,0,ReformMyHome,3,マイホームをリフォームした
FFFFFFFF,FFFFFFFF,Communication,1,A,32,64,12C,12C,1F4,3E8,7D0,BB8,0,0,59,0,AchieveVillagersQuest,5,どうぶつのお願いを聞いた
FFFFFFFF,FFFFFFFF,Communication,1,A,14,1E,2A,12C,1F4,3E8,7D0,BB8,0,0,31,0,FillReactionList,5,リアクションを覚えた
3,FFFFFFFF,Smartphone,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,75,0,TakePicture,1,カメラで写真を撮った
3,FFFFFFFF,Smartphone,1,0,0,0,0,12C,3E8,7D0,BB8,1388,0,0,87,0,UpdatePassport,1,パスポートを更新した
FFFFFFFF,FFFFFFFF,Smartphone,A,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,76,0,BootPhoneBeginner,1,スマホを起動した(初級)
FFFFFFFF,FFFFFFFF,Smartphone,3E8,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,56,0,BootPhone,1,スマホを起動した(上級)
FFFFFFFF,FFFFFFFF,Smartphone,1,14,32,64,C8,12C,1F4,3E8,7D0,BB8,0,0,16,0,BuyItemCatalog,5,通販を利用した
FFFFFFFF,FFFFFFFF,Smartphone,64,C8,12C,190,1F4,12C,1F4,3E8,7D0,BB8,0,0,15,0,FillCatalog,5,カタログの項目数
FFFFFFFF,140,Smartphone,5,32,C8,3E8,BB8,12C,1F4,3E8,7D0,BB8,0,0,58,0,AchieveAppQuest,5,村活クエストを達成した
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,12,0,BuyItemRcm,1,まめきちの店で買い物した
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,13,0,SellItemRcm,1,まめきちの店で売った
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,1F4,1F4,3E8,7D0,BB8,0,0,33,0,PayImmigrationCost,1,移住費用を支払った
FFFFFFFF,FFFFFFFF,Money,1388,C350,7A120,1E8480,4C4B40,12C,1F4,3E8,7D0,BB8,0,0,11,0,HowmuchBuyItem,5,これまでの買い物総額
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,9,0,BuyKabu,1,カブを買った
FFFFFFFF,FFFFFFFF,Money,3E8,2710,186A0,F4240,989680,12C,1F4,3E8,7D0,BB8,0,0,10,0,HowmuchSellKabu,5,カブで得た累計利益
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,34,0,RepayLoan,1,ローンを完済した
3,FFFFFFFF,Communication,1,0,0,0,0,12C,3E8,7D0,BB8,1388,0,0,83,0,PostMessageBoard,1,自分の島の掲示板に書き込む
FFFFFFFF,FFFFFFFF,Communication,5,14,32,64,C8,12C,1F4,3E8,7D0,BB8,0,0,50,0,SendLetter,5,手紙を送った
FFFFFFFF,FFFFFFFF,Insect,1,5,A,0,0,12C,1F4,3E8,7D0,BB8,0,0,26,0,CatchNomi,3,ノミを取ってあげた
FFFFFFFF,FFFFFFFF,Insect,1,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,25,0,CatchSeminonukegara,1,セミのぬけがらを取った
FFFFFFFF,FFFFFFFF,Insect,1,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,71,0,CatchBeeContinuously,1,ハチを5連続捕まえた
FFFFFFFF,FFFFFFFF,HHA,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,51,0,MakePitfall,1,落とし穴を作った
FFFFFFFF,FFFFFFFF,Negative,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,24,0,BeStungbyWasp,1,ハチに刺された
FFFFFFFF,FFFFFFFF,Negative,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,27,0,BeStungbyPoisonousInsect,1,こわいムシで気絶した
FFFFFFFF,FFFFFFFF,Negative,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,52,0,FallintoPitfall,1,落とし穴に落ちた
FFFFFFFF,FFFFFFFF,Negative,1,0,0,0,0,1F4,3E8,7D0,BB8,1388,0,0,90,0,DonateFake,1,寄贈しようとした美術品が贋作だった
FFFFFFFF,FFFFFFFF,Negative,1,0,0,0,0,1F4,3E8,7D0,BB8,1388,0,0,80,0,DropPresentinWater,1,風船のプレゼントを撃ち水の中に落とした
FFFFFFFF,FFFFFFFF,LandMaking,5,14,32,64,12C,12C,1F4,3E8,7D0,BB8,0,0,5,0,ShootDownBalloon,5,ふうせんを撃ち落とした
FFFFFFFF,1DE,LandMaking,14,0,0,0,0,1F4,3E8,7D0,BB8,1388,0,0,89,0,BuildFence,1,柵を置く
FFFFFFFF,FFFFFFFF,LandMaking,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,45,0,MakePerfectSnowball,3,最高のゆきだるまを作った
FFFFFFFF,FFFFFFFF,LandMaking,1,1E,C8,0,0,12C,3E8,7D0,BB8,1388,0,0,85,0,PrayShootingStar,3,流れ星に祈る
3,FFFFFFFF,LandMaking,A,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,3C,64,0,PutFurnitureOutside,1,外に家具を置いた
3B,FFFFFFFF,LandMaking,0,0,0,0,0,1F4,1F4,7D0,BB8,1388,0,0,86,1,ChangeSymbol,2,島の旗、島メロを変える
FFFFFFFF,201,LandMaking,0,0,0,0,0,1F4,3E8,3E8,BB8,1388,0,0,88,1,ModifyIsland,3,各地形造成をやってみた
FFFFFFFF,FFFFFFFF,Communication,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,44,0,HelpGst,3,ゆうたろうを助けた
FFFFFFFF,FFFFFFFF,Communication,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,43,0,HelpGul,3,ジョニーを助けた
FFFFFFFF,FFFFFFFF,Communication,1,A,1E,3C,64,12C,1F4,3E8,7D0,BB8,0,0,17,0,GotoTotakekeShow,5,とたけけのライブを観た
FFFFFFFF,FFFFFFFF,Communication,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,91,0,BuyatTsunekichiShop,3,いなりマーケットで芸術品を買った
FFFFFFFF,FFFFFFFF,Communication,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,96,0,GiveScallopsToSeo,3,ラコスケにホタテを渡した回数
FFFFFFFF,FFFFFFFF,Communication,1,2,3,0,0,12C,1F4,3E8,7D0,BB8,0,0,54,0,BeFriendwithVillager,3,どうぶつとなかよしになった
FFFFFFFF,FFFFFFFF,Communication,1,A,14,0,0,12C,1F4,3E8,7D0,BB8,0,0,47,0,CelebrateVillagersBithday,3,村民の誕生日を祝ってあげた
FFFFFFFF,FFFFFFFF,Event,1,0,0,0,0,7D0,1F4,3E8,7D0,BB8,0,0,46,0,ReachMyBirthday,1,誕生日を迎えた
FFFFFFFF,FFFFFFFF,Fish,0,0,0,0,0,12C,1F4,3E8,7D0,BB8,1388,0,41,1,AttendFishingConvention,4,釣り大会に春夏秋冬参加した
FFFFFFFF,FFFFFFFF,Insect,0,0,0,0,0,12C,1F4,3E8,7D0,BB8,1388,0,42,1,AttendInsectConvention,4,ムシとり大会に6～9月参加した
FFFFFFFF,FFFFFFFF,Event,1,0,0,0,0,3E8,1F4,3E8,7D0,BB8,0,0,48,0,AttendCountdownParty,1,カウントダウンに参加した
FFFFFFFF,FFFFFFFF,MyDesign,1,0,0,0,0,1F4,3E8,7D0,BB8,1388,0,0,84,0,UseCloset,1,クローゼットで着替える
3,FFFFFFFF,MyDesign,1,0,0,0,0,1F4,1F4,3E8,7D0,BB8,0,0,35,0,UseMydesign,1,マイデザインを使った
FFFFFFFF,FFFFFFFF,MyDesign,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,36,0,UseMydesignPRO,1,マイデザインPROを使った
FFFFFFFF,FFFFFFFF,Money,1,0,0,0,0,12C,1F4,3E8,7D0,BB8,0,0,60,0,DigBell,1,ベルを掘り出した
FFFFFFFF,FFFFFFFF,Plant,1,A,14,32,64,12C,3E8,7D0,BB8,1388,0,0,79,0,FallFurnitureLeaf,5,木を揺すって家具（葉っぱ）を落とした回数
FFFFFFFF,FFFFFFFF,HHA,0,0,0,0,0,12C,1F4,3E8,7D0,BB8,1388,0,39,1,CollectGoldTool,6,6種類の金の道具を集めた
FFFFFFFF,FFFFFFFF,Communication,1,5,A,0,0,12C,1F4,3E8,7D0,BB8,0,0,18,0,VisitAnotherIsland,3,よその島へのおでかけした
FFFFFFFF,FFFFFFFF,Communication,1,5,A,0,0,12C,1F4,3E8,7D0,BB8,0,0,19,0,InviteFriend,3,島にフレンドを招いた
FFFFFFFF,FFFFFFFF,Event,3,14,32,64,12C,12C,1F4,3E8,7D0,BB8,0,0,21,0,DayPlayed,5,活動日数
