DefaultValue,MaxValue,UniqueID,3dad9135 u8,3c7fb88f u8,FlagsFlowAccess,Key,Name
0,1,0,0,0,2,TreasureQuestPlayerWin,宝探しクエストプレイヤー勝利
0,65535,1,0,0,1,CatchFesGetPoint,ムシ取り、つり大会|獲得ポイント
0,1,2,0,1,2,RcoDoneDIYmeselfNow,たぬきち|このシーンでたぬきちテント作業台でDIYした
0,1,3,0,1,2,RcoDonationNow,たぬきち|このシーンで虫魚寄贈した
0,1,4,0,1,2,KinuyoTalkSceneFlag,きぬよ|このシーンで会話した？
0,1,5,0,1,2,SkkTalkSceneFlag,シャンク|このシーンで会話した？
0,1,6,0,1,2,ReijiTalkSceneFlag,レイジ|このシーンで会話した？
0,1,7,0,1,2,RcmTalkSceneFlag,まめきち|このシーンで会話した？
0,1,8,0,0,2,WHEREAREN_CustomerTalkReserve_Garden,OneRoom|顧客強制会話予約（庭）
0,1,9,0,1,2,OwlWokeHimUp,フータ|この会話の冒頭で起こした
0,1,10,0,0,2,SickQuestGossip,病気クエストうわさフラグ
0,1,11,0,0,2,WHEREAREN_CustomerTalkReserve_House,OneRoom|顧客強制会話予約（家）
0,1,12,0,1,2,RcmSellItemSingle,まめきち|アイテム買取単品
0,1,13,0,1,2,RcmViaItemCheck,まめきち|陳列品チェックした
0,5,14,0,1,2,TownNewsTopicCount,村内放送|村内放送のトピック数
0,2,15,0,1,2,TownNewsConnectCount,村内放送|村内放送の連結メッセージ表示回数
0,5,16,0,0,2,CatchBeeCount,ハチを連続で捕まえた回数用カウント
0,65535,17,0,0,2,CatchInsectFesGetNum,ムシ取り大会|ムシ取得数
0,1,18,0,1,2,FtrChestCheck,タンス｜このシーンでチェックした？
0,1,19,0,0,2,WHEREAREN_OtgTalkReserve_Office,OneRoom|タクミ強制会話予約（事務所）
0,1,20,0,1,2,SzaTalkInsideOffice,しずえ|役場シーン内で会話した？
0,1,21,0,1,2,FoxBuyNowFlag,つねきち|今回の入店中に買い物した？
0,1,22,0,1,0,FoxCheckItemFlag0,つねきち|今回の入店中にAのアイテムをチェックした？
0,1,23,0,1,0,FoxCheckItemFlag1,つねきち|今回の入店中にBのアイテムをチェックした？
0,1,24,0,1,0,FoxCheckItemFlag2,つねきち|今回の入店中にCのアイテムをチェックした？
0,1,25,0,1,0,FoxCheckItemFlag3,つねきち|今回の入店中にDのアイテムをチェックした？
0,1,26,0,1,0,FoxCheckItemFlag4,つねきち|今回の入店中にEのアイテムをチェックした？
0,1,27,0,1,0,FoxCheckItemFlag5,つねきち|今回の入店中にFのアイテムをチェックした？
0,1111,28,0,1,2,PcDonation4TownOfficeChk,役場建設用寄贈品の所持状況チェック
0,1,29,0,1,2,PcAvailableDonation4TownOffice,役場建設用に寄贈できるものを持っているか？
0,1,30,0,0,2,WHEREAREN_MncTalkReserve_Garden,OneRoom|ニコ強制会話予約（庭）
0,65535,31,0,0,2,CatchFishFesGetNum,つり大会|サカナ取得数
0,1,32,0,1,2,RcoTentAskedHintTmp,たぬきち|「何すればいい？」選択した
0,1,33,0,1,2,OwlKnownFossil,フータ|初化石選択が鑑定済化石だった
0,3,34,0,1,2,NnpcApproachSelectCount,アプローチ会話|内容を再抽選した回数
0,1,35,0,1,2,PrologueArrivalTalked,つぶまめ序盤到着会話直後か？
0,1,36,0,1,2,RctTalkSceneFlag,つぶきち|このシーンで会話した？
0,1,37,0,0,2,RcmSellCampingStuff,まめきち|序盤に支給品を売却しようとした
0,1,38,0,1,2,RcoTalkSceneFlag,たぬきち|このシーンで会話した？
0,1,39,0,1,2,GotRecipeorMaterial,DIY会話|レシピか素材をもらった直後である
0,1,40,0,0,2,WHEREAREN_PostEditEventDone,OneRoom|エディット後イベントが行われた
0,1,41,0,1,2,RcmBoughtGrocery,まめきち|今回のシーケンス中にUIで買い物した
0,1,42,0,1,2,DodTalkSceneFlag,飛行場職員|このシーンで会話した？
0,1,43,0,0,2,MysteryTourTalkSceneFlag,ミステリーツアー|このシーンでNNPCと会話した？
0,99,44,0,1,2,NnpcTalkSelectCount,基本会話｜雑談を再抽選した回数
0,1,45,0,1,1,SzaCountDownHatColorMatch,しずえ|カウントダウンで渡す帽子が服の色にあうか
0,1,46,0,0,1,ForceToolBreakDemo,道具|強制壊れデモ
0,1,47,0,1,2,ImmQPutInFtrNow,移住クエスト|今箱に家具を入れたか？
0,3,48,0,1,2,ImmQCompleteCountNow,たぬきち|この会話中で何件目の完成通知か？
0,1,49,0,1,2,HghEnterBalloon,きぬよ|入店時バルーンを出した
0,1,50,0,1,2,HghExitBalloon,きぬよ|退店時バルーンを出した
0,1,51,0,1,2,CampInviteInProgress,キャンプ勧誘会話中
0,1,52,0,1,2,RcoOfficeFirstTalkNow,たぬきち|このシーンで案内所建物初会話をした
0,1,53,0,0,2,WHEREAREN_OtgTalkReserve_Facility,OneRoom|タクミ強制会話予約（施設）
0,1,54,0,1,2,SzaIslandEvaluationUnlockNow,しずえ|このシーンで村の環境が解禁した
0,1,55,0,1,2,RcoMachineTalkCntl,タヌポート強制会話制御用フラグ
0,1,56,0,1,2,RcmEnterBalloon,まめきち|入店時バルーンを出した
0,1,57,0,1,2,RcmExitBalloon,まめきち|退店時バルーンを出した
0,1,58,0,1,2,RctEnterBalloon,つぶきち|入店時バルーンを出した
0,1,59,0,1,2,RctExitBalloon,つぶきち|退店時バルーンを出した
0,1,60,0,0,2,StoreSellFruitChk,店でフルーツを売ろうとした
0,1,61,0,1,2,RcmShopshelfCheck,まめきち|棚をチェックした
0,1,62,0,1,2,HghNoticeTicket,きぬよ|したてやクーポン持ってることに言及した
0,3,63,0,1,2,ImmQPutInFtrNum,移住クエスト|残り家具の数いくつ？
0,1,64,0,1,2,RcoForceTalk,たぬきち|この移住クエスト完了会話が強制会話か？
0,1,65,0,0,2,MysteryTourInviteFlag,ミステリーツアー|勧誘後、会話した？
0,1,66,0,0,2,DocCommuneIslandFirstTalkDone,ロドリー|コミューン島到着強制会話済
0,1,67,0,1,2,RcoAccessWorkingTable,たぬきち|作業台アクセス経由の会話か？
0,1,68,0,1,2,RcoHeardKkProjectNow,たぬきち|けけプロジェクトの存在をこのシーンで聞いた？
0,1,69,0,1,2,AppUrgentEscapePaidMileNow,緊急脱出|このシーケンスでマイル支払った？
0,3,70,0,1,2,ImmQNowHandInFtrNum,移住クエスト|今提出成功した家具の数いくつ？
0,1,71,0,1,2,NFPControllerAssertDone,NFP読み込み不可警告を表示済(コントローラー）
0,1,72,0,1,2,NFPFlightModeAssertDone,NFP読み込み不可警告を表示済(フライトモード）
0,1,73,0,0,2,PhotoStudioAmiiboInfoDone,撮影スタジオのamiibo解説ダイアログを表示した
0,1,74,0,1,2,RcoHeardOfficeOBJ,同一シーン内で案内所BOXかポートの説明聞いた
0,1,75,0,0,2,GrowupNsoServerOptimization,成長処理時の独自サーバ最適化をおこなうか？
0,1,77,0,1,2,TalkClothesPNow,今ClothesPを見た
0,1,78,0,1,2,CampGameStartFailed,アイテムがいっぱいでキャンプ場のゲームを開始できなかった
0,3,80,0,1,2,OfficeTalkSitDown,案内所|会話制御用：座り中？
0,6,81,0,1,2,CampSetTool,キャンパーが装備している道具
0,1,82,0,1,2,CampGameHitRare,キャンプゲームでレア枠が抽選された
0,1,83,0,0,2,CampCurrentSceneTalkDone,キャンパーとシーン中に会話したか？
0,1,84,0,0,2,WHEREAREN_MncTalkReserve_Bridge,OneRoom|ニコ強制会話予約（桟橋）
0,1,85,0,0,2,VisitPReceivedGift,訪問Pで手土産もらった
0,1,87,0,0,2,QuestCancell,クエスト断った
0,1,88,0,1,2,TailorChkObject,仕立て屋でオブジェクト系にアクセス中
0,1,89,0,1,2,PynTalkNowFlag,ぴょんたろう|この場で会話した？
0,1,90,0,1,2,MyDesignExchangeNotFoundOpus,マイデザイン交換| 作品が見つからなかった
0,5,91,0,1,2,TradeTalkCount,訪問N｜家具取引中に会話した回数
0,1,92,0,0,2,CampInviteRejected,キャンプ場の移住勧誘を断られた（通常来訪）
