036dd90c.HashRef,EventType,EventWeatherArea,24e5b19d.HashRef,PlacementKind,PlacementOfficeType,EventFtrUniqueID,EventObjUniqueID,OffsetX,OffsetZ,UniqueID,CalendarEventKey,b8e42602 u8,DisableInDream,4906e466 u8,LandFlagKeyOFF,LandFlagKeyON,LandTempFlagKeyOFF,NpcSpLabel,PlacementKey,VisitorNpcLabel
EventNone,PermanentObj,All,None,EventObj,All,0,0,0,0,0,EventNone,0,0,0,,,,,Invalid,
EventNone,PermanentObj,All,None,EventObj,All,0,1,3,5,1,EventNone,0,0,0,,EventPlazaBuilt,,,P_EventNone_EventObj_0,
EventNone,PermanentObj,All,None,EventObj,All,0,2,1,1,2,EventNone,0,0,0,,BuiltTownOffice,,,P_EventNone_EventObj_1,
EventNone,PermanentObj,All,None,EventObj,All,0,2,21,1,3,EventNone,0,0,0,,BuiltTownOffice,,,P_EventNone_EventObj_2,
InsectConvention,CalendarEvent,All,None,EventObj,All,0,3,14,10,4,InsectConvention,0,1,0,,,,,E_InsectConvention_EventObj_0,
FishingConvention,CalendarEvent,All,None,EventObj,All,0,4,14,10,5,FishingConvention,0,1,0,,,,,E_FishingConvention_EventObj_0,
Countdown,CalendarEvent,All,None,EventObj,All,0,5,17,6,6,Countdown,0,1,0,,,,,E_Countdown_EventObj_0,
InsectConvention,CalendarEvent,All,None,NPC,All,0,0,12,14,7,InsectConvention,0,1,0,,,,chy,E_InsectConvention_NPC_0,
FishingConvention,CalendarEvent,All,None,NPC,All,0,0,12,14,8,FishingConvention,0,1,0,,,,bey,E_FishingConvention_NPC_0,
EventNone,PermanentObj,All,None,EventObj,All,0,14,10,9,9,EventNone,0,1,0,ChangePlazaFtrToNormal,SetPrologueBonfire,,,P_EventNone_EventObj_4,
TotakekeLive,CalendarEvent,All,None,NPC,All,0,0,11,9,10,TotakekeLive,0,1,0,TkkReturn,,,tkkA,E_TotakekeLive_NPC_0,
