FgUniqueID,ItemUniqueID,ReBodyID,UniqueID
60346,3402,0,7
60764,3402,1,71
60600,3402,2,12
60618,3402,3,11
60617,3402,4,8
60619,3402,5,9
60620,3402,6,10
60763,3402,7,70
60541,4357,0,13
60639,4357,1,14
60641,4357,2,16
60640,4357,3,15
60759,4357,4,18
60760,4357,5,17
60758,4357,6,19
60757,4357,7,20
60598,5207,0,21
60636,5207,1,22
60637,5207,2,23
60638,5207,3,24
60634,5207,4,25
60635,5207,5,26
60633,5207,6,27
60632,5207,7,28
60596,5208,0,29
60603,5208,1,30
60631,5208,2,32
60626,5208,3,36
60627,5208,4,35
60630,5208,5,31
60628,5208,6,33
60629,5208,7,34
60610,11711,0,50
60065,11711,1,51
60614,11711,2,55
60613,11711,3,54
60616,11711,4,56
60564,11711,5,52
60597,11711,6,53
60615,11711,7,57
60611,11712,0,37
60602,11712,1,38
60622,11712,2,41
60372,11712,3,39
60625,11712,4,40
60624,11712,5,43
60623,11712,6,42
60621,11712,7,44
60685,12894,0,45
60686,12894,1,46
60683,12894,2,49
60681,12894,3,48
60682,12894,4,47
60767,12894,5,72
60766,12894,6,73
60765,12894,7,74
60644,14756,0,0
60649,14756,1,1
60650,14756,2,2
60651,14756,3,3
60647,14756,4,4
60646,14756,5,5
60648,14756,6,6
60743,14758,0,58
60753,14758,1,59
60754,14758,2,60
60752,14758,3,61
60756,14758,4,78
60761,14758,5,76
60762,14758,6,75
60755,14758,7,77
60744,14759,0,62
60745,14759,1,63
60749,14759,2,64
60747,14759,3,65
60746,14759,4,66
60748,14759,5,67
60750,14759,6,68
60751,14759,7,69
