ActionRange,75fee4b0.HashRef,MeshEdgeDirType,FallActionType,Layer,PlaneChangeType,7674c4d6.HashRef,SuccessResult,ActionLockRange,FallToRiver,MainType,UpdateParts
1x1,NoChange,RightToSlant,None,No0,NoChange,None,Make,0,0,5,0
3x3,NoChange,RightToSlant,None,No0,NoChange,None,Break,1,1,0,0
3x3,NoChange,RightToSlant,None,No0,NoChange,1x1,Make,1,1,1,0
3x3,NoChange,RightToSlant,None,No1,NoChange,None,Make,1,0,6,0
3x3,NoChange,RightToSlant,None,No1,NoChange,1x1,Make,1,0,6,0
3x3,NoChange,RightToSlant,None,No1,NoChange,None,Break,1,0,0,0
3x3,AddCliffLevel,RightToSlant,None,No0,CliffAll,1x1,Make,1,0,3,0
3x3,RemoveHistory,RightToSlant,None,No0,CliffAll,1x1,Break,1,0,0,0
3x3,RemoveHistory,RightToSlant,None,No0,CliffAll,1x1,Break,1,0,0,0
3x3,NoChange,RightToSlant,MakeFall,No0,NoChange,1x1,Make,1,0,1,0
3x3,NoChange,RightToSlant,BreakFall,No0,NoChange,None,Break,1,1,3,0
3x3,NoChange,RightToSlant,None,No0,NoChange,1x1,Break,1,0,0,1
3x3,NoChange,SlantToRight,None,No0,NoChange,1x1,Break,1,0,0,1
3x3,NoChange,RightToSlant,None,No0,NoChange,1x1,Make,1,0,0,1
3x3,NoChange,SlantToRight,None,No0,NoChange,1x1,Make,1,0,0,1
3x3,NoChange,RightToSlant,None,No1,NoChange,None,Break,1,0,0,1
3x3,NoChange,SlantToRight,None,No1,NoChange,None,Break,1,0,0,1
