PartsKind,ReefType,UniqueID,ModelName
WherearenIslands,NW_convexity,257,FldOutWherearenNW00
WherearenIslands,W_flat,258,FldOutWherearenW00
WherearenIslands,SW_flat,259,FldOutWherearenSW00
WherearenIslands,S_flat,260,FldOutWherearenS01
WherearenIslands,SE_concavity,261,FldOutWherearenSE00
WherearenIslands,N_flat,262,FldOutWherearenN00
WherearenIslands,N_flat,263,FldOutWherearenN01
WherearenIslands,NE_flat,264,FldOutWherearenNE00
WherearenIslands,E_flat,266,FldOutWherearenE00
WherearenIslands,S_flat,267,FldOutWherearenS02
PhotoStudio,S_convexity,240,FldOutPhotoSBridge00
PhotoStudio,SW_convexity,242,FldOutPhotoSW00
PhotoStudio,SE_convexity,241,FldOutPhotoSE00
S_Isolated,S_convexity,222,FldOutSBridge00
S_Isolated,S_convexity,243,FldOutSBridge02
S_Isolated,S_convexity,244,FldOutSBridge01
SeaDemo,N_flat,289,FldOutMidSea00
WherearenIslands,SE_concavity,269,FldOutSESeaOnly00
WherearenIslands,E_concavity,270,FldOutESeaOnly00
WherearenIslands,NE_concavity,271,FldOutNESeaOnly00
WherearenIslands,NW_concavity,272,FldOutNWSeaOnly00
WherearenIslands,SW_concavity,273,FldOutSWSeaOnly00
WherearenIslands,S_concavity,274,FldOutSSeaOnly00
WherearenIslands,N_concavity,275,FldOutNSeaOnly00
WherearenIslands,S_concavity,312,FldOutSSeaOnly01
WherearenIslands,S_concavity,314,FldOutSSeaOnly02
WherearenIslands,W_concavity,276,FldOutWSeaOnly00
WherearenIslands,S_concavity,301,FldOutSeaGardenS00
WherearenIslands,N_flat,277,FldOutCenterIsland01
WherearenIslands,N_flat,278,FldOutCenterIsland02
WherearenIslands,N_flat,288,FldOutCenterIsland03
WherearenIslands,N_flat,290,FldOutCenterIsland04
WherearenIslands,N_flat,291,FldOutCenterIsland05
WherearenIslands,N_flat,308,FldOutCenterIsland06
WherearenIslands,N_flat,313,FldOutCenterIsland07
WherearenIslands,N_flat,281,FldOutNGarden00
WherearenIslands,N_flat,282,FldOutCenterSand00
WherearenIslands,N_flat,280,FldOutSGarden00
WherearenIslands,N_flat,285,FldOutSGardenL00
WherearenIslands,N_flat,286,FldOutSGardenR00
WherearenIslands,N_flat,292,FldOutCenterIslandL00
WherearenIslands,N_flat,293,FldOutCenterIslandR00
WherearenIslands,N_flat,294,FldOutCenterIslandLBack00
WherearenIslands,N_flat,295,FldOutCenterIslandRBack00
WherearenIslands,N_flat,302,FldOutCenterIslandL01
WherearenIslands,N_flat,303,FldOutCenterIslandR01
WherearenIslands,N_flat,283,FldOutNGardenL00
WherearenIslands,N_flat,316,FldOutNGardenLFront00
WherearenIslands,N_flat,284,FldOutNGardenR00
WherearenIslands,N_flat,317,FldOutNGardenRFront00
WherearenIslands,N_flat,309,FldOutNGardenL01
WherearenIslands,N_flat,310,FldOutNGardenR01
WherearenIslands,N_flat,304,FldOutCenterLock00
