E0Parts,E1Parts,E2Parts,E3Parts,N0Parts,N1Parts,N2Parts,N3Parts,N4Parts,NEParts,NWParts,S0Parts,S1Parts,S2Parts,S3Parts,S4Parts,SEParts,SWParts,SeaType,TemplateKind,W0Parts,W1Parts,W2Parts,W3Parts,WindDirection,UniqueID,EnglishName
E_Beach,E_Stone,E_Promontory,E_Beach,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_UpEnd_Entry,W_DownEnd,W_Beach,W_Stone,DNE_NNW,19,FldOutTemplateA00
E_UpEnd_Entry,E_DownEnd,E_Beach,E_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_Stone,W_Beach,W_Promontory,W_Beach,DNE_NNW,21,FldOutTemplateA01
E_Beach,E_Promontory,E_Stone,E_Beach,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_Stone,W_UpEnd_Entry,W_DownEnd,W_Beach,DNE_NNW,22,FldOutTemplateA02
E_Stone,E_UpEnd_Entry,E_DownEnd,E_Beach,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_Beach,W_Stone,W_Beach,W_Promontory,DNW_NNE,23,FldOutTemplateA03
E_Promontory,E_Beach,E_Stone,E_Beach,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_Stone,W_Beach,W_UpEnd_Entry,W_DownEnd,DNW_NNE,25,FldOutTemplateA04
E_Beach,E_Stone,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_Beach,W_Promontory,W_Stone,W_Beach,DNW_NNE,24,FldOutTemplateA05
E_Promontory,E_Beach,E_Beach,E_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_UpEnd_Entry,W_DownEnd,W_Stone,W_Beach,DNE_NNW,20,FldOutTemplateA06
E_UpEnd_Entry,E_DownEnd,E_Stone,E_Beach,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_Promontory,W_Beach,W_Beach,W_Stone,DNE_NNW,17,FldOutTemplateA07
E_Stone,E_Beach,E_Beach,E_Promontory,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_River,S_Airport_L,S_Airport_R,S_Beach,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_Beach,W_UpEnd_Entry,W_DownEnd,W_Stone,DNE_NNW,18,FldOutTemplateA08
E_Beach,E_UpEnd_Entry,E_DownEnd,E_Stone,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Beach,SW_Jetty,3B,3B_S2,W_Promontory,W_Stone,W_Beach,W_Beach,DNW_NNE,16,FldOutTemplateA09
E_Beach,E_Stone,E_Promontory,E_Beach,N_Stone,N_Tsunekiti,N_Stone,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_Beach,W_Stone,W_UpEnd_Entry,W_DownEnd,DNW_NNE,15,FldOutTemplateA10
E_Stone,E_Beach,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_River,S_Beach,S_Airport_L,S_Airport_R,S_River,SE_Jetty,SW_Beach,3B,3B_S2,W_Stone,W_Beach,W_Beach,W_Promontory,DNW_NNE,14,FldOutTemplateA11
E_UpEnd_Entry,E_DownEnd,E_Beach,E_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Promontory,W_River,W_Stone,W_Beach,DNW_NNE,26,FldOutTemplateB00
E_Stone,E_UpEnd_Entry,E_DownEnd,E_Beach,N_Stone,N_Stone,N_Stone,N_Tsunekiti,N_Stone,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Promontory,W_River,W_Beach,W_Stone,DNW_NNE,27,FldOutTemplateB01
E_Beach,E_Stone,E_UpEnd_Entry,E_DownEnd,N_Stone,N_Stone,N_Stone,N_Stone,N_Tsunekiti,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Promontory,W_River,W_Stone,W_Beach,DNW_NNE,28,FldOutTemplateB02
E_Beach,E_Stone,E_Promontory,E_Beach,N_Stone,N_Stone,N_Tsunekiti,N_Stone,N_Stone,NE_Stone,NW_Stone,S_Airport_L,S_Airport_R,S_Beach,S_River,S_Beach,SE_Jetty,SW_Beach,3B,3B_SW,W_Beach,W_River,W_Stone,W_Beach,DNW_NNE,29,FldOutTemplateB03
