EmoticonTool,LowerSetting,UISortID,UniqueID,9f5123d4 u8,d5217761 u8,AsCommand,CancelFootSE,CancelFootprint,Comment,DisableEmoticon,Misc,MoveAs,ToolAsCommand
None,DisableOnlyLowerBody,10,50,2,255,MaReGreeting,0,0,【漫符】会釈,0,30,0,
None,DisableOnlyLowerBody,12,39,3,255,MaReNodding,0,0,【漫符】うなずく,0,30,0,
None,DisableOnlyLowerBody,13,58,3,255,MaReNegative,0,0,【漫符】首横ふり,0,30,0,
None,DisableOnlyLowerBody,14,120,3,255,MaReHello,0,0,【漫符】首かしげ,0,30,0,
None,DisableOnlyLowerBody,20,19,3,255,MaReSmiling,0,0,【漫符】ニコニコ,0,30,0,
None,DisableOnlyLowerBody,30,21,3,255,MaReHappyFlower,1,0,【漫符】ハッピー,0,30,0,
None,DisableOnlyLowerBody,40,23,3,255,MaReHappyDance,1,0,【漫符】うきうき,0,30,0,
None,DisableOnlyLowerBody,50,20,3,255,MaReLaughing,0,0,【漫符】笑う,0,30,0,
None,DisableOnlyLowerBody,60,22,3,255,MaReLove,0,0,【漫符】ラブ,0,30,0,
None,DisableOnlyLowerBody,70,127,2,255,MaReAssent,0,0,【漫符】おまかせ,0,30,0,
None,DisableOnlyLowerBody,80,62,3,255,MaReShaki,1,0,【漫符】シャキーン,0,30,0,
None,DisableOnlyLowerBody,90,60,3,255,MaReDance,0,0,【漫符】決めポーズ,0,30,0,
None,DisableOnlyLowerBody,92,51,3,255,MaReSmugFace,0,0,【漫符】ドヤ顔,0,30,0,
None,DisableOnlyLowerBody,95,49,3,255,MaReCheering,0,0,【漫符】大声,0,30,0,
None,DisableOnlyLowerBody,98,47,2,255,MaReClapping,0,0,【漫符】拍手,0,30,0,
None,DisableOnlyLowerBody,100,126,3,255,MaReApologize,0,0,【漫符】またこんど,0,30,0,
None,DisableOnlyLowerBody,200,253,3,255,MaRePardon,0,0,【漫符】ん？,0,30,0,
