263c3ced.HashRef,ItemShopSeasonality,ParentItemName,UniqueID,FashionThemeDaily,FashionThemeFairyland,FashionThemeFomal,FashionThemeHorror,FashionThemeOutdoor,FashionThemeParty,FashionThemeRelax,FashionThemeSport,FashionThemeStage,FashionThemeVacation,FashionThemeWork,83ccbe0f string64,Label,Name,UseColorGroupSort
None,AllYear,65534,0,0,0,0,0,0,0,0,0,0,0,0,,None,-,0
None,AllYear,2402,18,1,0,1,0,0,0,0,0,0,0,1,,TopsTexTopCoatL,トレンチコート,0
None,AllYear,2781,19,1,0,0,0,0,0,0,1,0,0,0,,TopsTexTopTshirtsHKungfu,カンフーなふく,0
FesDance,AllYear,3058,20,0,0,0,0,0,0,0,1,1,0,0,,TopsTexOnepieceAlineNCheer,チアのコスチューム,0
None,Winter,2401,21,1,0,0,0,1,0,0,1,0,0,0,,TopsTexTopOuterLStajanBlue,スタジャン,0
None,AllYear,2498,22,1,0,0,0,0,0,1,0,0,0,0,,TopsTexTopTshirtsHNumberball3,３ばんだまのふく,0
None,AllYear,2541,23,1,0,0,0,0,0,1,0,0,0,0,,TopsTexTopTshirtsHNumberball2,２ばんだまのふく,0
Drink_JuiceGrass,AllYear,2599,24,0,0,1,0,0,1,0,0,1,0,0,,TopsTexOnepieceBalloonNSatin,サテンのワンピース,0
None,Summer,2670,25,0,1,0,0,0,0,1,0,0,1,0,,TopsTexTopTshirtsNCamisole,シンプルフリルキャミソール,0
None,AllYear,2672,26,1,0,1,0,0,0,0,0,0,0,0,,TopsTexTopYshirtsLChina,チャイナふく,0
None,AllYear,2674,27,1,0,0,0,0,0,1,0,0,0,0,,TopsTexTopTshirtsLRaglan,ラグランＴシャツ,0
None,AllYear,2677,28,1,1,0,0,0,0,0,0,0,0,0,,TopsTexOnepieceAlineLTweed,ツイードワンピース,0
None,AllYear,2686,29,1,1,0,0,0,0,0,0,0,0,0,,TopsTexOnepieceAlineHPolkadotSpring,はるのみずたまワンピース,0
Hula,Summer,2687,30,0,0,0,0,0,0,1,0,0,1,0,,TopsTexOnepieceAlineNMuumuu,パインがらムームー,0
None,AllYear,2699,31,0,0,1,0,0,1,0,0,0,0,0,,TopsTexOnepieceBoxLYosoiki,よそいきなふく,0
None,AllYear,2706,32,0,0,0,0,0,1,0,0,0,0,0,,TopsTexOnepieceBoxNRetroGreen,レトロボックスワンピース,0
Gymnastics,AllYear,2727,33,0,0,0,0,0,0,0,1,0,0,1,,TopsTexTopTshirtsNBasketballshirtsPurple,バスケシャツ,0
None,AllYear,2746,35,1,0,1,0,0,0,1,0,0,0,0,,TopsTexTopOuterNKnit,ノースリーブのニット,0
None,Winter,2778,37,1,0,0,0,1,0,0,0,0,0,0,,TopsTexTopOuterLDownjacketBlue,ダウンジャケット,1
None,Summer,2783,38,1,1,0,0,0,0,0,0,0,0,0,,TopsTexOnepieceAlineHYumeiro,ゆめいろこうしワンピース,0
None,AllYear,2784,39,0,0,1,0,0,1,0,0,0,0,1,,TopsTexOnepieceBoxLEnsembleBlue,せいそなアンサンブル,0
None,AllYear,8338,40,1,0,1,0,0,0,0,0,0,0,1,,TopsTexTopYshirtsLWhite,ワイシャツ,0
None,Summer,3054,41,0,1,0,0,0,1,0,0,0,1,0,,TopsTexOnepieceBalloonHPolkadotBlue,ベルトつきみずたまワンピース,0
None,Summer,3055,42,1,0,1,0,0,0,0,0,0,0,0,,TopsTexTopTshirtsHSailor,はんそでセーラーふく,1
None,AllYear,3056,43,1,0,0,0,0,0,1,1,0,0,0,,TopsTexTopOuterLParkaGray,シンプルなパーカー,0
None,AllYear,3057,44,1,0,0,0,0,0,0,0,0,0,0,,TopsTexTopTshirtsLSmockTulip,スモック,0
None,AllYear,3069,45,1,1,0,0,0,0,0,0,0,0,0,,TopsTexOnepieceAlineHFlowerPink,はながらワンピース,0
None,AllYear,3070,46,0,1,0,0,0,1,0,0,1,0,0,,TopsTexOnepieceBalloonLLolita,ロリータなワンピース,0
None,AllYear,3095,47,1,0,0,0,0,0,0,0,0,0,1,,SocksTexTights,ストッキング,0
None,AllYear,3096,48,0,0,0,0,0,1,0,0,1,0,0,,SocksTexAmitights,あみタイツ,0
None,AllYear,3128,49,1,0,0,0,0,0,0,0,0,0,1,,TopsTexOnepieceBoxLChidori,ちどりごうしワンピース,0
Drink_JuiceGrass,AllYear,3131,50,0,0,1,0,0,1,0,0,0,0,0,,TopsTexOnepieceBoxHParty,パーティーワンピ,0
None,AllYear,3134,51,0,0,0,0,0,1,0,0,1,0,1,,TopsTexOnepieceBoxLBubbly,バブリーなセットアップ,0
HappyWait,AllYear,3135,52,0,1,0,0,0,1,0,0,0,0,0,,TopsTexOnepieceBalloonNXmasRed,クリスマスなドレス,0
None,AllYear,3137,53,0,1,0,0,0,0,0,0,1,0,0,,TopsTexOnepieceBalloonHHoodRed,メルヘンなドレス,1
None,AllYear,3138,54,0,1,1,0,0,0,0,0,1,0,1,,TopsTexOnepieceBalloonHMaid,メイドのふく,0
Book,AllYear,3140,56,0,0,1,0,0,0,0,0,0,0,1,,TopsTexTopCoatLAcademicdress,がくしのふく,0
None,AllYear,8876,58,0,0,0,0,0,0,0,0,0,0,1,,TopsTexOnepieceBalloonHWaitress,ダイナーのユニフォーム,0
None,Summer,3144,59,1,0,1,0,0,0,0,0,0,0,1,,TopsTexTopYshirtsHWhite,はんそでワイシャツ,0
None,Summer,8347,60,1,0,0,0,0,0,0,0,0,1,0,,TopsTexTopYshirtsNWhite,ノースリーブえりつきシャツ,0
None,AllYear,3146,61,0,1,0,0,0,1,0,0,0,0,0,,TopsTexOnepieceAlineLRabbit,ウサギなふく,0
SmugFace,AllYear,3147,62,0,1,1,1,0,0,0,0,1,0,0,,TopsTexTopCoatLPirate,かいぞくのコート,0
Shaki,AllYear,3159,63,0,1,0,0,0,0,0,0,1,0,1,,TopsTexOnepieceAlineLHeroine,ヒロインスーツ,1
None,Winter,3164,64,0,0,0,0,0,0,1,0,0,0,0,,TopsTexTopCoatLHanten,はんてん,0
Drink_JuiceGrass,AllYear,3165,65,0,0,0,0,0,0,1,0,0,0,0,,TopsTexOnepieceBoxLBathrobes,バスローブ,0
Dance,AllYear,3166,66,0,1,0,0,0,0,0,1,1,0,1,,TopsTexOnepieceBalloonNBallet,バレエのいしょう,0
None,Winter,3167,67,0,1,0,0,0,1,0,0,1,0,0,,TopsTexOnepieceAlineLCat,ネコなふく,0
None,AllYear,3168,68,1,0,1,0,0,0,0,0,0,0,0,,TopsTexOnepieceBalloonHTyrolean,チロリアンなドレス,0
HappyWait,AllYear,3169,69,0,1,0,0,0,1,0,0,0,0,0,,TopsTexOnepieceAlineNXmastreeNormal,もみのきワンピース,1
