ItemKind1,ItemKind10,ItemKind11,ItemKind12,ItemKind13,ItemKind14,ItemKind15,ItemKind2,ItemKind3,ItemKind4,ItemKind5,ItemKind6,ItemKind7,ItemKind8,ItemKind9,UniqueID,CheckDonation,ItemNum,Label
77,141,141,141,141,141,141,78,141,141,141,141,141,141,141,0,0,1,RcoDonationForMuseum
77,141,141,141,141,141,141,78,84,85,141,141,141,141,141,1,1,1,OwlTentDonation0
77,141,141,141,141,141,141,78,84,141,141,141,141,141,141,2,1,1,OwlTentDonation1
77,141,141,141,141,141,141,78,84,141,141,141,141,141,141,3,1,-1,OwlDonation
77,141,141,141,141,141,141,78,84,85,141,141,141,141,141,4,0,1,OwlCommentary
85,141,141,141,141,141,141,141,141,141,141,141,141,141,141,5,0,-1,OwlFossilJudgement
85,141,141,141,141,141,141,84,141,141,141,141,141,141,141,6,0,1,Fossils
77,141,141,141,141,141,141,78,84,132,133,134,135,141,141,7,1,-1,OwlDonation1_2
77,141,141,141,141,141,141,78,84,132,133,134,135,79,141,8,1,-1,OwlDonation1_3
77,141,141,141,141,141,141,78,84,79,141,141,141,141,141,9,1,-1,OwlDonation1_4
132,141,141,141,141,141,141,133,134,135,141,141,141,141,141,10,0,1,OwlDonation1_5
79,141,141,141,141,141,141,141,141,141,141,141,141,141,141,11,0,1,OwlDonation1_6
77,141,141,141,141,141,141,78,84,85,132,133,134,135,141,12,0,1,OwlCommentary1
77,141,141,141,141,141,141,78,84,85,79,141,141,141,141,13,0,1,OwlCommentary2
77,141,141,141,141,141,141,78,84,85,132,133,134,135,79,14,0,1,OwlCommentary3
77,141,141,141,141,141,141,78,84,79,141,141,141,141,141,15,1,1,OwlTentDonation3
78,141,141,141,141,141,141,79,60,54,59,81,141,141,141,17,0,1,HarvestFoodStuff1
78,141,141,141,141,141,141,79,60,54,59,81,141,141,141,18,0,2,HarvestFoodStuff2
78,141,141,141,141,141,141,79,60,54,59,81,141,141,141,19,0,3,HarvestFoodStuff3
