HHABaseScore,UniqueID,8f225c6 u8,Label,Name,RegionEventItem
0,0,0,None,なし,0
103,47,0,ShopDefault,店_初期,0
103,17,0,ShopMiscGoods,店_雑貨,0
201,19,0,ShopLargeGoods,店_大型,0
251,21,0,ShopHighClass,店_高級,0
151,55,0,ShopLv1,店_店舗小,0
151,213,0,ShopLv1_Dec,店_店舗小_12月,0
151,56,0,ShopLv2,店_店舗大,0
201,20,0,ShopSeasonSale,店_季節限定,0
0,37,0,MarketAlways,店_固定,0
103,140,0,DefaultFtr,初期支給家具,0
151,13,0,MarketingRouteA,店_流通A(家具設定不可),0
151,15,0,MarketingRouteC,店_流通C(家具設定不可),0
151,14,0,MarketingRouteB,店_流通B(家具設定不可),0
151,16,0,MarketingRouteD,店_流通D(家具設定不可),0
3,81,0,ShopUmbrellaLv1,店_カサ小,0
3,82,0,ShopUmbrellaLv2,店_カサ大,0
0,108,0,ShopWrappingPaper,店_ラッピングペーパー,0
0,135,0,ShopCracker,店_クラッカー,0
0,138,0,ShopTimer,店_店舗大固定,0
0,93,0,ShopVarietyFishingRod,店_店売り：つりざお,0
0,94,0,ShopVarietyNet,店_店売り：あみ,0
0,95,0,ShopVarietyShovel,店_店売り：スコップ,0
0,96,0,ShopVarietyWatering,店_店売り：ジョウロ,0
0,97,0,ShopVarietySlingShot,店_店売り：パチンコ,0
0,178,0,ShopVarietyManieSuit,店_店売り：水着,0
0,72,0,Shop_EnableShovel,店_スコップ解禁,0
0,71,0,Shop_EnableAxe,店_オノ解禁,0
0,118,0,ShopRecipeBook2,店_レシピブック2,0
0,218,0,ShopReaction,店_リアクション_カーニバル,0
0,88,0,ShopRemakeKit,店_リメイクキット,0
0,84,0,Shop_EnableRecipeWatering,店_レシピ解禁(ジョウロ),0
0,85,0,Shop_EnableRecipeScoop,店_レシピ解禁(スコップ高跳び),0
0,141,0,Shop_EnableRecipeLadder,店_レシピ解禁(ハシゴ),0
151,66,0,SonkatsuRewardTent,マイル交換_初期,0
171,70,0,SonkatsuRewardShop,マイル交換_プラス,0
0,105,0,MileExchangeOnce,マイル交換_プラス(買い切り),0
103,32,0,SonkatsuReward2,マイル交換_案内所,0
0,92,0,MileExchangePhoneCase,マイル交換_スマホケース,0
0,86,0,MileExchangeLicense,マイル交換_工事ライセンス(買い切り),0
0,129,0,MileExchangePocket40,マイル交換_持ち物欄40(買い切り),0
0,187,0,MileExchangeNewColor,マイル交換_新規カラー(買い切り),0
0,207,0,MileExchangeReaction,マイル交換_リアクション(買い切り),0
83,130,0,MileExchangeRecipe1,マイル交換_家具レシピ800,0
121,131,0,MileExchangeRecipe2,マイル交換_家具レシピ1500,0
171,132,0,MileExchangeRecipe3,マイル交換_家具レシピ2000,0
221,133,0,MileExchangeRecipe4,マイル交換_家具レシピ3000,0
403,134,0,MileExchangeRecipe5,マイル交換_家具レシピ5000,0
0,192,0,MileExchangeMydesignPro2,マイル交換_マイデザインPRO2(買い切り),0
0,224,0,MileExchange_MydesignShowcase,マイル交換_マイデザインSC（買い切り）,0
0,165,0,MileExchangeNsoPresent,マイル交換_NSO加入特典,0
0,67,0,Bridge,案内所_橋,0
0,68,0,Slope,案内所_坂,0
51,139,0,OnlineShoppingOnly,通信販売のみ,0
51,7,0,Tailor,仕立て屋,0
51,8,0,TailorMarketOnly,仕立て屋_店舗,0
51,161,0,TailorXmas,仕立て屋_クリスマス,0
51,162,0,TailorMarketOnlyXmas,仕立て屋_店舗_クリスマス,0
51,183,0,TailorHalloween,仕立て屋_ハロウィン,0
51,184,0,TailorMarketOnlyHalloween,仕立て屋_店舗_ハロウィン,0
51,212,0,TailorMarketOnlyCarnival,仕立て屋_店舗_カーニバル,0
51,223,0,TailorMarketOnlySetsubun,仕立て屋_店舗_節分,0
51,229,0,TailorMarketOnlyShamrockDay,仕立て屋_店舗_シャムロックデー,0
51,241,0,TailorMarketOnlyProm,仕立て屋_店舗_プロム,0
51,262,0,TailorMarketOnlyJuneBride,仕立て屋_店舗_ジューンブライド,0
23,10,0,ShoesBagShop,シャンク,0
23,188,0,ShoesBagShop_Halloween,シャンク_ハロウィン,0
253,22,0,RugS,ローラン_S,0
253,23,0,RugM,ローラン_M,0
253,24,0,RugL,ローラン_L,0
451,73,0,LaurentWallFloor,ローラン壁床,0
351,65,0,HgcQuestReward,ことの報酬,0
0,5,0,Gardening,園芸店,0
451,166,0,InariMarket,いなりマーケット,0
17,167,0,InariMarketFake,いなりマーケット_贋作,0
0,172,0,FoxStand,つねきち屋台_消耗品,0
0,175,0,FoxStandNonExpendable,つねきち屋台_非消耗品,0
0,189,0,FoxStandBalloon,つねきち屋台_風船,0
0,179,0,TapUploadReward,ゆめみ_提供報酬,0
473,190,0,TapLetter,ゆめみ_手紙,0
103,38,0,TkkGood,とたけけ_ゴキゲン！,0
103,39,0,TkkBad,とたけけ_フキゲン,0
103,40,0,TkkRelax,とたけけ_まったり,0
103,41,0,TkkBlue,とたけけ_ブルーかも,0
103,42,0,TkkUnsure,とたけけ_よくわからない,0
103,43,0,TkkHidden,とたけけ_隠し曲,0
0,44,0,TkkMiss,とたけけ_はずれ曲,0
103,45,0,TkkBirthday,とたけけ_誕生日曲,0
103,46,0,TkkFirst,とたけけ_初ライブ曲,0
103,75,0,TkkNewGood,とたけけ新曲_ゴキゲン！,0
103,77,0,TkkNewBad,とたけけ新曲_フキゲン,0
103,76,0,TkkNewRelax,とたけけ新曲_まったり,0
103,79,0,TkkNewBlue,とたけけ新曲_ブルーかも,0
103,78,0,TkkNewUnsure,とたけけ新曲_よくわからない,0
103,74,0,TkkNew,とたけけ_新曲,0
0,11,0,TreasureQuest,宝探しクエスト,0
0,12,0,TreasureQuestDust,宝探しクエストごみ,0
444,29,0,SnowmanReward,ゆきだるま,0
573,54,0,PcBday,PC誕生日,0
0,2,0,JohnnyQuest,ジョニークエスト,0
0,3,0,JohnnyQuestDust,ジョニークエストごみ,0
451,4,0,JohnnyQuestReward,ジョニークエスト報酬,0
451,171,0,PirateQuestReward,海賊クエスト報酬,0
501,25,0,TournamentFishing,つり大会,0
501,26,0,TournamentInsect,ムシとり大会,0
33,52,0,CountDown,カウントダウン,0
