NpcFtrActionHoldTime,NpcFtrActionInterest,NpcFtrActionWeather,be2fae51.HashRef,11ae74f8.HashRef,NpcFtrActionTool,UniqueID,Label,Name,NpcCanSit,NpcFtrActionAsName,63c52af5 string67
0,None,None,Ftr,Individual,65534,0,None,なし,0,,
0,FtrAccess,None,Synchro,Individual,5397,1,Smartphone,撮影,0,NpcSmartPhonePress,
150,FtrSwitchOn,RainActive,Synchro,Individual,65534,2,Switch,駆動,0,MaReSmiling,
1800,RhythmSound,RainActive,Front,Synchro,65534,3,RhythmSound,ノる,1,NpcRhythm,MaReSmiling
1800,SingSong,RainActive,Synchro,Synchro,65534,4,SingSong,歌う,1,NpcSinging,NpcSinging
1800,PlayMusic,RainActive,Synchro,Synchro,65534,5,PlayMusicBoth,演奏する（両手）,1,NpcPlayMusicBoth,NpcSinging
1800,PlayMusic,RainActive,Synchro,Synchro,65534,6,PlayMusic,演奏する（片手）,1,NpcPlayMusic,NpcSinging
0,FtrSwitchOn,RainActive,Ftr,Individual,65534,7,SwitchWind,駆動（扇風機）,0,NpcWind,NpcWind
0,FtrSwitchOn,RainActive,Ftr,Individual,65534,8,SwitchWarm,駆動（温まる）,0,NpcWarm,NpcWarm
0,FtrSwitchOn,RainActive,Synchro,Individual,65534,9,SwitchSomen,駆動（そうめん）,0,NpcSomen,MaReSmiling
0,FtrSwitchOn,RainActive,Synchro,Individual,65534,10,SwitchTakenAback,駆動（ビックリ）,0,NpcTakenAback,
0,FtrAccess,RainActive,Ftr,Individual,65534,11,Watch,まじまじ見る,0,NpcWatchFurniture,NpcWatchFurniture
0,FtrAccess,RainActive,Ftr,Individual,65534,12,WatchWall,まじまじ見る（壁掛）,0,NpcWatchFurnitureWall,NpcWatchFurnitureWall
0,FtrAccess,RainActive,Synchro,Individual,65534,13,MirrorPosing,鏡の前でポーズ,0,NpcPose,NpcPose
0,FtrAccess,None,Ftr,Individual,8821,14,WaterSpray,霧吹き,0,NpcSpray,MaReSmiling
0,FtrAccess,None,Synchro,Individual,65534,15,SmellFood,匂いをかぐ,0,NpcSmellFurniture,
0,FtrSwitchOn,None,Synchro,Individual,65534,16,SwitchSmellFood,駆動（匂いをかぐ）,0,NpcSmellFurniture,
1800,StayOn,None,Front,Individual,65534,28,DanceFloor,フロアマットで踊る,0,MaReAddDance,MaReAddDance
0,Haniwa,RainActive,Front,Synchro,65534,29,Haniwa,はにわ,0,,
