OnepieceHNormalScaleMaskA,OnepieceHNormalScaleMaskB,OnepieceHNormalScaleMaskG,OnepieceHNormalScaleMaskR,OnepieceLNormalScaleMaskA,OnepieceLNormalScaleMaskB,OnepieceLNormalScaleMaskG,OnepieceLNormalScaleMaskR,OnepieceNNormalScaleMaskA,OnepieceNNormalScaleMaskB,OnepieceNNormalScaleMaskG,OnepieceNNormalScaleMaskR,OuterLNormalScaleMaskA,OuterLNormalScaleMaskB,OuterLNormalScaleMaskG,OuterLNormalScaleMaskR,TshirtsHNormalScaleMaskA,TshirtsHNormalScaleMaskB,TshirtsHNormalScaleMaskG,TshirtsHNormalScaleMaskR,TshirtsLNormalScaleMaskA,TshirtsLNormalScaleMaskB,TshirtsLNormalScaleMaskG,TshirtsLNormalScaleMaskR,TshirtsNNormalScaleMaskA,TshirtsNNormalScaleMaskB,TshirtsNNormalScaleMaskG,TshirtsNNormalScaleMaskR,UniqueID,Label,Name
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,1,duk,アヒル
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,2,ant,アリクイ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,1,1,0,0.6,0.6,0.6,0,0,0,0.6,3,dog,イヌ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,4,rbt,ウサギ
0,0,0.9,0.9,0,0.9,0.9,0.9,0,0,0,0.9,0,0.9,0.9,0.9,0,0,0.9,0.9,0,0.9,0.9,0.9,0,0,0,0.9,5,hrs,ウマ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,6,bul,オウシ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,7,wol,オオカミ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,8,flg,カエル
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,9,hip,カバ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,10,kgr,カンガルー
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,11,bea,クマ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,12,kal,コアラ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,13,cbr,コグマ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,14,gor,ゴリラ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,15,rhn,サイ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,16,mnk,サル
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,17,der,シカ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,18,elp,ゾウ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,19,ocp,タコ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,20,ost,ダチョウ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,21,tig,トラ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,22,brd,トリ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,23,chn,ニワトリ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,24,cat,ネコ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,25,mus,ネズミ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,26,ham,ハムスター
0.5,0,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,1,0,0.6,0.6,0.6,0,0,0,0.6,27,shp,ヒツジ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,28,pig,ブタ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,29,pgn,ペンギン
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,30,cow,メウシ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,31,goa,ヤギ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,32,lon,ライオン
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,33,squ,リス
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,34,pbr,ワシ
0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,0.6,0.6,0.6,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,35,crd,ワニ
