2924e11f u16,UniqueID,CanHasSit,EquipOnlyOutdoor,HandToolAsName,Label,Misc,Name,ToolEnterAsName,ToolLeftModelName,ToolRightModelName,ToolSetupAsName,ToolSetupPutawayAsName,UseToolLeft
0,0,0,0,,None,0,なし,,,,,,0
0,1,0,0,,Cap,0,帽子,,,,,,0
0,2,0,0,,AccessoryEye,0,アクセサリ：目,,,,,,0
0,3,0,0,,Tops,0,トップス,,,,,,0
0,4,0,0,,Bottoms,0,ボトムス,,,,,,0
0,5,0,0,,Socks,0,靴下,,,,,,0
0,6,0,0,,Shoes,0,靴,,,,,,0
0,8,0,0,,Marinesuit,0,マリンスーツ,,,,,,0
0,9,0,1,CommonToolHand,Scoop,3,スコップ,,,,,,0
0,10,0,1,CommonToolHand,Axe,3,オノ,,,,,,0
1,11,0,1,CommonToolHand,FishingRod,1,つりざお,,,Main,,,0
2,12,0,1,CommonToolHand,Net,1,アミ,,,,,,0
3,14,1,1,CommonToolHand,Umbrella,129,カサ,,,,CommonToolUmbrella_Open_Stop,CommonToolUmbrella_Close_Stop,0
0,16,0,1,CommonToolHand,GroundMaker,3,道造成キット,,Sub,Main,,,1
4,17,0,1,CommonToolHand,Watering,5,ジョウロ,,,,,,0
0,19,0,0,,Bag,0,カバン,,,,,,0
0,20,0,1,CommonToolHand,CliffMaker,3,崖造成キット,,,,,,0
0,22,0,1,CommonToolHand,Ladder,5,はしご,,,,,,0
0,23,0,0,CommonToolHand,ChangeStick,1,変身ステッキ,,,,,,0
5,25,1,0,CommonToolHand,Cracker,1,クラッカー,,,,,,0
0,26,0,1,CommonToolHand,Slingshot,1,パチンコ,,,Main,,,0
0,27,0,0,CommonToolHand,PinataStick,3,ピニャータ割り棒,,,,,,0
0,28,0,1,CommonToolHand,FenceMaker,19,柵造成キット,,,,,,0
6,29,0,0,CommonToolHand,Book,1,本,ToolBook_CloseKeep,,,,,0
0,32,0,0,,AccessoryMouth,0,アクセサリ：口,,,,,,0
0,33,0,1,CommonToolHand,RiverMaker,3,川造成キット,,,,,,0
0,34,0,0,,TkkGuitar,64,とたけけギター,,,,,,0
7,35,1,0,CommonToolHand,PaperFan,1,うちわ,,,,,,0
8,36,1,0,CommonToolHand,SmartPhone,1,スマホ,,,,,,0
34,37,1,1,CommonToolHand,Firework,1,花火,,,,,,0
35,38,1,0,CommonToolHand,StickLight,1,スティックライト,,,,,,0
9,39,1,0,CommonToolHand,SoapBubble,1,シャボン玉,,,,,,0
0,40,1,0,CommonToolHand,BlowStick,1,ふきもどし,,,,,,0
0,41,1,0,CommonToolHand,Ocarina,11,オカリナ,,,,,,0
0,42,1,0,CommonToolHand,Panpipe,11,パンフルート,,,,,,0
36,43,1,0,CommonToolHand,Tambourine,41,タンバリン,,,,,,0
10,45,0,0,CommonToolHand,Broom,1,ほうき,,,,,,0
11,47,0,0,CommonToolHand,Coffee,1,コーヒー,,,,,,0
12,48,1,0,CommonToolHand,Ice,1,アイス,,,,,,0
0,49,0,0,CommonToolHand,BagHand,1,手提げカバン,,,,,,0
0,50,0,1,CommonToolHand,JumpStick,1,ジャンプ棒,,,,,,0
13,52,1,0,CommonToolHand,Dumbbell,1,ダンベル,,,,,,0
14,57,1,0,CommonToolHand,Windmill,1,かざぐるま,,,,,,0
0,58,0,0,CommonToolHand,RcmTourFlag,1,つぶまめツアー旗,,,,,,0
15,59,0,0,CommonToolHand,Firewood,1,薪,,,,,,0
0,60,0,0,,Spanner,3,スパナとかなづち,,Sub,Main,,,1
16,61,0,0,CommonToolHand,HandLens,1,虫眼鏡,,,,,,0
17,62,0,0,CommonToolHand,FruitBasket,1,果物カゴ,,,,,,0
18,63,0,0,CommonToolHand,Duster,1,はたき,,,,ToolDuster_Stop,ToolDuster_Stop,0
19,64,0,0,CommonToolHand,CuteBagHand,1,手提げかばん(キュート,,,,,,0
20,65,0,0,CommonToolHand,CoolBagHand,1,手提げかばん(クール),,,,,,0
21,66,0,0,CommonToolHand,LowBagHand,1,手提げかばん(生活度低,,,,,,0
22,67,0,0,CommonToolHand,HighBagHand,1,手提げかばん(生活度高,,,,,,0
23,68,0,0,CommonToolHand,SmallBook,1,本(小),ToolBook_CloseKeep,,,,,0
24,69,1,0,CommonToolHand,LightDumbbell,1,ダンベル(軽い),,,,,,0
25,70,1,0,CommonToolHand,Candy,1,キャンディ,,,,,,0
26,71,0,0,CommonToolHand,Canister,1,缶,,,,,,0
27,72,0,0,CommonToolHand,Sandwich,1,サンドウィッチ,,,,,,0
28,73,0,0,CommonToolHand,Doughnut,1,ドーナッツ,,,,,,0
29,74,0,0,CommonToolHand,Branch,1,えだ,,,,,,0
0,77,0,0,CommonToolHand,Sketchbook,3,スケッチブック,,Sub,Main,,,1
0,78,1,1,CommonToolHand10400,Balloon,1,ふうせん,,,,,,0
