ItemLayout,ItemSize,UniqueID,Label,ResName
Wall_NoCol,1_0x1_0_Wall,0,None,
Wall_NoCol,1_0x1_0_Wall,1,HangerInfoTops,FtrHangerTops
Wall_NoCol,1_0x1_0_Wall,2,HangerInfoBottoms,FtrHangerBottoms
Wall_NoCol,1_0x0_5_Wall,3,HangerInfoAccessoryGlass,FtrHangerAccessoryGlass
Wall_NoCol,1_0x1_0_Wall,4,HangerInfoAccessoryMouth,FtrHangerAccessoryMouth
Wall_NoCol,1_0x1_0_Wall,5,HangerInfoAccessoryGlassMouth,FtrHangerAccessoryGlassmouth
Wall_NoCol,1_0x1_0_Wall,6,HangerInfoCapsMask,FtrHangerCapMask
Wall_NoCol,1_0x1_0_Wall,7,HangerInfoCapsFullface,FtrHangerCapFullface
Wall_NoCol,1_0x0_5_Wall,8,HangerInfoCapsOrnament,FtrHangerCapOrnament
Wall_NoCol,1_0x1_0_Wall,9,HangerInfoCaps,FtrHangerCap
Wall_NoCol,1_0x1_0_Wall,10,HangerInfoBag,FtrHangerBag
Wall_NoCol,1_0x0_5_Wall,11,HangerInfoShoes,FtrHangerShoes
Wall_NoCol,0_5x1_0_Wall,12,HangerInfoSocks,FtrHangerSocks
Wall_NoCol,0_5x1_0_Wall,13,HangerInfoToolFan,FtrHangerToolFan
