ItemReFabricType,RebodyPattern0LightColor,RebodyPattern1LightColor,RebodyPattern2LightColor,RebodyPattern3LightColor,RebodyPattern4LightColor,RebodyPattern5LightColor,RebodyPattern6LightColor,RebodyPattern7LightColor,RefabricPattern0LightColor,RefabricPattern1LightColor,RefabricPattern2LightColor,RefabricPattern3LightColor,RefabricPattern4LightColor,RefabricPattern5LightColor,RefabricPattern6LightColor,RefabricPattern7LightColor,RemakeLotType,ItemUniqueID,RemakeKitNum,UniqueID,d4f43b0b u8,ReBodyPattern0Color0,ReBodyPattern0Color1,ReBodyPattern1Color0,ReBodyPattern1Color1,ReBodyPattern2Color0,ReBodyPattern2Color1,ReBodyPattern3Color0,ReBodyPattern3Color1,ReBodyPattern4Color0,ReBodyPattern4Color1,ReBodyPattern5Color0,ReBodyPattern5Color1,ReBodyPattern6Color0,ReBodyPattern6Color1,ReBodyPattern7Color0,ReBodyPattern7Color1,ReBodyPatternNum,e0563503 u8,ReFabricPattern0Color0,ReFabricPattern0Color1,ReFabricPattern0VisibleOff,ReFabricPattern1Color0,ReFabricPattern1Color1,ReFabricPattern2Color0,ReFabricPattern2Color1,ReFabricPattern3Color0,ReFabricPattern3Color1,ReFabricPattern4Color0,ReFabricPattern4Color1,ReFabricPattern5Color0,ReFabricPattern5Color1,ReFabricPattern6Color0,ReFabricPattern6Color1,ReFabricPattern7Color0,ReFabricPattern7Color1,ReFabricPatternNum
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1288,1,72,0,10,6,12,6,8,6,4,6,6,6,1,6,14,14,14,14,5,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2587,1,75,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1,0,14,12,0,14,5,14,2,14,6,14,7,14,14,14,14,14,14,4
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2605,4,76,0,8,8,12,12,0,0,9,9,10,10,6,6,4,4,2,2,7,0,14,0,0,14,2,14,5,14,6,14,14,14,14,14,14,14,14,3
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2731,1,78,0,0,12,6,6,5,0,4,7,3,6,1,12,12,5,10,1,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1608,1,81,0,10,11,12,11,4,11,14,14,14,14,14,14,14,14,14,14,2,0,14,4,0,14,1,14,12,14,6,14,5,14,7,14,6,14,12,7
CommonAndMyDesign,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,1850,7,83,0,10,10,11,11,12,12,1,1,2,2,4,4,8,8,14,14,6,0,14,4,0,14,12,14,13,14,13,14,13,14,13,14,14,14,14,5
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1557,4,84,0,12,8,9,10,4,13,2,13,7,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,833,2,85,0,11,11,12,12,10,10,1,1,4,4,6,6,7,7,14,14,6,0,14,14,1,14,10,14,2,14,13,14,2,14,14,14,14,14,14,4
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,86,2,86,0,4,7,2,2,1,5,5,12,7,0,12,2,11,2,10,0,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,LightBlue,5,3,9,7,10,6,0,9,0,0,0,0,0,0,0,Normal,1851,1,87,0,5,6,1,12,7,0,5,2,3,4,6,7,2,2,14,14,6,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1803,2,89,0,0,12,10,12,12,12,9,12,4,12,1,12,6,12,11,12,7,0,14,12,0,14,10,14,10,14,12,14,10,14,8,14,14,14,14,5
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1567,1,90,0,6,12,4,12,5,12,0,12,7,10,1,1,6,6,9,9,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2560,3,95,0,7,7,8,8,0,0,9,9,10,10,6,6,4,4,2,2,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1644,2,96,0,0,12,2,12,10,12,1,12,7,12,8,10,12,12,4,12,7,0,14,14,1,14,10,14,12,14,3,14,6,14,5,14,13,14,2,7
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3078,7,97,0,6,6,4,4,12,12,11,11,10,10,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1888,1,98,0,12,11,11,12,9,9,1,1,10,10,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1929,2,99,0,12,12,0,12,9,12,14,14,14,14,14,14,14,14,14,14,2,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,3333,7,100,0,10,10,12,12,11,11,1,1,7,7,4,4,2,2,5,5,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,3252,7,101,0,10,10,12,12,11,11,1,1,4,4,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,80,2,102,0,8,9,7,13,1,7,10,1,7,5,2,3,14,14,14,14,5,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1875,13,103,0,10,12,12,12,9,12,0,12,14,14,14,14,14,14,14,14,3,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,3428,7,104,0,10,10,12,12,11,11,1,1,4,4,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1558,1,105,0,8,9,9,7,7,13,2,13,4,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1559,2,106,0,8,8,10,9,7,13,5,13,4,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1561,3,107,0,8,8,9,10,6,13,5,13,1,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1565,2,108,0,8,8,9,10,6,13,2,13,1,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2558,1,109,0,8,8,9,10,1,13,2,13,7,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3205,4,111,0,8,8,9,7,7,13,7,13,4,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3206,1,112,0,8,8,9,10,6,13,5,13,1,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3208,2,113,0,8,8,10,9,4,13,2,13,7,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3490,1,114,0,8,8,7,7,0,0,9,9,10,10,12,12,14,14,14,14,5,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2740,2,115,0,12,12,1,12,4,12,6,12,7,12,10,10,14,14,14,14,5,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1103,2,117,0,8,8,0,0,9,9,12,12,10,10,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,88,1,119,0,0,8,1,13,2,13,4,13,14,14,14,14,14,14,14,14,3,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,Warm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal,1108,2,120,0,9,11,9,11,14,14,14,14,14,14,14,14,14,14,14,14,1,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2713,2,121,0,12,12,1,1,2,2,7,7,4,4,9,9,10,10,11,11,7,0,14,14,1,14,2,14,13,14,6,14,13,14,14,14,14,14,14,4
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2736,1,123,0,4,12,6,12,0,12,14,14,14,14,14,14,14,14,14,14,2,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,Warm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal,1432,1,124,0,1,1,4,4,6,6,7,7,2,2,5,5,10,10,8,8,7,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1112,1,125,0,13,13,4,12,3,7,1,10,13,13,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3446,6,126,0,12,3,11,0,10,1,9,7,6,7,14,14,14,14,14,14,4,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,787,1,127,0,11,4,0,10,12,10,10,11,14,14,14,14,14,14,14,14,3,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3439,4,128,0,8,8,12,12,0,0,9,9,10,10,6,6,4,4,2,2,7,0,14,14,1,14,0,14,2,14,4,14,6,14,14,14,14,14,14,4
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,83,1,129,0,7,7,1,4,12,5,2,3,4,5,5,1,14,14,14,14,5,0,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-1
