801351e6 f32,MemoryUnitNum,PolygonLimit,UniqueID,HalfUnitSizeX,HalfUnitSizeZ,Label,Name
1.575,1,1200,2,2,2,1_0x1_0,1x1
3.15,2,2400,4,4,2,2_0x1_0,2x1
6.3,4,4800,5,4,4,2_0x2_0,2x2
4.725,3,3600,13,6,2,3_0x1_0,3x1
9.45,6,7200,6,6,4,3_0x2_0,3x2
14.175,9,10800,7,6,6,3_0x3_0,3x3
1.575,1,1200,1,2,1,1_0x0_5,1x0.5
3.15,2,2400,3,4,1,2_0x0_5,2x0.5
3.15,3,2700,22,3,3,1_5x1_5,1.5x1.5
1.575,1,1200,25,2,1,1_0x0_5_Wall,1x0.5(壁)
1.575,1,1200,24,1,2,0_5x1_0_Wall,0.5x1(壁)
1.575,1,1200,26,2,2,1_0x1_0_Wall,1x1(壁)
3.15,2,2400,9,2,3,1_0x1_5_Wall,1x1.5 (壁)
3.15,2,2400,8,2,4,1_0x2_0_Wall,1x2　 (壁)
3.15,2,2400,27,4,2,2_0x1_0_Wall,2x1(壁)
6.3,4,4800,12,4,3,2_0x1_5_Wall,2x1.5 (壁)
6.3,4,4800,34,4,4,2_0x2_0_Wall,2x2(壁)
7,1,1000,33,2,2,1_0x1_0_Rug,1x1(ラグ)
7,2,1000,21,4,2,2_0x1_0_Rug,2x1(ラグ)
7,4,1000,19,4,4,2_0x2_0_Rug,2x2(ラグ)
7,6,1000,20,6,4,3_0x2_0_Rug,3x2(ラグ）
7,9,1000,18,6,6,3_0x3_0_Rug,3x3(ラグ）
7,12,1000,16,8,6,4_0x3_0_Rug,4x3(ラグ)
7,16,1000,14,8,8,4_0x4_0_Rug,4x4(ラグ)
7,20,1000,31,10,8,5_0x4_0_Rug,5x4(ラグ)
7,25,1000,32,10,10,5_0x5_0_Rug,5x5(ラグ)
