StrSortIdCNzh,StrSortIdEUde,StrSortIdEUen,StrSortIdEUes,StrSortIdEUfr,StrSortIdEUit,StrSortIdEUnl,StrSortIdEUru,StrSortIdJPja,StrSortIdKRko,StrSortIdTWzh,StrSortIdUSen,StrSortIdUSes,StrSortIdUSfr,UniqueID
26888,29118,23288,8764,29207,22644,28399,7146,23215,7009,26328,22940,8601,28947,2
8565,2471,12013,24927,29202,22592,24538,8337,10324,19575,23426,11779,24525,28945,5
8565,2471,12013,24927,29202,22592,24538,8337,10324,19575,23426,11779,24525,28945,6
19800,2256,21160,24906,29158,22606,26631,22903,3911,21116,7446,20773,24506,28905,9
19800,2256,21160,24906,29158,22606,26631,22903,3911,21116,7446,20773,24506,28905,10
26878,6298,3245,24899,29159,22686,13996,14767,2212,18030,12931,3142,24504,28911,13
26878,6298,3245,24899,29159,22686,13996,14767,2212,18030,12931,3142,24504,28911,14
27071,3615,9208,24913,29157,22622,3190,7884,24891,18440,9046,9052,24508,28902,17
27071,3615,9208,24913,29157,22622,3190,7884,24891,18440,9046,9052,24508,28902,18
16531,19388,19496,3966,29223,22662,14308,22520,12349,27102,24221,19044,8629,28969,20
8652,6162,23572,24938,29252,22690,24397,3567,13271,15388,17124,23217,24530,28983,23
8652,6162,23572,24938,29252,22690,24397,3567,13271,15388,17124,23217,24530,28983,24
19722,19414,28956,24933,29222,22681,16342,12539,12104,3776,23218,28604,24527,28964,27
19722,19414,28956,24933,29222,22681,16342,12539,12104,3776,23218,28604,24527,28964,28
8427,24834,17164,8718,29197,22613,26112,25059,6902,17235,17012,16804,8549,28940,31
8427,24834,17164,8718,29197,22613,26112,25059,6902,17235,17012,16804,8549,28940,32
22183,28278,28050,8728,29245,22611,27330,21001,1958,5486,20323,27720,8558,28982,34
5401,28846,8738,8783,29182,22650,28760,5251,2149,8652,24674,8571,8613,28927,38
27077,10992,13818,8787,29229,22658,6521,4928,4115,19411,9088,13524,8618,28972,41
27077,10992,13818,8787,29229,22658,6521,4928,4115,19411,9088,13524,8618,28972,42
6804,3558,6885,8796,29162,22669,15255,21909,25135,24498,17236,6751,8638,28915,44
20801,26552,20825,8730,29152,22599,6569,24042,16626,26925,24648,20392,8568,28895,46
11659,13091,17596,24921,29220,22589,17493,19810,2082,19860,13166,17233,24519,28960,48
28004,4259,9919,8751,29199,22623,29592,28456,13354,20157,13715,9715,8585,28942,50
