ScaleOffset,CatalogItemUniqueID,UniqueID,ColorIndex,Label,ModelName,Name,ResName
1,-2,5,-1,None,,（なし）,
0.8,-2,323,-1,FeatherRainbow,UnitIconFeatherRainbow,にじいろのはね,UnitIconFeatherRainbow
0.8,-2,324,3,FeatherPurple,UnitIconFeather,むらさきのはね,UnitIconFeather
0.8,-2,325,1,FeatherBlue,UnitIconFeather,あおいはね,UnitIconFeather
0.8,-2,326,2,FeatherGreen,UnitIconFeather,みどりのはね,UnitIconFeather
0.8,-2,327,0,FeatherRed,UnitIconFeather,あかいはね,UnitIconFeather
0.8,-2,329,-1,OtoshidamaCh,UnitIconOtoshidamaCh,しゅんせつのおとしだま,UnitIconOtoshidamaCh
0.8,-2,330,-1,OtoshidamaKr,UnitIconOtoshidamaKr,ソルラルのおとしだま,UnitIconOtoshidamaKr
0.8,-2,0,0,Leaf,UnitIconLeaf,葉っぱ,UnitIconLeaf
0.8,-2,273,1,LeafYellow,UnitIconLeaf,葉っぱ：黄,UnitIconLeaf
0.8,-2,157,-1,RoomWall,UnitIconRoomWall,壁紙,UnitIconRoomWall
0.8,-2,156,-1,RoomFloor,UnitIconRoomFloor,床板,UnitIconRoomFloor
0.8,-2,215,-1,Rug,UnitIconRug,ラグ,UnitIconRug
0.8,-2,30,-1,Tops,UnitIconTops,装：トップス,UnitIconTops
0.8,-2,31,-1,Bottoms,UnitIconBottoms,装：ボトムス,UnitIconBottoms
0.8,-2,32,-1,Socks,UnitIconSocks,装：くつした,UnitIconSocks
0.8,-2,33,-1,Shoes,UnitIconShoes,装：くつ,UnitIconShoes
0.8,-2,34,-1,Cap,UnitIconCap,装：ぼうし,UnitIconCap
0.8,-2,35,-1,Helmet,UnitIconWig,装：かぶりもの,UnitIconWig
0.8,-2,36,-1,Accessory,UnitIconAccessory,装：アクセサリ,UnitIconAccessory
0.8,-2,37,-1,Bag,UnitIconBag,装：バッグ,UnitIconBag
0.8,-2,160,-1,Umbrella,UnitIconUmbrella,装：カサ,UnitIconUmbrella
0.8,-2,161,-1,FishingRod,UnitIconFishingrod,道具：つりざお,UnitIconFishingrod
0.8,-2,204,-1,Stick,UnitIconStick,変身ステッキ,UnitIconStick
0.8,-2,303,-1,MarineSuit,UnitIconMarineSuit,マリンスーツ,UnitIconMarineSuit
0.8,-2,162,-1,Fence,UnitIconFence,柵,UnitIconFence
0.8,-2,189,0,TentSet,UnitIconTentSet,テントセット,UnitIconTentSet
0.8,-2,186,1,HousingKit,UnitIconTentSet,ハウジングキット,UnitIconTentSet
0.8,-2,19,-1,FossilUnknown,UnitIconFossil,化石：未鑑定,UnitIconFossil
0.8,-2,29,-1,FossilKnown,UnitIconFossilKnown,化石：鑑定済み,UnitIconFossilKnown
0.8,-2,208,-1,Pitfall,UnitIconPitfall,おとしあなのタネ,UnitIconPitfall
0.8,-2,207,-1,Music,UnitIconMusic,ミュージック,UnitIconMusic
0.8,-2,184,-1,Medicine,UnitIconMedicine,おくすり,UnitIconMedicine
0.8,-2,209,0,RemakeKit,UnitIconRemakeKit,リメイクキット,UnitIconRemakeKit
1,-2,274,-1,SmartphoneCase,UnitIconSmartphoneCase,スマホケース,UnitIconSmartphoneCase
1,-2,315,-1,SmartphoneCaseComp,UnitIconSmartphoneCaseComp,ポケットキャンプのスマホリメイクキット,UnitIconSmartphoneCaseComp
0.8,-2,236,-1,Timer,UnitIconTimer,タイマー,UnitIconTimer
0.8,-2,59,-1,Honeycomb,UnitIconHoneycomb,ハチの巣,UnitIconHoneycomb
0.8,-2,72,-1,Weed,UnitIconPltWeed,雑草,UnitIconPltWeed
0.8,7734,28,-1,Turnip,UnitIconPltKabu,カブ,UnitIconPltKabu
0.8,-2,17,-1,TurnipExpired,UnitIconPltKabuRotten,カブ腐れ,UnitIconPltKabuRotten
0.8,-2,220,-1,MessageBottle,UnitIconMessageBottle,メッセージボトル,UnitIconMessageBottle
0.9,7735,223,-1,Recipe,UnitIconRecipe,レシピ,UnitIconRecipe
1,-2,221,-1,FishBait,UnitIconFishBait,サカナのまきエサ,UnitIconFishBait
0.8,-2,218,0,AirTicket,UnitIconAirTicket,マイル航空券,UnitIconAirTicket
0.8,-2,235,1,TailorTicket,UnitIconAirTicket,したてやひきかえけん,UnitIconAirTicket
0.8,-2,277,2,RollanTicket,UnitIconAirTicket,ローランひきかえけん,UnitIconAirTicket
0.8,-2,278,3,BellExchangeTicket,UnitIconAirTicket,ベルひきかえかん,UnitIconAirTicket
0.8,-2,307,4,DreamBellExchangeTicket,UnitIconAirTicket,ゆめのベルひきかえけん,UnitIconAirTicket
0.8,-2,163,0,PresentBoxRed,UnitIconPresentred,プレゼントBOX赤,UnitIconPresentred
0.8,-2,164,1,PresentBoxGreen,UnitIconPresentred,プレゼントBOX青,UnitIconPresentred
0.8,-2,166,-1,Insect,UnitIconInsect,生物：ムシかご,UnitIconInsect
0.8,-2,165,-1,Fish,UnitIconFish,生物：サカナ,UnitIconFish
0.7,-2,167,-1,TrushTire,UnitIconTrushTire,ゴミ：タイヤ,UnitIconTrushTire
0.8,-2,168,-1,TrushCan,UnitIconTrushCan,ゴミ：あきカン,UnitIconTrushCan
0.8,-2,171,-1,TrushBoot,UnitIconTrushBoot,ゴミ：ながぐつ,UnitIconTrushBoot
1,7730,1,-1,Coin,UnitIconCoin,コイン,UnitIconCoin
0.8,7731,2,-1,MoneyBag,UnitIconMoneybag,ベル袋,UnitIconMoneybag
1,-2,219,0,Parts,UnitIconParts,ジョニーのパーツ,UnitIconParts
1,-2,239,1,PartsDust,UnitIconParts,さびたパーツ,UnitIconParts
0.8,-2,306,-1,PirateQuest,UnitIconPirateQuest,むせんき,UnitIconPirateQuest
0.8,-2,305,-1,Pearl,UnitIconPearl,しんじゅ,UnitIconPearl
0.8,-2,170,-1,LostQuestPouch,UnitIconLostquestPouch,落し物：袋,UnitIconLostquestPouch
0.8,-2,169,-1,LostQuestBook,UnitIconLostquestBook,落し物：本（読み物）,UnitIconLostquestBook
