Theme,FloorItemId,RugItemId,UniqueID,WallItemId
Wedding,12431,12462,2,12466
Banquet,12431,65534,3,12461
Wedding2,12431,12464,4,4816
Cute,5069,12465,5,4861
Banquet2,7219,65534,6,5226
Cute,5053,12464,7,4943
Cute,4977,65534,8,4819
Chic,12433,12464,9,12468
Chic,5051,65534,12,6851
Chic,5064,12464,13,4818
Chic,4953,12465,22,5482
Chic,5080,65534,23,5483
Garden,12434,65534,24,12469
Garden,5006,7380,25,5481
Garden,5005,7380,26,5484
Garden,5515,65534,27,5457
Garden,5234,65534,28,11915
Cute,5081,12464,29,12466
Cute,6843,65534,30,13318
Cute,5069,12464,31,12567
Banquet3,12431,65534,32,12466
Chic,5025,12465,37,12567
Chic,5078,65534,38,4864
Chic,5079,65534,39,4820
Chic,5063,12465,40,13224
Chic,5012,65534,41,4866
Garden,7186,65534,42,4905
Garden,5005,65534,43,5487
Garden,4964,11113,44,4853
Garden,5038,65534,45,4850
Garden,5006,65534,46,4880
Cute,5004,65534,47,4841
Cute,4972,65534,48,4863
Cute,7204,65534,49,7205
Cute,5268,12462,50,12566
Wedding3,5267,12462,51,5528
