CloseItemUniqueId,912ca5f0 u32,be9ee5f8 u32,cf30f72d u32,f6d306e u32,UniqueID,d3978a49 u8,aac49213 string9
-1,-1,1723,-1,1538,0,1,rco
-1,-1,1724,-1,1538,1,1,rco
-1,-1,-1,-1,31,2,1,rco
-1,-1,-1,24,-1,3,1,rco
-1,531,-1,185,-1,4,1,sza
-1,-1,1411,-1,350,5,1,rco
-1,-1,-1,-1,1411,6,1,sza
-1,-1,-1,-1,1081,7,1,rco
-1,-1,-1,-1,215,8,1,rco
-1,-1,-1,166,-1,9,1,rco
-1,-1,267,119,-1,10,1,rco
-1,-1,-1,-1,267,11,1,rco
-1,-1,-1,-1,88,12,1,sza
14691,-1,1410,-1,1445,13,1,rco
14694,-1,1453,-1,1463,14,1,rco
2389,-1,-1,-1,84,15,1,sza
-1,-1,-1,-1,-1,16,1,rco
-1,-1,-1,-1,-1,17,1,rco
-1,-1,534,-1,-1,18,1,rco
-1,544,-1,-1,1788,19,0,rco
-1,-1,1656,-1,-1,20,1,sza
-1,45,-1,-1,292,21,1,rco
-1,543,-1,185,-1,22,1,sza
-1,-1,-1,543,-1,23,1,sza
-1,-1,-1,-1,-1,24,1,sza
3247,-1,572,-1,828,25,1,rco
2543,-1,573,-1,828,26,1,rco
-1,-1,-1,-1,-1,27,1,sza
9616,-1,610,-1,269,28,1,rco
12185,-1,702,-1,269,29,1,rco
13195,-1,1172,-1,1171,30,1,rco
14692,-1,1448,59,269,31,1,rco
9221,-1,-1,-1,269,32,1,rco
9052,-1,669,-1,269,33,1,rco
11140,-1,670,-1,672,34,1,rco
-1,-1,564,-1,587,35,1,rco
14695,-1,1450,59,269,36,1,rco
9771,-1,644,-1,828,37,1,rco
-1,-1,-1,-1,211,38,1,rco
-1,-1,-1,-1,1658,39,1,rco
-1,-1,-1,-1,1122,40,1,sza
-1,-1,-1,-1,-1,41,1,rco
-1,-1,-1,-1,-1,42,1,rco
-1,-1,-1,266,-1,43,1,rco
643,-1,-1,-1,216,44,1,rco
7032,-1,-1,-1,306,45,1,rco
2567,-1,-1,266,-1,46,1,rco
-1,-1,1784,45,-1,47,1,rco
-1,-1,-1,49,-1,48,1,rco
-1,-1,-1,503,-1,49,1,sza
8533,-1,692,2,-1,50,1,sza
-1,-1,-1,-1,1472,51,1,sza
-1,-1,-1,-1,1472,52,1,sza
-1,-1,-1,-1,1678,53,1,rco
7651,-1,-1,228,-1,54,0,sza
-1,-1,-1,-1,597,55,1,rco
-1,-1,-1,-1,1398,56,1,sza
-1,-1,-1,-1,24,57,1,rco
-1,-1,-1,-1,-1,58,0,rco
-1,-1,-1,-1,-1,59,0,sza
-1,-1,-1,-1,-1,60,0,rco
-1,-1,-1,-1,-1,61,0,rco
-1,-1,-1,-1,-1,62,0,rco
-1,-1,-1,-1,-1,63,0,rco
-1,-1,-1,-1,-1,64,0,rco
-1,-1,-1,-1,-1,65,0,rco
-1,-1,-1,-1,-1,66,0,rco
-1,-1,-1,-1,-1,67,0,sza
-1,-1,-1,-1,-1,68,0,sza
-1,-1,-1,-1,-1,69,0,sza
-1,-1,-1,-1,-1,70,0,sza
-1,-1,-1,-1,-1,71,0,sza
-1,-1,-1,-1,-1,72,0,sza
-1,-1,-1,-1,-1,73,0,sza
-1,-1,-1,-1,-1,74,0,sza
-1,-1,-1,-1,-1,75,0,sza
-1,-1,-1,-1,-1,76,0,sza
-1,-1,-1,-1,-1,77,0,sza
-1,-1,-1,-1,-1,78,0,sza
14575,-1,-1,-1,1673,79,1,rco
-1,-1,1716,-1,1410,80,1,rco
-1,-1,-1,-1,-1,81,1,rco
-1,-1,1718,-1,-1,82,1,sza
-1,-1,1719,463,-1,83,1,sza
-1,-1,1720,-1,555,84,1,rco
-1,-1,-1,-1,1721,85,1,sza
-1,-1,-1,463,1495,86,1,sza
-1,-1,435,67,-1,87,1,rco
-1,-1,-1,-1,-1,88,1,rco
-1,-1,-1,-1,777,89,1,rco
-1,-1,-1,-1,-1,90,1,sza
-1,-1,-1,-1,233,91,1,rco
-1,-1,-1,-1,-1,92,1,rco
-1,-1,-1,-1,44,93,1,rco
-1,-1,-1,-1,178,94,1,rco
-1,-1,-1,-1,-1,95,0,sza
-1,-1,-1,-1,-1,96,0,sza
-1,-1,-1,-1,-1,97,0,sza
-1,-1,-1,-1,-1,98,0,sza
-1,-1,-1,-1,-1,99,0,sza
-1,-1,-1,-1,-1,100,0,sza
-1,-1,-1,-1,-1,101,0,sza
-1,-1,-1,-1,-1,102,0,sza
-1,-1,-1,-1,-1,103,0,sza
-1,-1,-1,-1,-1,104,0,sza
-1,-1,930,-1,-1,105,0,rco
-1,-1,-1,-1,-1,106,0,sza
-1,-1,-1,-1,-1,107,0,rco
-1,-1,-1,-1,1677,108,0,sza
-1,-1,-1,-1,-1,109,0,sza
-1,-1,-1,-1,-1,110,1,rco
-1,-1,-1,-1,-1,111,0,sza
-1,-1,-1,-1,-1,112,0,sza
-1,-1,-1,-1,-1,113,0,sza
-1,-1,-1,-1,-1,114,0,sza
-1,-1,-1,-1,-1,115,0,sza
-1,-1,-1,-1,-1,116,0,sza
-1,-1,-1,-1,-1,117,0,sza
-1,-1,-1,-1,326,118,1,rco
-1,-1,-1,-1,326,119,1,rco
-1,-1,319,-1,326,120,1,rco
-1,-1,-1,-1,-1,121,0,rco
-1,-1,-1,-1,-1,122,0,rco
