MannequinPose,MannequinUsage,Seasonality,AccEye,AccMouth,Bottoms,Cap,Shoes,Socks,Tops,UniqueID
MannequinPause01,Normal,0,-2,-2,11432,5146,10042,9682,8551,0
MannequinPause02,Normal,2,4235,-2,9011,5265,11470,-2,5621,1
MannequinPause05,Normal,2,-2,-2,8838,5146,10046,4741,4154,2
MannequinPause04,Normal,0,4235,-2,4490,9769,2593,-2,9830,3
MannequinPause02,Normal,0,4462,3550,3310,-2,4730,-2,3388,4
MannequinPause06,Normal,2,-2,-2,-2,2609,10167,-2,4740,5
MannequinPause01,Normal,4,11068,-2,11263,10946,11242,-2,8334,6
MannequinPause02,Normal,4,11073,-2,8864,-2,11550,12174,4601,7
MannequinPause04,Normal,4,11076,-2,5810,11834,11235,-2,4661,8
MannequinPause05,Normal,0,11069,-2,4408,-2,10073,10005,8510,9
MannequinPause01,Normal,0,-2,-2,9841,11810,11243,9086,3264,10
MannequinPause02,Normal,0,4239,-2,-2,11521,10074,9966,8383,11
MannequinPause03,Normal,2,-2,-2,-2,9757,10970,-2,8999,12
MannequinPause01,Normal,2,-2,-2,9125,11516,10700,9063,4615,13
MannequinPause02,Normal,2,11221,-2,9717,-2,10713,10038,9436,14
MannequinPause06,Normal,2,11077,-2,8720,10877,5620,-2,8089,15
MannequinPause05,Normal,2,4238,-2,4372,11534,11469,-2,5658,16
MannequinPause01,Normal,2,-2,-2,5733,9866,10059,9777,4560,17
MannequinPause04,Normal,2,11187,-2,8703,10886,4723,-2,8506,18
MannequinPause06,Normal,2,-2,-2,8755,10881,5652,-2,3239,19
MannequinPause02,Normal,2,11503,-2,10188,-2,10254,-2,7996,20
MannequinPause06,Normal,2,4237,-2,-2,10850,10738,-2,12104,21
MannequinPause05,Normal,2,11200,-2,9122,-2,4714,-2,9774,22
MannequinPause03,Normal,2,11193,11028,11316,-2,10699,-2,7763,23
MannequinPause04,Normal,2,4239,-2,8727,-2,10116,-2,8528,24
MannequinPause03,Normal,2,-2,-2,-2,10887,10118,9686,4399,25
MannequinPause02,Normal,2,11200,-2,11444,11045,11472,-2,3698,26
MannequinPause03,Normal,2,11221,-2,-2,7273,10122,-2,7787,27
MannequinPause02,Normal,2,11075,-2,5816,-2,10120,-2,3811,28
MannequinPause06,Normal,2,4241,4676,4372,-2,4724,-2,9831,29
MannequinPause03,Normal,2,-2,-2,-2,10880,10131,-2,9427,30
MannequinPause03,Normal,2,11228,-2,4251,-2,10723,-2,8357,31
MannequinPause05,Normal,2,-2,-2,4372,12043,10054,9083,7778,32
MannequinPause04,Normal,2,-2,-2,4517,7273,5814,-2,5349,33
MannequinPause01,Normal,4,4646,-2,11265,5128,10254,-2,4575,34
MannequinPause02,Normal,4,-2,-2,12068,11513,2593,9581,9294,35
MannequinPause04,Normal,4,-2,-2,9118,6882,11459,9890,4277,36
MannequinPause02,Normal,4,-2,-2,8909,9864,11547,9684,9222,37
MannequinPause03,Normal,4,11214,-2,-2,10922,11679,-2,8329,38
MannequinPause04,Normal,4,11075,-2,-2,5260,11683,9683,4731,39
MannequinPause02,Normal,4,-2,-2,-2,11058,11679,12174,8962,40
MannequinPause06,Normal,4,11084,-2,-2,6880,10266,12174,4604,41
MannequinPause04,Normal,4,-2,-2,11418,5148,11688,-2,5855,42
MannequinPause04,Normal,4,-2,-2,4372,5408,10045,9678,7738,43
MannequinPause01,Normal,4,11221,-2,4303,11521,10080,-2,3256,44
MannequinPause04,Normal,4,11074,-2,9726,-2,10075,-2,7748,45
MannequinPause05,Normal,4,-2,-2,5733,11526,5667,9666,4417,46
MannequinPause02,Normal,4,4453,-2,11411,11734,10045,-2,7604,47
MannequinPause06,Normal,4,-2,-2,4408,11047,4730,10035,3663,48
MannequinPause04,Normal,4,-2,-2,5737,12053,10166,9581,4465,49
MannequinPause03,Normal,4,-2,-2,4517,9855,5803,12181,4766,50
MannequinPause04,Normal,4,-2,-2,11330,9864,11548,9904,7720,51
MannequinPause01,Normal,4,11080,-2,11276,5146,11250,-2,4422,52
MannequinPause02,Normal,4,11074,-2,-2,5260,5474,9920,8595,53
MannequinPause01,Normal,0,4241,-2,3309,-2,11250,-2,4401,54
MannequinPause05,Normal,0,-2,-2,3463,11053,5643,-2,3245,55
MannequinPause06,Normal,0,-2,-2,11906,11522,10054,9779,4610,56
MannequinPause01,Normal,4,-2,-2,8790,10922,10120,9581,8453,57
MannequinPause02,Normal,0,-2,-2,4195,11522,10252,9799,8051,58
MannequinPause01,Normal,0,-2,-2,4307,11054,11253,-2,9451,59
MannequinPause06,Normal,2,4607,-2,-2,11991,5620,-2,8600,60
MannequinPause05,Normal,4,4460,-2,9725,-2,10075,-2,8004,61
MannequinPause02,Normal,0,-2,3549,-2,5642,-2,9693,5644,62
MannequinPause06,Normal,0,4235,-2,-2,6882,6893,5171,7990,63
MannequinPause03,Normal,0,-2,-2,-2,11899,10168,5804,3070,64
MannequinPause01,Normal,0,11004,11028,5286,-2,11247,-2,5289,65
