a6240b90 u32,175969e1 u16,UniqueID,Label,e3cbd090 u8,5b77b7f5 u8,49c2181b u8,f17e7f7e u8,572a8fe9 u8,638d595d u8,a91a1c88 u8,83da3b2a u8
-1,1,0,LE_FacilityBuilt_Market,0,0,0,0,5,0,0,0
-1,1,1,LE_FacilityBuilt_Market2,0,0,0,0,5,0,0,0
-1,1,2,LE_FacilityBuilt_MuseumTent,0,0,0,0,5,0,0,0
-1,1,3,LE_FacilityBuilt_Museum,0,0,0,0,5,0,0,0
-1,1,5,LE_FacilityBuilt_Cafe,0,0,0,0,5,0,0,0
-1,1,6,LE_FacilityBuilt_Tailor,0,0,0,0,5,0,0,0
-1,1,7,LE_FacilityBuilt_TownOffice,0,0,0,0,5,0,0,0
-1,1,8,LE_FacilityBuilt_Campsite,0,0,0,0,5,0,0,0
-1,1,9,LE_FacilityMove_Market,0,0,0,0,5,0,0,0
-1,1,10,LE_FacilityMove_Museum,0,0,0,0,5,0,0,0
-1,1,11,LE_FacilityMove_Tailor,0,0,0,0,5,0,0,0
-1,1,12,LE_FacilityMove_Campsite,0,0,0,0,5,0,0,0
-1,1,13,LE_BridgeBuilt_First,2,0,0,0,5,0,0,0
-1,1,14,LE_BridgeBuilt,2,0,0,0,5,0,0,0
-1,1,15,LE_SlopeBuilt,2,0,0,0,5,0,0,0
-1,1,16,LE_NnpcHouseMoveIn,5,0,0,0,5,0,0,0
-1,1,17,LE_NnpcHouseMoveOut,5,0,0,0,5,0,0,0
-1,1,18,LE_NnpcHouseBuilt,5,0,0,0,5,0,0,0
-1,1,19,LE_UpdateLandMelody,0,0,0,0,5,0,0,0
-1,1,20,LE_UpdateLandFlag,0,0,0,0,5,0,0,0
-1,1,21,LE_LandEvaluation_Up,8,0,0,0,5,0,0,0
-1,1,22,LE_LandEvaluation_Down,8,0,0,0,5,0,0,0
-1,1,23,LE_TkkLiveFirst,0,0,0,0,5,0,0,0
-1,3,24,LE_TkkLiveNormal,2,0,0,0,5,0,0,0
-1,1,25,LE_TkkLiveMissHit,0,0,0,0,5,0,0,0
-1,1,26,LE_TodayIs_CatchInsectFes,0,0,0,0,5,0,0,0
-1,1,27,LE_TodayIs_CatchFishFes,0,0,0,0,5,0,0,0
-1,1,28,LE_TodayIs_NewYearEve,0,0,0,0,5,0,0,0
-1,1,29,LE_TodayIs_ChristmasEve,0,0,0,0,5,0,0,0
-1,1,30,LE_TodayIs_Easter,0,0,0,0,5,0,0,0
-1,1,31,LE_TodayIs_FireworksFes,0,0,0,0,5,0,0,0
-1,1,32,LE_TodayIs_Halloween,0,0,0,0,5,0,0,0
-1,1,33,LE_TodayIs_Carnival,0,0,0,0,5,0,0,0
