EventFlag,Param0,Param1,Param2,Param3,54a1df24.HashRef,175969e1 u16,UniqueID,7ef334a6 u8,Label,PrioLevel,83da3b2a u16
-1,ItemId,None,None,None,Recent,5,0,0,PE_GetFish_New,5,0
-1,ItemId,Value,None,None,Price,10,1,0,PE_GetFish_HighPrice,5,0
-1,ItemId,None,None,None,Recent,5,2,0,PE_GetInsect_New,5,0
-1,ItemId,Value,None,None,Price,10,3,0,PE_GetInsect_HighPrice,5,0
-1,ItemId,None,None,None,Recent,5,4,0,PE_GetSeafood_New,5,0
-1,ItemId,Value,None,None,Price,10,5,0,PE_GetSeafood_HighPrice,5,0
-1,ItemId,None,None,None,Recent,5,6,0,PE_PlantFlowerSeed,5,0
-1,ItemId,None,None,None,Recent,5,7,0,PE_PlantShrubSeedlings,5,0
-1,ItemId,None,None,None,Recent,5,8,0,PE_PlantTreeSeedlings,5,0
-1,ItemId,None,None,None,Recent,5,9,0,PE_PlantVegetableSeedlings,5,0
-1,ItemId,None,None,None,Price,5,10,0,PE_MuseumDonation,5,0
-1,ItemId,None,None,None,Recent,5,11,0,PE_Cooking,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,5,12,0,PE_DIY_New,5,0
-1,ItemId,None,None,None,Recent,5,13,0,PE_DIY_GoldSeries,7,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Price,5,14,0,PE_DIY_HighPrice,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,5,15,0,PE_Remake_ByDIY,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,5,16,0,PE_Remake_ByShop,5,0
-1,ItemId,None,None,None,Recent,1,17,0,PE_GetSeasonTraditionItem,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,None,1,18,0,PE_DivingFirst,7,0
-1,None,None,None,None,None,1,19,0,PE_CatchFishFes_Join,7,0
-1,ItemId,None,None,None,Recent,1,20,0,PE_CatchFishFes_Exchange,7,0
-1,ItemId,None,None,None,Recent,1,21,0,PE_MakeFishToy,7,0
-1,None,None,None,None,None,1,22,0,PE_CatchInsectFes_Join,7,0
-1,ItemId,None,None,None,Recent,1,23,0,PE_CatchInsectFes_Exchange,7,0
-1,ItemId,None,None,None,Recent,1,24,0,PE_MakeInsectToy,7,0
-1,NmlNpcId,None,None,None,Recent,1,25,0,PE_Countdown_TalkNPC,7,0
-1,None,None,None,None,None,1,26,0,PE_ChristmasEvent_GetSled,7,0
-1,None,None,None,None,None,1,27,0,PE_Easter_GetRecipe,7,0
-1,None,None,None,None,None,1,28,0,PE_FireworksFes_InMainfield,7,0
-1,None,None,None,None,None,1,29,0,PE_FireworksFes_Selfmade,7,0
-1,None,None,None,None,None,1,30,0,PE_Halloween_GetRecipe,7,0
-1,None,None,None,None,None,1,31,0,PE_Carnival_GetFloat,7,0
-1,None,None,None,None,None,1,32,0,PE_ThanksGiving_CookingComplete,7,0
-1,None,None,None,None,None,1,33,0,PE_MaydayIsland_Landing,7,0
-1,None,None,None,None,None,1,34,0,PE_MaydayIsland_TalkXct,7,0
-1,None,None,None,None,None,1,35,0,PE_MuseumStampComp_Fish,7,0
-1,None,None,None,None,None,1,36,0,PE_MuseumStampComp_Insect,7,0
-1,None,None,None,None,None,1,37,0,PE_MuseumStampComp_Fossil,7,0
-1,None,None,None,None,None,1,38,0,PE_MuseumStampComp_Art,7,0
-1,None,None,None,None,None,1,39,0,PE_MuseumStampComp_All,7,0
-1,None,None,None,None,None,1,41,0,PE_JuneBride_GetHeartPiece,7,0
-1,ItemId,RemakeRebodyId,None,None,Recent,5,42,0,PE_ExcavatedHaniwa,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,10,43,0,PE_CatalogOrder_New,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Price,10,44,0,PE_CatalogOrder_HighPrice,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,DIYRecipeItemId,Recent,5,45,0,PE_BuyItemMarket_New,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,DIYRecipeItemId,Price,5,46,0,PE_BuyItemMarket_HighPrice,5,0
-1,ItemId,None,None,None,Recent,5,47,0,PE_BuyItemTailor_New,5,0
-1,ItemId,None,None,None,Price,5,48,0,PE_BuyItemTailor_HighPrice,5,0
-1,None,None,None,None,Recent,1,49,0,PE_DreamLand_Regist,1,0
-1,None,None,None,None,Recent,1,50,0,PE_DreamLand_Update,1,0
-1,DreamId,None,None,None,Recent,5,51,0,PE_DreamLand_Watch,5,1
-1,NmlNpcId,None,None,None,Recent,10,52,0,PE_NNPC_Talk,5,0
-1,NmlNpcId,None,None,None,Recent,10,53,0,PE_NNPC_SolveRequest,5,0
-1,NmlNpcId,None,None,None,Recent,10,54,0,PE_NNPC_PlayWith,5,0
-1,NmlNpcId,ItemId,RemakeRebodyId,RemakeRefabricId,Recent,10,55,0,PE_Present_ToNNPC,5,0
-1,NmlNpcId,ItemId,RemakeRebodyId,RemakeRefabricId,Recent,10,56,0,PE_Present_FromNNPC,5,0
-1,NmlNpcId,None,None,None,None,1,57,0,PE_NNPC_CampSiteTalk,5,0
-1,SpNpcId,None,None,None,Recent,10,58,0,PE_SNPC_Talk,5,0
-1,None,None,None,None,None,1,59,0,PE_Seo_Talk,7,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,DIYRecipeItemId,None,1,60,0,PE_Seo_GetItem,7,0
-1,ItemId,RemakeRebodyId,None,None,None,1,61,0,PE_Gst_Help,7,0
-1,None,None,None,None,None,1,62,0,PE_GulA_Help,7,0
-1,None,None,None,None,None,1,63,0,PE_GulB_Help,7,0
-1,Level,None,None,None,None,1,64,0,PE_MakeSnowman,7,0
-1,None,None,None,None,None,1,65,0,PE_Hgc_CheckStart,7,0
-1,Level,None,None,None,None,1,66,0,PE_Hgc_CheckEnd,7,0
-1,NmlNpcId,None,None,None,None,2,67,0,PE_BirthdayEvent_NNPC,7,0
-1,None,None,None,None,None,1,68,0,PE_TodayIsMyBirthday,9,0
-1,None,None,None,None,None,1,69,0,PE_BirthdayEvent_Myself,9,0
-1,None,None,None,None,None,1,70,0,PE_SharePlay,5,0
-1,PopId,None,None,None,BestFriend,10,71,0,PE_MultiPlay_ComePlayer,5,1
-1,PopId,None,None,None,BestFriend,5,72,0,PE_MultiPlay_GotoIsland,5,1
-1,Level,None,None,None,None,1,75,0,PE_Loan_FullPayment,9,0
-1,MyDesignId,None,None,None,Recent,10,78,0,PE_MydesignShowcase_PostNormal,5,1
-1,MyDesignId,None,None,None,Recent,10,79,0,PE_MydesignShowcase_PostPro,5,1
-1,Level,Value,None,None,Recent,1,80,0,PE_Achievement_PlayDays,9,0
-1,ItemId,None,None,None,Recent,1,81,0,PE_SelectMusic,5,0
-1,ItemId,None,None,None,Recent,1,82,0,PE_SelectMusic_ByBox,5,0
-1,MysteryTourFieldId,None,None,None,MysteryTour,5,83,0,PE_Goto_MysteryTour,5,0
-1,KappeiTourId,None,None,None,Recent,2,84,0,PE_Goto_KappeiTour_Rare,5,0
-1,None,None,None,None,None,1,85,0,PE_Goto_CommuneIsland,5,0
-1,NmlNpcId,WherearenThemeId,None,None,Recent,5,86,0,PE_Wherearen_OrderReceivedNNPC,5,0
-1,NmlNpcId,WherearenThemeId,None,None,Recent,5,87,0,PE_Wherearen_CoordinateNNPC,5,0
-1,NmlNpcId,None,None,None,Recent,5,88,0,PE_Wherearen_InvitationNNPC,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,5,89,0,PE_Wherearen_ShopBuy_New,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Price,5,90,0,PE_Wherearen_ShopBuy_HighPrice,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Recent,10,91,0,PE_Wherearen_Catalog_New,5,0
-1,ItemId,RemakeRebodyId,RemakeRefabricId,None,Price,10,92,0,PE_Wherearen_Catalog_HighPrice,5,0
-1,Level,Value,None,None,Recent,1,93,0,PE_Wherearen_Launch,9,0
-1,WherearenFacilityId,Level,None,None,Recent,1,94,0,PE_Wherearen_FacilityBuilt,9,0
-1,WherearenFacilityId,None,None,None,Recent,1,95,0,PE_Wherearen_FacilityExtention,9,0
-1,None,None,None,None,None,1,96,0,PE_Wherearen_TkkFesFirst,9,0
-1,None,None,None,None,None,1,97,0,PE_Wherearen_TkkFes,7,0
-1,ResortId,None,None,None,Recent,5,98,0,PE_Wherearen_PostResortOpus,5,1
-1,Level,None,None,None,None,1,99,0,PE_LandEvaluation_Up,7,0
-1,PopId,None,None,None,BestFriend,10,100,0,PE_Multiplay_WithOtherVisitor,5,1
-1,ItemId,None,None,None,None,5,101,0,PE_PlantFruit_First,7,0
-1,None,None,None,None,Recent,1,102,0,PE_ChangeNewHair_ByPoo,7,0
-1,SpNpcId,WherearenThemeId,None,None,Recent,5,103,0,PE_Wherearen_OrderReceivedSNPC,5,0
-1,SpNpcId,WherearenThemeId,None,None,Recent,5,104,0,PE_Wherearen_CoordinateSNPC,5,0
-1,NmlNpcId,ItemId,DIYRecipeItemId,None,Recent,5,107,0,PE_Present_ToNNPC_Recipe,5,0
-1,NmlNpcId,ItemId,DIYRecipeItemId,None,Recent,5,108,0,PE_Present_FromNNPC_Recipe,5,0
