37571146.MM3Ref,DesignAlways1,DesignAlways2,DesignAlways3,DesignAlways4,DesignAutumn1,DesignAutumn2,DesignSpring1,DesignSpring2,DesignSummer1,DesignSummer2,DesignWinter1,DesignWinter2
MAIL_SNpc_gul,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_tkk,411,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_HHA_BuildCelebration,387,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_HHA_Grade,387,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_HHA_GradeFixedPoints,387,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_HHA_GradeMission,387,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_HHA_Mission,387,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Nintendo,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_ATM,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_bey_daily,427,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_bey_event,427,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_chy_daily,428,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_chy_event,428,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_hgc,396,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Snowman,374,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother,405,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-101,410,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-102,367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-103,397,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-121,410,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-112,392,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-151,405,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-152,389,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-104,379,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-111,375,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-105,373,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-106,396,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-107,366,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-110,385,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-108,407,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-109,384,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-122,366,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-132,377,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-129,397,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-131,373,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-130,379,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-128,367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-123,384,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-127,407,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-124,385,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-126,367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-125,375,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_boc,397,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_rco,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Airline,431,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_FarawayMuseum,416,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Mother-153,405,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_MilageProgram,430,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_pyn_let,395,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_pyn_mes,395,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_fox,435,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride-103,394,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_CatalogShop,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride-102,413,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride-101,413,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride,413,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride-105,413,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_alw_JuneBride-104,394,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_gulB,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_tap,396,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_pkn,399,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_sza,410,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SP_Blanco,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
F9A7EDCD,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_slo,397,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_owl,416,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
767D6DEB,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_bpt,416,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
197BA4FC,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
7E188CD2,429,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_spn,368,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_xct,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_man,445,438,440,443,444,439,444,439,444,439,444,439
E1CA54C,445,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_otg_Wherearen,437,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
MAIL_SNpc_mnc_Wherearen,437,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
D9C27A17,437,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
