ItemCategory,ItemCategoryGroup,37571146.HashRef,e060d3cd u16,ItemRemakeType
1,0,MAIL_BO_SendPresent-101,0,0
2,0,MAIL_BO_SendPresent-102,0,0
3,0,MAIL_BO_SendPresent-103,0,0
4,0,MAIL_BO_SendPresent-104,0,0
0,0,MAIL_BO_SendPresent-105,8,0
5,0,MAIL_HA_SendPresent-101,0,0
6,0,MAIL_HA_SendPresent-102,0,0
7,0,MAIL_HA_SendPresent-103,0,0
8,0,MAIL_HA_SendPresent-104,0,0
9,0,MAIL_HA_SendPresent-105,0,0
10,0,MAIL_KO_SendPresent-101,0,0
0,0,MAIL_KO_SendPresent-102,4,0
58,0,MAIL_KO_SendPresent-103,0,0
59,0,MAIL_KO_SendPresent-104,0,0
60,0,MAIL_KO_SendPresent-105,0,0
12,0,MAIL_ZK_SendPresent-101,0,0
13,0,MAIL_ZK_SendPresent-102,0,0
14,0,MAIL_ZK_SendPresent-103,0,0
56,0,MAIL_ZK_SendPresent-104,0,0
15,0,MAIL_ZK_SendPresent-105,0,0
16,0,MAIL_FU_SendPresent-101,0,0
57,0,MAIL_FU_SendPresent-102,0,0
17,0,MAIL_FU_SendPresent-103,0,0
18,0,MAIL_FU_SendPresent-104,0,0
19,0,MAIL_FU_SendPresent-105,0,0
20,0,MAIL_OT_SendPresent-101,0,0
21,0,MAIL_OT_SendPresent-102,0,0
22,0,MAIL_OT_SendPresent-103,0,0
23,0,MAIL_OT_SendPresent-104,0,0
24,0,MAIL_OT_SendPresent-105,0,0
0,0,MAIL_GE_SendPresent-101,5,0
0,0,MAIL_GE_SendPresent-102,6,0
27,0,MAIL_GE_SendPresent-103,0,0
28,0,MAIL_GE_SendPresent-104,0,0
29,0,MAIL_GE_SendPresent-105,0,0
0,0,MAIL_AN_SendPresent-101,7,0
0,2,MAIL_AN_SendPresent-102,0,0
31,0,MAIL_AN_SendPresent-103,0,0
32,0,MAIL_AN_SendPresent-104,0,0
33,0,MAIL_AN_SendPresent-105,0,0
0,0,MAIL_XX_ReBirthDay-101,1,0
0,0,MAIL_XX_ReBirthDay-102,1,0
0,0,MAIL_XX_ReBirthDay-103,1,0
0,0,MAIL_XX_ReLong-101,1,0
