ItemCategory,ItemCategoryGroup,37571146.MM3Ref,e060d3cd u16,ItemRemakeType
34,0,MAIL_SP_HHA_BuildCelebration-101,0,0
35,0,MAIL_SP_HHA_BuildCelebration-102,0,0
36,0,MAIL_SP_HHA_BuildCelebration-103,0,0
37,0,MAIL_SP_HHA_BuildCelebration-104,0,0
0,1,MAIL_SP_HHA_BuildCelebration-105,0,0
41,0,MAIL_SP_HHA_BuildCelebration-106,0,0
42,0,MAIL_SP_HHA_BuildCelebration-107,0,0
49,0,MAIL_SP_HHA_GradeFixedPoints-101,0,0
50,0,MAIL_SP_HHA_GradeFixedPoints-102,0,0
51,0,MAIL_SP_HHA_GradeFixedPoints-103,0,0
52,0,MAIL_SP_HHA_GradeFixedPoints-104,0,0
53,0,MAIL_SP_HHA_GradeFixedPoints-105,0,0
54,0,MAIL_SP_HHA_GradeFixedPoints-106,0,0
55,0,MAIL_SP_HHA_GradeFixedPoints-107,0,0
0,0,MAIL_SP_HHA_Mission-101,3,1
0,0,MAIL_SP_HHA_Mission-102,3,1
0,0,MAIL_SP_HHA_Mission-103,3,1
0,0,MAIL_SP_HHA_Mission-104,3,1
0,0,MAIL_SP_HHA_Mission-105,3,1
