Amiibo,Seat0,Seat1,Seat2,Seat3,eadde7f7 u16,UniqueID,53bb0673 u16
65,0,57,0,0,0,1,255
13,21,20,22,0,0,2,255
11,22,21,20,0,0,3,255
12,22,20,21,0,0,4,255
44,29,0,0,0,0,5,255
2,3,63,0,0,0,6,255
61,5,6,0,0,0,7,255
4,5,6,0,0,0,8,255
19,31,0,0,0,0,9,255
30,12,11,0,0,0,10,255
32,12,11,0,0,0,11,255
0,2,1,0,0,0,12,255
1,2,1,0,0,0,13,255
33,43,0,0,0,0,14,255
58,52,0,0,0,0,15,255
16,25,24,23,26,0,16,255
15,25,24,23,26,0,17,255
17,25,24,23,26,0,18,255
14,25,24,23,26,0,19,255
6,8,64,0,0,0,20,255
10,17,65,0,0,0,21,255
49,73,54,0,0,0,22,255
38,53,0,0,0,0,23,255
39,58,0,0,0,0,24,255
41,60,0,0,0,0,25,255
37,50,0,0,0,0,26,255
59,9,4,0,0,0,27,255
63,9,4,0,0,0,28,255
35,19,0,0,0,0,29,255
48,0,48,0,0,0,30,255
50,61,0,0,0,0,31,255
56,34,30,0,0,28,32,8
68,34,30,0,0,28,33,8
67,34,30,0,0,28,34,8
34,46,67,0,66,0,35,255
9,15,0,0,0,0,36,255
51,45,47,0,0,0,37,255
8,56,0,0,0,0,38,255
5,7,0,0,0,0,39,255
3,16,0,0,0,0,40,255
57,39,0,0,0,0,41,255
47,44,0,0,0,0,42,255
24,37,36,0,0,0,43,255
23,37,36,0,0,0,44,255
40,59,0,0,0,0,45,255
31,42,0,0,0,0,46,255
26,41,40,0,0,0,47,11
27,41,40,0,0,69,48,11
25,38,0,0,0,0,49,255
22,35,68,70,74,0,50,255
46,27,0,0,0,0,51,255
52,45,47,0,0,0,52,255
42,62,71,0,0,0,53,255
62,14,13,0,0,0,54,255
66,14,13,0,0,0,55,255
55,0,0,0,0,18,56,9
45,55,0,0,0,0,57,255
20,32,72,0,0,0,58,255
21,33,0,0,0,0,59,255
43,51,0,0,0,0,60,255
7,10,0,0,0,0,61,255
36,49,0,0,0,0,64,255
71,75,30,0,0,28,65,8
