UniqueID,CapOff,Label,UseSitOffset
0,0,xxx,0
1,0,alp,0
2,0,alw,0
3,0,bev,0
4,0,bey,1
5,0,boa,0
6,1,boc,0
7,0,bpt,1
8,1,chm,1
9,0,chy,1
10,0,cmlB,0
11,1,dga,0
12,1,dgb,0
13,1,doc,0
14,1,dod,0
15,0,fox,1
16,0,fsl,1
17,0,grf,1
18,0,gstA,0
19,0,gul,0
20,0,hgc,1
21,0,hgh,1
22,0,hgs,1
23,0,kpg,1
24,0,kpm,0
25,0,kpp,1
26,0,kps,0
27,1,lom,0
28,0,man,0
29,0,mka,0
30,0,mnc,1
31,1,mnk,0
32,1,mob,0
33,1,mol,1
34,0,otg,1
35,0,ott,1
36,0,owl,0
37,0,ows,0
38,0,pck,1
39,0,pkn,1
40,0,plk,1
41,0,plm,1
42,1,plo,1
43,0,poo,0
44,0,pyn,0
45,0,rcm,0
46,0,rco,0
47,0,rct,0
48,1,rei,0
49,0,seo,1
50,0,skk,1
51,1,slo,0
52,0,spn,0
53,0,sza,1
54,0,szo,0
55,0,tap,0
56,0,tkkA,0
57,0,tkkB,0
58,1,ttlA,1
59,0,tuk,1
60,0,upa,1
61,0,wrl,0
62,0,xct,0
63,0,bey_2,1
64,0,bev_2,0
65,0,hgc_2,1
66,0,rct_2,0
67,0,rcm_2,0
68,0,otg_2,1
69,1,plo_2,1
70,0,rco_2,0
71,0,rco_3,0
72,1,mol_2,1
73,0,sza_2,1
74,0,szo_2,0
75,0,otgB,1
