StageName,ModelID,UniqueID,WatchItem,CameraParamName
IdrMuseumFossil_1,0,8,4688,FossilBrachiosaurus
IdrMuseumFossil_1,1,9,4689,
IdrMuseumFossil_1,3,11,4691,
IdrMuseumFossil_1,2,12,4690,
IdrMuseumFossil_0,6,13,4663,FossilFirstAmphibian
IdrMuseumFossil_0,4,14,294,FossilAmber
IdrMuseumFossil_0,1,15,295,FossilAmmonoidea
IdrMuseumFossil_0,2,16,302,FossilShark
IdrMuseumFossil_0,3,17,4651,FossilAnomalo
IdrMuseumFossil_0,0,18,303,FossilTrilobite
IdrMuseumFossil_0,5,19,4664,FossilFirstFourLegs
IdrMuseumFossil_0,8,20,4660,FossilDunkle
IdrMuseumFossil_0,7,21,4662,FossilFirstFish
IdrMuseumFossil_1,8,22,220,
IdrMuseumFossil_1,7,23,219,
IdrMuseumFossil_1,6,24,218,
IdrMuseumFossil_1,4,25,216,FtrFossilDiplodocus
IdrMuseumFossil_1,5,26,217,
IdrMuseumFossil_1,9,27,7251,
IdrMuseumFossil_1,10,28,184,FossilDimetrodon
IdrMuseumFossil_1,11,29,185,
IdrMuseumFossil_1,12,30,4665,FossilFirstMammal
IdrMuseumFossil_1,13,31,192,FossilOphta
IdrMuseumFossil_1,14,32,193,
IdrMuseumFossil_1,15,33,177,FossilArchelon
IdrMuseumFossil_1,16,34,178,
IdrMuseumFossil_1,17,35,234,FossilFutaba
IdrMuseumFossil_1,18,36,235,
IdrMuseumFossil_1,19,37,236,
IdrMuseumFossil_1,20,38,206,FossilPtera
IdrMuseumFossil_1,21,39,207,
IdrMuseumFossil_1,22,40,208,
IdrMuseumFossil_1,23,41,4697,FossilQuetzal
IdrMuseumFossil_1,24,42,4698,
IdrMuseumFossil_1,25,43,4699,
IdrMuseumFossil_1,26,44,226,FossilStego
IdrMuseumFossil_1,27,45,227,
IdrMuseumFossil_1,28,46,228,
IdrMuseumFossil_1,29,47,169,FossilAnkylo
IdrMuseumFossil_1,30,48,170,
IdrMuseumFossil_1,31,49,171,
IdrMuseumFossil_1,32,50,188,FossilIguano
IdrMuseumFossil_1,33,51,189,
IdrMuseumFossil_1,34,52,190,
IdrMuseumFossil_1,35,53,202,FossilParasauro
IdrMuseumFossil_1,36,54,203,
IdrMuseumFossil_1,37,55,204,
IdrMuseumFossil_1,38,56,198,FossilPachycephalo
IdrMuseumFossil_1,39,57,199,
IdrMuseumFossil_1,40,58,242,FossilTricera
IdrMuseumFossil_1,41,59,243,
IdrMuseumFossil_1,42,60,244,
IdrMuseumFossil_1,43,61,238,FossilTRex
IdrMuseumFossil_1,44,62,239,
IdrMuseumFossil_1,45,63,240,
IdrMuseumFossil_1,46,64,300,FossilIchnology
IdrMuseumFossil_1,47,65,296,FossilCoprolite
IdrMuseumFossil_1,48,66,222,FossilSpino
IdrMuseumFossil_1,49,67,223,
IdrMuseumFossil_1,50,68,224,
IdrMuseumFossil_1,51,69,210,FossilDeinonychus
IdrMuseumFossil_1,52,70,211,
IdrMuseumFossil_1,53,71,298,FossilArchaeopteryx
IdrMuseumFossil_2,0,72,195,FossilMammoth
IdrMuseumFossil_2,1,73,196,
IdrMuseumFossil_2,2,74,213,FossilSmilodon
IdrMuseumFossil_2,3,75,214,
IdrMuseumFossil_2,4,76,180,FossilBronto
IdrMuseumFossil_2,5,77,181,
IdrMuseumFossil_2,6,78,182,
IdrMuseumFossil_2,7,79,4658,FossilMegaloceros
IdrMuseumFossil_2,8,80,4659,
IdrMuseumFossil_2,9,81,301,FossilAustralopithecus
