MuseumNpcRace,SilhouettePosX,SilhouettePosY,SilhouettePosZ,UniqueID,SilhouetteName
2,43200000,41A00000,43520000,0,トリシルエット
13,43200000,41A00000,43520000,1,コアラシルエット
14,43200000,41A00000,43520000,2,カンガルシルエット
C,43200000,41A00000,43520000,3,ゾウシルエット
0,43200000,41A00000,43520000,4,アリクイシルエット
4,43200000,41A00000,43520000,5,ネコシルエット
A,43200000,41A00000,43520000,6,イヌシルエット
1,43200000,41A00000,43520000,7,クマシルエット
12,43200000,41A00000,43520000,8,ウマシルエット
1E,43200000,41A00000,43520000,9,サイシルエット
11,43200000,41A00000,43520000,10,カバシルエット
9,43200000,41A00000,43520000,11,シカシルエット
7,43200000,41A00000,43520000,12,ウシシルエット
1D,43200000,41A00000,43520000,13,ウサギシルエット
17,43200000,41A00000,43520000,14,ネズミシルエット
16,43200000,41A00000,43520000,15,サルシルエット
1C,43200000,41A00000,43520000,16,ブタシルエット
