StageName,UniqueID,SpotTalkKey,SpotTalkLabelKey,SpotTalkName
IdrMuseumFish_2,2,BO_Spot_Museum_Fish,3223600,川魚の部屋
IdrMuseumFish_1,3,BO_Spot_Museum_Fish,3354672,海魚の部屋（沖～深海）
IdrMuseumFish_0,6,BO_Spot_Museum_Fish,3289136,海魚の部屋（沿岸）
IdrMuseumInsect_2,7,BO_Spot_Museum_Insect,3223600,地面の虫の部屋
IdrMuseumInsect_0,8,BO_Spot_Museum_Insect,3289136,大温室
IdrMuseumInsect_1,9,BO_Spot_Museum_Insect,3354672,バタフライガーデン
IdrMuseumFossil_0,10,BO_Spot_Museum_Fossil,3223600,古生代の部屋
IdrMuseumFossil_1,11,BO_Spot_Museum_Fossil,3289136,中生代の部屋
IdrMuseumFossil_2,12,BO_Spot_Museum_Fossil,3354672,新世代の部屋
IdrMuseumArt_0,18,BO_Spot_Museum_Art,3223600,芸術部屋
