SilhouetteID,StageName,35ac2c17 string,1f3893e5 u32,2258ba55 f32,65f8c085 f32,WatchAngleY,WatchPosX,WatchPosY,WatchPosZ,UniqueID,BattlePoint,PointName,SilhouettePoint
0,IdrMuseumFish_2,Always,0,10,20,135,240,10,230,3,0,ピラルク,0
0,IdrMuseumFish_2,Always,0,10,20,0,75,0,195,4,0,ベタ,0
0,IdrMuseumFish_2,Always,0,10,20,180,135,4,135,5,0,イトウ,0
0,IdrMuseumFish_0,Always,0,10,20,288,230,30,120,6,0,クリオネ,0
0,IdrMuseumFish_0,Always,-10,10,20,180,135,50,75,8,0,ナンヨウハギ,0
0,IdrMuseumFish_0,Always,0,10,20,180,100,50,75,9,0,ナポレオンフィッシュ,0
0,IdrMuseumFish_0,Always,0,10,20,180,125,50,75,10,0,クマノミ,0
0,IdrMuseumFish_2,Always,0,0,20,180,140,-5,235,11,0,ニシキゴイ,0
0,IdrMuseumFish_2,Always,0,10,20,180,190,10,135,12,0,オオイワナ,0
0,IdrMuseumFish_2,Always,0,10,20,88,30,0,215,13,0,グッピー,0
0,IdrMuseumFish_1,Always,0,25,57,172,85,30,175,14,0,マンボウ_0,0
0,IdrMuseumFish_1,Always,0,10,15,354,150,60,50,15,0,ジンベエザメ_0,0
0,IdrMuseumFish_1,Always,0,25,30,180,125,30,155,16,0,サメ_0,0
0,IdrMuseumFish_1,Always,25,0,65,230,195,10,150,17,0,シイラ,0
0,IdrMuseumFish_1,Always,-12,27,20,168,270,15,125,18,0,シーラカンス,0
0,IdrMuseumFish_1,Always,0,30,20,150,290,15,130,19,0,リュウグウノツカイ,0
0,IdrMuseumFossil_0,Always,0,10,20,90,170,0,110,20,0,ユーステノプテロン,0
0,IdrMuseumFossil_0,Always,0,10,35,270,155,0,105,21,0,アノマロカリス,0
0,IdrMuseumFossil_0,Always,0,10,25,90,170,0,125,22,0,ダンクルオステウス,0
0,IdrMuseumFossil_1,Always,0,20,30,248,60,0,170,23,0,ケツァルコアトルス,0
0,IdrMuseumFossil_1,Always,10,20,40,180,90,0,105,24,0,ステゴサウルス,0
0,IdrMuseumFossil_1,Always,-7,30,70,135,185,0,130,25,0,Tレックス,0
0,IdrMuseumFossil_1,Always,0,60,30,290,160,0,150,26,0,ブラキオサウルス,0
0,IdrMuseumFossil_1,Always,8,20,30,90,205,0,185,27,0,ディノニクス,0
0,IdrMuseumFossil_2,Always,0,23,40,180,225,0,200,28,0,メガロケロス,0
0,IdrMuseumFossil_2,Always,18,30,35,180,135,0,210,29,0,マンモス,0
0,IdrMuseumInsect_0,Daytime,0,10,20,224,255,10,195,30,0,カブトムシ,0
0,IdrMuseumInsect_0,Daytime,3,14,20,180,160,13,200,31,0,オオクワガタ,0
0,IdrMuseumInsect_0,Always,4,10,30,180,215,10,205,32,0,ノコギリクワガタ,0
0,IdrMuseumInsect_0,Always,0,5,20,173,200,10,210,33,0,タマムシ,0
0,IdrMuseumInsect_0,Daytime,0,10,20,0,265,10,140,34,0,オオムラサキ（昼）,0
0,IdrMuseumInsect_0,Always,0,10,20,90,40,20,210,35,0,カマキリ,0
0,IdrMuseumInsect_0,Daytime,0,10,20,180,60,20,100,36,0,ヘラクレスオオカブト,0
0,IdrMuseumInsect_0,Always,5,12,17,36,295,20,90,37,0,プラチナコガネ,0
0,IdrMuseumInsect_0,Always,0,10,17,254,255,15,120,38,0,ヨナグニサン,0
0,IdrMuseumInsect_0,Always,6,5,10,270,105,20,200,39,0,ジンメンカメムシ,0
0,IdrMuseumInsect_1,Daytime,0,10,20,137,180,0,135,40,0,ニシキオオツバメガ（昼）,0
0,IdrMuseumInsect_1,Daytime,0,22,17,145,120,0,155,41,0,ミイロタテハ（昼）,0
0,IdrMuseumInsect_1,Daytime,0,30,40,328,170,0,190,42,0,モルフォチョウ（昼）,0
0,IdrMuseumInsect_1,Daytime,0,17,20,290,200,0,180,43,0,アレキサンドラトリバネアゲハ,0
0,IdrMuseumInsect_0,Night,0,10,20,252,35,20,175,44,0,ホタル（夜）,0
0,IdrMuseumInsect_2,Always,0,15,20,180,95,0,155,46,0,コノハムシ,0
0,IdrMuseumInsect_2,Always,-8,10,20,180,160,15,100,47,0,スズムシ,0
0,IdrMuseumInsect_2,Always,0,10,20,180,180,0,165,48,0,サソリ,0
0,IdrMuseumInsect_0,Always,0,10,20,90,280,10,245,49,0,ハチ,0
0,IdrMuseumFish_1,Always,0,15,87,190,150,30,220,50,0,アンチョビ,0
0,IdrMuseumFossil_1,Always,0,30,20,326,45,5,100,51,0,プテラノドン,0
0,IdrMuseumFish_2,Always,-10,10,20,180,80,0,135,52,0,チョウザメ,0
0,IdrMuseumFish_2,Always,0,0,20,180,150,-9,235,53,0,ガー,0
0,IdrMuseumFish_0,Always,10,20,20,180,120,-10,235,54,0,シュモクザメ,0
0,IdrMuseumInsect_0,Always,0,2,37,197,175,10,300,55,0,セミのぬけがら,0
0,IdrMuseumInsect_0,Always,0,6,37,164,190,10,200,56,0,ルリボシカミキリ,0
0,IdrMuseumInsect_0,Always,0,10,40,320,170,30,30,57,0,イトトンボ,0
0,IdrMuseumInsect_2,Always,5,10,20,142,265,25,60,58,0,カ,0
0,IdrMuseumFossil_1,Always,-3,9,30,135,200,0,135,59,0,うんこのかせき,0
0,IdrMuseumFossil_1,Always,-8,10,16,0,235,0,250,60,0,ジュラマイア,0
0,IdrMuseumInsect_0,Night,0,25,20,191,270,20,85,64,1,バトル１,0
0,IdrMuseumInsect_0,Night,0,25,20,180,265,20,85,65,1,バトル２,0
0,IdrMuseumInsect_0,Night,0,25,20,140,255,20,85,66,1,バトル３,0
0,IdrMuseumFossil_2,Always,0,-20,20,0,80,30,125,67,0,トリ,1
1,IdrMuseumFossil_2,Always,0,-20,20,0,90,30,125,68,0,コアラ,1
2,IdrMuseumFossil_2,Always,0,-20,20,0,105,30,125,69,0,カンガルー,1
3,IdrMuseumFossil_2,Always,0,-20,20,0,115,30,125,70,0,ゾウ,1
4,IdrMuseumFossil_2,Always,0,-20,20,0,125,30,125,71,0,アリ,1
5,IdrMuseumFossil_2,Always,0,-20,20,0,135,30,125,72,0,ネコ,1
6,IdrMuseumFossil_2,Always,0,-20,20,0,145,30,125,73,0,イヌ,1
7,IdrMuseumFossil_2,Always,0,-20,20,0,160,30,125,74,0,クマ,1
8,IdrMuseumFossil_2,Always,0,-20,20,0,170,30,125,75,0,ウマ,1
9,IdrMuseumFossil_2,Always,0,-20,20,0,180,30,125,76,0,サイ,1
10,IdrMuseumFossil_2,Always,0,10,20,0,205,30,125,77,0,カバ,1
11,IdrMuseumFossil_2,Always,0,-20,20,0,225,30,125,78,0,シカ,1
12,IdrMuseumFossil_2,Always,0,-20,20,0,215,30,125,79,0,ウシ,1
13,IdrMuseumFossil_2,Always,0,-20,20,0,235,30,125,80,0,ウサギ,1
14,IdrMuseumFossil_2,Always,0,-20,20,0,250,30,125,81,0,ネズミ,1
15,IdrMuseumFossil_2,Always,0,-20,20,0,260,30,125,82,0,サル,1
0,IdrMuseumInsect_1,Night,0,17,20,149,180,0,120,85,0,ニシキオオツバメガ（夜）,0
0,IdrMuseumInsect_1,Night,0,10,20,323,125,0,185,86,0,ミイロタテハ（夜）,0
0,IdrMuseumInsect_1,Night,3,17,20,343,150,0,205,87,0,モルフォチョウ（夜）,0
