MysteryTourFieldOutside,UniqueID
NoRiver,0
EastRiver,1
EastRiver,2
WestRiver,3
NoRiver,4
NoRiver,5
NoRiver,6
NoRiver,7
WestRiver,9
NoRiver,10
NoRiver,11
NoRiver,12
NoRiver,13
NoRiver,14
NoRiver,15
NoRiver,16
EastRiver,17
WestRiver,18
WestRiver,19
NoRiver,20
NoRiver,21
EastRiver,22
NoRiver,23
NoRiver,25
NoRiver,26
EastRiver,28
EastRiver,29
EastRiver,30
WestRiver,31
WestRiver,32
WestRiver,33
EastRiver,34
EastRiver,35
WestRiver,36
WestRiver,37
EastRiver,38
EastRiver,39
WestRiver,40
WestRiver,41
NoRiver,42
EastRiver,43
WestRiver,44
NoRiver,45
NoRiver,46
WestRiver,47
EastRiver,48
