ItemPlacementKind,TourType,FishPattern,InsectPattern,MustItem0,MustItem1,MysteryTourFieldUniqueID,MysteryTourItemUniqueID,UniqueID,LandFlagKeyON,PlayerFlagKeyAfterSelect,PlayerFlagKeyOFF,PlayerFlagKeyON,PlayerFlagKeyON2,SelectWeight,StatusPattern
Normal,Normal,-1,-1,65534,65534,1,1,0,,,,,,0,0
Normal,Normal,-1,-1,65534,65534,2,2,1,,,,,,0,0
Normal,Normal,-1,-1,65534,65534,3,3,2,,,,,,0,0
Normal,Normal,-1,-1,65534,65534,4,4,4,,,,,,0,0
StoneMaterial,Normal,-1,-1,2615,65534,5,5,6,,,,DocMysterytourExplain1st,,80,0
StoneCoin,Normal,-1,-1,4703,65534,6,6,7,BuiltTownOffice,,,DocMysterytourExplain1st,,50,0
Bamboo,Normal,-1,-1,65534,65534,7,7,8,,,,DocMysterytourExplain1st,,100,0
TreeSisterFruit,Normal,-1,-1,65534,65534,9,9,10,,,,DocMysterytourExplain1st,,100,0
StoneCoin,Normal,-1,1,65534,65534,11,11,12,BuiltTownOffice,VisitMysteryTourID12,VisitMysteryTourID12,DocMysterytourExplain1st,EnableGotoRareMysteryTour,10,0
StoneMaterial,Normal,-1,2,65534,65534,12,12,13,,VisitMysteryTourID13,VisitMysteryTourID13,DocMysterytourExplain1st,EnableGotoRareMysteryTour,20,0
TreeSisterFruit,Normal,-1,9,2615,65534,16,15,14,BuiltTownOffice,VisitMysteryTourID14,VisitMysteryTourID14,DocMysterytourExplain1st,EnableGotoRareMysteryTour,15,0
Normal,Normal,-1,9,65534,65534,7,7,17,,VisitMysteryTourID17,VisitMysteryTourID17,DocMysterytourExplain1st,EnableGotoRareMysteryTour,10,0
Normal,Normal,-1,5,65534,65534,17,16,18,,,,DocMysterytourExplain1st,,80,0
Normal,Normal,1,-1,4703,65534,18,17,19,,VisitMysteryTourID19,VisitMysteryTourID19,DocMysterytourExplain1st,EnableGotoRareMysteryTour,30,0
Normal,Normal,3,5,2615,65534,19,18,20,,VisitMysteryTourID20,VisitMysteryTourID20,DocMysterytourExplain1st,EnableGotoRareMysteryTour,10,0
Normal,Normal,2,-1,4703,2615,0,0,21,BuiltTownOffice,VisitMysteryTourID21,VisitMysteryTourID21,DocMysterytourExplain1st,EnableGotoRareMysteryTour,5,0
Normal,Normal,-1,-1,2615,65534,22,21,23,,,,DocMysterytourExplain1st,,100,0
StoneGold,Normal,-1,1,4703,2615,23,22,24,BuiltTownOffice,VisitMysteryTourID24,VisitMysteryTourID24,DocMysterytourExplain1st,EnableGotoRareMysteryTour,3,0
Normal,MayDay,-1,-1,65534,65534,25,25,27,,,,,,0,3
Normal,MayDay,-1,-1,65534,65534,26,26,28,,,,,,0,3
Normal,Kappei,-1,-1,65534,65534,28,28,30,,,,,,0,0
Normal,Kappei,-1,-1,65534,65534,29,29,31,,,,,,0,0
Normal,Kappei,-1,-1,65534,65534,30,30,32,,,,,,0,0
Normal,Kappei,-1,-1,65534,65534,31,31,33,,,,,,0,0
Normal,Kappei,-1,-1,65534,65534,32,32,34,,,,,,0,0
Normal,Kappei,-1,-1,65534,65534,33,33,35,,,,,,0,0
Vegetable,Kappei,-1,-1,65534,65534,34,34,36,,,,,,0,0
Vegetable,Kappei,-1,-1,65534,65534,35,35,37,,,,,,0,0
Vegetable,Kappei,-1,-1,65534,65534,36,36,38,,,,,,0,0
Vegetable,Kappei,-1,-1,65534,65534,37,37,39,,,,,,0,0
OneRoom,Kappei,-1,13,65534,65534,38,38,40,,,,,,0,0
OneRoom,Kappei,-1,13,65534,65534,39,39,41,,,,,,0,0
OneRoom,Kappei,-1,13,65534,65534,40,40,42,,,,,,0,0
OneRoom,Kappei,-1,13,65534,65534,41,41,43,,,,,,0,0
StarPiece,Kappei,-1,-1,65534,65534,42,42,44,,,,,,0,0
Sakura,Kappei,-1,12,65534,65534,43,43,45,,,,,,0,0
SpringBamboo,Kappei,-1,-1,65534,65534,44,44,46,,,,,,0,0
SeaShell,Kappei,-1,-1,65534,65534,45,45,47,,,,,,0,0
Mushroom,Kappei,-1,-1,65534,65534,46,46,48,,,,,,0,0
Maple,Kappei,-1,12,65534,65534,47,47,49,,,,,,0,0
SnowCrystal,Kappei,-1,12,65534,65534,48,48,50,,,,,,0,0
