AnimeTypeBag,AnimeTypeBasket,AnimeTypeBloom,AnimeTypeBook,ec3a031 string64,AnimeTypeDrink,AnimeTypeFirewood,AnimeTypeFishingRod,AnimeTypeFood,AnimeTypeHandGlass,7faf59cb string64,AnimeTypeNet,AnimeTypeSitDown,AnimeTypeSmartPhone,a4a8a21b string64,AnimeTypeUmbrella,AnimeTypeWateringCan,Label
M,M,S,M,M,M,S,M,L,M,L,M,07,L,M,S,M,ant
M,M,M,M,M,L,L,M,L,M,L,M,34,L,L,M,M,bea
M,M,S,M,L,M,S,M,M,L,M,M,09,M,M,S,M,brd
M,M,M,S,M,M,L,M,M,L,L,M,28,M,L,M,M,bul
M,M,M,M,M,M,M,M,M,L,M,M,13,M,M,M,M,cat
S,S,S,S,M,M,S,M,S,S,M,M,06,S,M,M,S,cbr
M,M,S,M,L,L,M,M,L,L,L,M,19,L,L,M,M,chn
M,M,S,S,M,M,L,M,M,L,L,M,22,M,L,M,M,cow
M,M,S,S,M,M,L,M,M,L,L,M,21,M,L,M,M,crd
M,M,M,M,M,M,M,M,M,M,L,M,17,M,M,M,M,der
M,M,M,M,M,M,M,M,M,L,L,M,15,M,M,M,M,dog
S,S,S,S,M,S,S,M,S,L,M,M,03,S,M,M,S,duk
M,M,S,M,L,L,L,M,L,M,L,M,27,M,L,L,M,elp
S,S,S,S,M,S,S,M,S,S,S,M,04,S,M,S,S,flg
M,M,M,M,M,L,M,M,L,L,L,M,18,M,M,M,M,goa
M,M,M,M,M,L,L,M,L,M,L,M,33,L,L,L,M,gor
S,S,S,S,L,L,S,S,S,L,M,M,00,M,M,S,S,ham
M,M,S,S,M,M,L,M,M,L,L,M,24,S,L,L,M,hip
M,M,M,M,M,M,L,M,L,M,L,M,32,L,L,M,M,hrs
S,S,S,M,M,M,M,M,M,L,M,M,11,M,M,M,S,kal
M,M,S,S,L,M,L,M,L,M,L,M,20,M,S,M,M,kgr
M,M,M,M,M,M,L,M,L,M,L,M,30,L,L,S,M,lon
M,M,M,M,M,S,L,M,S,L,L,M,10,M,M,M,S,mnk
S,S,S,S,M,S,S,M,S,S,S,M,02,S,M,S,S,mus
S,S,S,M,M,M,M,M,L,M,L,M,12,M,M,M,S,ocp
M,M,M,M,L,M,L,M,L,M,L,M,23,L,M,M,M,ost
M,M,M,M,M,M,L,M,L,M,M,M,31,L,M,L,M,pbr
