ClothesFrequencyWear,ClothesPurposeLimit,ClothesTemporarilyCreate,PurposeScore,PurposeTag,ScoreMultiplier,SeasonScore,TasteScore,UniqueID,CapFrequencyWear,CapPurposeLimit,CapTemporarilyCreate,GlassesFrequencyWear,GlassesPurposeLimit,GlassesTemporarilyCreate,IsEquipCeremony,Label,MaskFrequencyWear,MaskPurposeLimit,MaskTemporarilyCreate,Name
Always,None,None,3,12,2,2,5,0,1,0,0,1,0,0,0,Usually,0,0,0,日常
Always,Limit,Condition,2,17,4,0,8,9,3,1,2,0,0,0,0,SnowWear,0,0,0,雪具
Relatively,Limit,None,2,11,4,0,8,10,2,1,0,0,0,0,0,Fishing,0,0,0,つり行動
Always,Limit,Enable,2,11,4,0,8,11,3,1,1,0,0,0,0,FishingEvent,0,0,0,つり大会
Relatively,Limit,None,1,8,4,3,6,12,2,1,0,0,0,0,0,CatchingInsect,0,0,0,ムシとり行動
Always,Limit,Enable,2,8,4,0,8,13,3,1,1,0,0,0,0,CatchingInsectEvent,0,0,0,ムシトリ大会
None,None,None,5,6,4,0,5,14,0,1,0,3,1,2,0,ReadingBook,0,0,0,読書
Always,Limit,Condition,2,18,4,0,8,15,2,1,0,0,0,0,0,Sports,0,0,0,運動
Always,Limit,Condition,8,19,4,0,2,16,0,0,0,0,0,0,0,Yoga,0,0,0,ヨガ
Always,Limit,None,1,13,4,3,6,17,2,1,2,2,1,2,0,Fashionable,0,0,0,おしゃれ
Always,Limit,Enable,2,7,4,0,8,18,3,1,1,0,0,0,0,Sleeping,0,0,0,就寝前後
Always,Limit,Enable,2,5,4,0,8,19,3,1,1,3,1,1,0,BirthdayParty,0,0,0,誕生会
Always,Limit,Enable,2,15,4,0,8,20,3,1,1,0,0,0,0,BirthdayPartyStar,0,0,0,誕生会_主役
Always,Limit,Enable,2,16,4,0,8,21,0,0,0,2,1,1,0,Countdown,0,0,0,大晦日
Always,Limit,Enable,2,7,4,0,8,22,3,1,1,0,0,0,0,Sick,0,0,0,病気
None,None,None,2,20,4,0,8,23,2,1,0,3,1,2,0,Sunbathing,0,0,0,日光浴
Always,Limit,None,1,21,4,3,6,25,2,1,0,3,1,0,0,Concert,0,0,0,ライブ
Always,Limit,Condition,2,18,4,0,8,27,1,1,0,2,1,2,0,SportsHobby,0,0,0,運動_しゅみ
Always,Limit,Enable,10,14,3,0,0,28,3,1,1,0,0,0,0,RainWear,0,0,0,レインコート
Always,Limit,Enable,2,31,4,0,8,29,3,1,1,0,0,0,1,Easter,0,0,0,イースター
Always,Limit,None,2,32,4,0,8,30,3,1,0,0,0,0,0,Fireworks,0,0,0,花火大会
Always,Limit,Enable,2,35,4,0,8,31,3,1,1,0,0,0,1,Halloween,0,0,0,ハロウィン
Always,Limit,Enable,2,38,4,0,8,32,3,1,1,0,0,0,1,Harvest_Cook,0,0,0,ハーベスト_調理
Always,Limit,Enable,2,37,4,0,8,33,3,1,1,0,0,0,1,Harvest_Party,0,0,0,ハーベスト_立食
Always,Limit,None,2,39,4,0,8,34,3,1,1,0,0,0,1,Christmas,0,0,0,クリスマス
Always,Limit,Enable,2,44,4,0,8,35,3,1,1,0,0,0,1,Carnival,0,0,0,カーニバル
