Offset,ContinuousTime,ItemUniqueID,BehaviorType,ConditionType,FlagType,InterestEndModeType,IntervalTime,LabelType,MoveASType,MoveConditionType,NeedType,RainActive,TimeZoneIndoorEarlyMorningLevel,TimeZoneIndoorEveningLevel,TimeZoneIndoorMidnightLevel,TimeZoneIndoorMorningLevel,TimeZoneIndoorNightLevel,TimeZoneIndoorNoonLevel,TimeZoneOutdoorEarlyMorningLevel,TimeZoneOutdoorEveningLevel,TimeZoneOutdoorMidnightLevel,TimeZoneOutdoorMorningLevel,TimeZoneOutdoorNightLevel,TimeZoneOutdoorNoonLevel,VillageDevelopmentLevel,WaitASType
2,900,-2,20,0,0,0,1,1,,3,0,2,2,2,2,2,2,2,0,0,0,0,0,0,1,
2,900,-2,21,1,0,0,1,1,,1,0,2,2,2,2,2,2,2,0,0,0,0,0,0,1,
0,900,-2,22,10,0,2,1,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,1800,-2,24,3,1,2,1,0,,6,2,0,2,2,2,2,2,2,0,0,0,0,0,0,3,
0,105,-2,25,3,0,0,1,0,,6,2,0,2,2,2,2,2,2,0,0,0,0,0,0,1,
7.5,150,-2,23,4,0,1,1,1,,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,CommonSmellFlower
0,450,-2,26,5,0,2,1,1,,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,450,-2,27,6,0,2,1,1,,5,0,2,2,2,2,2,2,2,0,0,0,0,0,0,1,
0,4500,-2,28,11,0,0,1,1,,6,0,2,2,2,2,2,2,2,2,0,2,2,2,0,1,
0,900,-2,29,11,0,0,1,1,,6,3,0,2,2,2,2,2,2,2,2,2,2,2,2,1,
0,300,-2,30,11,0,0,1,1,,6,3,0,2,2,2,2,2,2,2,2,2,2,2,2,1,
0,1200,-2,31,8,0,2,1,1,,6,1,0,2,2,2,2,2,2,0,0,0,0,0,0,1,cNpcWatchInsect
12,450,-2,23,7,0,0,1,1,,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,
0,900,-2,32,9,0,2,1,1,,2,1,0,2,2,2,2,2,2,0,0,0,0,0,0,1,
0,450,-2,33,2,0,0,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,450,-2,34,2,0,0,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,1800,-2,35,2,0,0,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,1800,-2,36,2,0,0,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,1800,-2,37,2,0,0,1,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
