ArriveDist,ItemUniqueID,SatisfyMinute,BehaviorType,EquipRule,FlagType,GroupActivityPlacementType,HobbyEducationLevel,HobbyFashionLevel,HobbyFitnessLevel,HobbyMotif,HobbyMusicLevel,HobbyNatureLevel,HobbyPlayLevel,LifeMotif,LiveMotif,LookAtType,MoveASType,NetPlay,RainActive,RainEquipment,SeasonAutumnLevel,SeasonSpringLevel,SeasonSummerLevel,SeasonWinterLevel,SpotType,TimeZoneIndoorEarlyMorningLevel,TimeZoneIndoorEveningLevel,TimeZoneIndoorMidnightLevel,TimeZoneIndoorMorningLevel,TimeZoneIndoorNightLevel,TimeZoneIndoorNoonLevel,TimeZoneOutdoorEarlyMorningLevel,TimeZoneOutdoorEveningLevel,TimeZoneOutdoorMidnightLevel,TimeZoneOutdoorMorningLevel,TimeZoneOutdoorNightLevel,TimeZoneOutdoorNoonLevel,VillageDevelopmentLevel,WaitASType
-1,-2,15,1,,0,0,2,2,2,2,2,2,2,0,2,7,,1,0,0,1,1,1,1,,2,2,2,2,2,2,0,0,0,0,0,0,2,
-1,-2,15,15,,0,0,2,2,2,2,2,2,2,0,2,7,,1,2,2,1,1,1,1,TB,0,0,0,0,0,0,0,0,2,0,0,0,4,cNpcEating
-1,-2,15,15,,0,0,2,2,2,2,2,2,2,0,2,7,,1,2,2,1,1,1,1,TB,0,0,0,0,0,0,0,0,2,0,0,0,4,cNpcDrinking
-1,4383,15,0,,0,0,2,2,2,2,2,2,2,0,2,7,,1,1,1,1,1,1,1,,2,2,2,2,2,2,2,0,2,0,0,0,4,
-1,-2,15,14,,0,0,2,2,2,2,2,2,2,0,2,6,,1,2,2,1,1,1,1,,0,0,0,0,0,0,2,2,2,2,2,2,0,
-1,-2,15,8,cSports,4,0,2,2,2,2,2,2,2,1,2,0,,1,1,1,1,1,1,1,�,0,0,0,0,0,0,0,0,2,0,0,0,4,cNpcGymnastics
-1,4384,15,7,,0,0,2,2,2,2,2,2,2,1,2,4,,1,2,2,1,1,1,1,�,0,0,0,0,0,0,0,0,2,0,0,0,2,cNpcCleaning
-1,-2,15,8,cYoga,4,0,2,2,2,2,2,2,2,2,2,7,,1,2,2,1,1,1,1,�,0,0,0,0,0,0,0,0,2,0,0,0,4,cNpcYoga
-1,7395,15,2,cSports,0,0,2,2,2,2,2,2,2,2,2,7,,1,2,2,1,1,1,1,,0,0,0,0,0,0,0,0,2,0,0,0,4,cNpcWorkout
-1,-2,15,9,,0,0,2,2,2,0,2,2,0,3,2,7,cAirplaneRun,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,2,0,2,0,2,
-1,-2,15,34,,4,0,2,2,2,0,0,2,2,3,2,7,,1,1,1,1,1,1,1,�,0,0,0,0,0,0,0,0,1,0,0,0,2,
-1,-2,15,33,,4,0,2,2,2,0,0,2,2,3,2,7,,1,1,1,1,1,1,1,�,0,0,0,0,0,0,0,0,1,0,0,0,2,
-1,5480,15,2,cSports,0,0,2,2,0,0,2,2,2,3,2,7,,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,1,0,0,0,2,cNpcWorkout
-1,-2,15,8,cSports,4,0,2,2,0,0,2,2,2,3,2,0,,1,1,1,1,1,1,1,�,0,0,0,0,0,0,0,0,1,0,0,0,2,cNpcGymnastics
-1,4383,15,0,,0,0,2,0,2,0,2,2,2,3,2,7,,1,2,2,1,1,1,1,,2,2,2,2,2,2,2,0,2,0,0,0,2,
-1,-2,15,8,cYoga,4,0,2,0,2,0,2,2,2,3,2,7,,1,1,1,1,1,1,1,�,0,0,0,0,0,0,0,0,1,0,0,0,2,cNpcYoga
-1,7313,15,8,cReadingBook,1,0,0,2,2,0,2,2,2,3,2,7,,1,2,2,1,1,1,1,T,0,0,0,0,0,0,2,0,2,0,2,0,2,cNpcBookSit
-1,-2,15,10,,0,0,2,2,2,0,2,0,2,3,2,3,,1,2,2,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,2,
-1,-2,15,8,,1,0,2,2,2,0,2,0,2,3,2,3,,1,1,1,1,1,1,1,,2,2,2,2,2,2,0,0,1,0,0,0,2,cNpcNatureInterest
