NpcMsgBullfestCondition,AN1Index,AN2Index,AccessoryID,BO1Index,BO2Index,BagID,BottomsID,CapID,CombinationNum,EyeAcceID,FU1Index,FU2Index,GE1Index,GE2Index,HA1Index,HA2Index,HelmetID,KO1Index,KO2Index,OT1Index,OT2Index,ShoesID,SocksID,ToolID,TopsID,UmbrellaID,UniqueID,ZK1Index,ZK2Index
NpcRelatedTops,1,101,-2,1,101,-2,-2,-2,0,-2,1,101,1,101,1,101,-2,1,101,1,101,-2,-2,-2,-2,-2,1,1,101
NpcRelatedAccessory,2,-1,-2,2,-1,-2,-2,-2,0,-2,2,-1,2,-1,2,-1,-2,2,-1,2,-1,-2,-2,-2,-2,-2,2,2,65535
CapOrHelmet,3,-1,-2,3,-1,-2,-2,-2,0,-2,3,-1,3,-1,3,-1,-2,3,-1,3,-1,-2,-2,-2,-2,-2,3,3,65535
Accessory,4,-1,-2,4,-1,-2,-2,-2,0,-2,4,-1,4,-1,4,-1,-2,4,-1,4,-1,-2,-2,-2,-2,-2,5,4,65535
Bottoms,5,-1,-2,5,-1,-2,-2,-2,0,-2,5,-1,5,-1,5,-1,-2,5,-1,5,-1,-2,-2,-2,-2,-2,6,5,65535
Shoes,6,-1,-2,6,-1,-2,-2,-2,0,-2,6,-1,6,-1,6,-1,-2,6,-1,6,-1,-2,-2,-2,-2,-2,7,6,65535
MyDesignTopsByPlayer,7,-1,-2,7,-1,-2,-2,-2,0,-2,7,-1,7,-1,7,-1,-2,7,-1,7,-1,-2,-2,-2,-2,-2,8,7,65535
MyDesignTopsByOtherPlayer,8,-1,-2,8,-1,-2,-2,-2,0,-2,8,-1,8,-1,8,-1,-2,8,-1,8,-1,-2,-2,-2,-2,-2,9,8,65535
MyDesignTopsByOtherVillage,9,-1,-2,9,-1,-2,-2,-2,0,-2,9,-1,9,-1,9,-1,-2,9,-1,9,-1,-2,-2,-2,-2,-2,10,9,65535
SprintTopsInSpring,10,101,-2,10,101,-2,-2,-2,0,-2,10,101,10,101,10,101,-2,10,101,10,101,-2,-2,-2,-2,-2,11,10,101
SummerTopsInSummer,11,101,-2,11,101,-2,-2,-2,0,-2,11,101,11,101,11,101,-2,11,101,11,101,-2,-2,-2,-2,-2,12,11,101
AutumnTopsInAutumn,12,101,-2,12,101,-2,-2,-2,0,-2,12,101,12,101,12,101,-2,12,101,12,101,-2,-2,-2,-2,-2,13,12,101
WinterTopsInWinter,13,101,-2,13,101,-2,-2,-2,0,-2,13,101,13,101,13,101,-2,13,101,13,101,-2,-2,-2,-2,-2,14,13,101
WinterTopsInSummer,14,101,-2,14,101,-2,-2,-2,0,-2,14,101,14,101,14,101,-2,14,101,14,101,-2,-2,-2,-2,-2,15,14,101
SummerTopsInWinter,15,101,-2,15,101,-2,-2,-2,0,-2,15,101,15,101,15,101,-2,15,101,15,101,-2,-2,-2,-2,-2,16,15,101
WearCuteTops,16,101,-2,16,101,-2,-2,-2,0,-2,16,101,16,101,16,101,-2,16,101,16,101,-2,-2,-2,-2,-2,18,16,101
WearCoolTops,17,101,-2,17,101,-2,-2,-2,0,-2,17,101,17,101,17,101,-2,17,101,17,101,-2,-2,-2,-2,-2,19,17,101
WearSimpleTops,18,101,-2,18,101,-2,-2,-2,0,-2,18,101,18,101,18,101,-2,18,101,18,101,-2,-2,-2,-2,-2,20,18,101
WearGorgeousTops,19,101,-2,19,101,-2,-2,-2,0,-2,19,101,19,101,19,101,-2,19,101,19,101,-2,-2,-2,-2,-2,22,19,101
WearActiveTops,20,101,-2,20,101,-2,-2,-2,0,-2,20,101,20,101,20,101,-2,20,101,20,101,-2,-2,-2,-2,-2,23,20,101
WearElegantTops,21,101,-2,21,101,-2,-2,-2,0,-2,21,101,21,101,21,101,-2,21,101,21,101,-2,-2,-2,-2,-2,24,21,101
None,216,401,12129,216,401,12131,-2,12132,3,-2,216,401,216,401,216,401,-2,216,401,216,401,12130,-2,-2,12127,9560,25,216,401
None,202,401,-2,202,401,12447,-2,12446,3,-2,202,401,202,401,202,401,-2,202,401,202,401,-2,-2,12578,12448,-2,29,202,401
None,202,401,-2,202,401,12447,-2,12445,3,-2,202,401,202,401,202,401,-2,202,401,202,401,-2,-2,12578,12448,-2,30,202,401
None,202,401,-2,202,401,12447,-2,12444,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12460,-2,12578,12454,-2,31,202,401
None,202,401,-2,202,401,12447,-2,12443,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12459,-2,12578,12453,-2,32,202,401
