AcceEye,Bottoms,Cap,Shoes,SpNpcID,Tool,Tops,UniqueID,Label,Name
65534,4218,65534,7907,38,65534,7925,0,SzaOfficeSummer,しずえ・夏服役場セット
65534,4476,65534,7907,38,65534,8029,1,SzaOfficeWinter,しずえ・冬服役場セット
65534,3571,65534,65534,34,65534,3564,2,RcoSummer,たぬきち・夏服
65534,4260,65534,65534,34,65534,4278,5,RcoWinter,たぬきち・冬服
65534,5124,65534,65534,52,65534,65534,6,RcmShopApron,まめきち・商店前掛け
65534,65534,65534,65534,8,4200,65534,7,TkkGuitar,とたけけギター
65534,5563,5946,4221,38,65534,5562,8,SzaCountdown,しずえ・大晦日カウントダウン
65534,5763,4799,65534,34,65534,5762,10,RcoCountdown,たぬきち・大晦日カウントダウン
65534,65534,65534,65534,52,65534,5943,11,RcmSummer,まめきち・初期夏服
65534,65534,65534,65534,52,65534,5945,12,RcmWinter,まめきち・初期冬服
65534,65534,65534,65534,52,6886,5943,13,RcmSummerFlag,つぶきち・初期夏服(旗)
65534,65534,65534,65534,52,6886,5945,14,RcmWinterFlag,つぶきち・初期冬服(旗)
7288,65534,7256,65534,66,65534,65534,15,DocDefault,キャプテン・デフォルト
65534,65534,7301,65534,52,65534,7300,16,RcmShop02Apron,まめきち・商店2制服
65534,65534,65534,65534,63,9620,65534,17,ChyNet,しんカメヤマ・あみ
65534,65534,65534,65534,59,7968,65534,18,BeyFishingrod,しんうおまさ・つりざお
65534,65534,65534,65534,11,7285,65534,19,HgcSketchBook,ことの・スケッチブック
65534,65534,65534,65534,44,65534,10896,20,MkaDefault,あやしいネコ・デフォルト
65534,65534,12580,65534,39,10999,65534,21,TtlADefault,コトブキ・デフォルト
65534,65534,65534,65534,42,65534,10865,22,XctDefault,みしらぬネコ・デフォルト
65534,12337,65534,65534,9,65534,65534,23,FoxApron,つねきち・前掛け
65534,65534,65534,65534,1,65534,12381,24,AlwDefault,リサ・デフォルト
65534,65534,65534,65534,0,65534,12380,25,AlpDefault,カイゾー・デフォルト
12474,65534,12475,65534,65,65534,65534,26,TkkDJ,とたけけ・DJ K.K
65534,65534,12507,65534,19,65534,12508,27,MnkDefault,えきいんさん・デフォルト
65534,65534,12548,65534,1,65534,12547,30,AlwWedding,リサ・ウェディング
65534,65534,65534,65534,0,65534,12549,31,AlpWedding,カイゾー・ウェディング
65534,65534,14412,12847,56,65534,12617,32,OtgASummer,タクミ・夏服
65534,65534,65534,65534,50,12636,65534,33,WrlDefault,セイイチ・デフォルト
65534,12656,14410,65534,67,65534,12696,34,ManSummer,ナッティー・夏服
65534,65534,14411,65534,68,65534,12895,36,MncSummer,ニコ・夏服
65534,65534,65534,65534,6,12956,65534,37,ChmNet,カメヤマさん・あみ
65534,65534,5129,65534,58,65534,65534,38,SpnWedding,パニエル・ウェディング
7288,65534,5129,65534,66,65534,65534,39,DocWedding,ロドリー・ウェディング
65534,12972,65534,65534,9,65534,12971,40,FoxFes,つねきち・屋台amiiboセット
65534,12972,10876,65534,9,65534,12971,41,FoxFireSummer,つねきち・夏花火大会セット
65534,12972,11534,65534,9,65534,12971,42,FoxFireWinter,つねきち・冬花火大会セット
65534,4218,2611,7907,38,65534,7925,43,SzaFireSummer,しずえ・夏服花火大会セット
65534,4476,2611,7907,38,65534,8029,44,SzaFireWinter,しずえ・冬服花火大会セット
65534,65534,13446,65534,21,13605,65534,45,MolDefault,リセット・デフォルト
65534,65534,13929,65534,20,13605,65534,47,MobDefault,ラケット・デフォルト
65534,65534,65534,65534,48,13317,65534,48,ReiDefault,ジングル・デフォルト
65534,65534,65534,65534,40,65534,65534,49,TukCooking,フランクリン・調理中
65534,65534,13894,12847,71,65534,12617,50,OtgBSummer,タクミすっぴん・夏服
65534,65534,14045,65534,43,65534,65534,51,SloDefault,レイジ・デフォルト
65534,12656,14455,65534,67,65534,14343,52,ManWinter,ナッティー・冬服
65534,65534,14360,65534,68,65534,14344,53,MncWinter,ニコ・冬服
65534,65534,14413,14359,56,65534,14342,54,OtgAWinter,タクミ・冬服
65534,65534,65534,65534,54,10999,65534,55,TtlBDefault,ドンどんぐり・デフォルト
65534,65534,13894,14359,71,65534,14342,56,OtgBWinter,タクミすっぴん・冬服
65534,65534,14681,12847,56,14658,12617,57,OtgParty,タクミ・打ち上げ
65534,65534,14681,12847,56,14658,12617,58,OtgParty2,タクミ・打ち上げ2
65534,65534,14679,65534,68,14654,12895,59,MncParty,ニコ・打ち上げ
4240,65534,14679,65534,68,14654,12895,60,MncParty2,ニコ・打ち上げ2
65534,12656,14678,65534,67,14509,12696,61,ManParty,ナッティー・打ち上げ
11007,12656,14678,65534,67,14509,12696,62,ManParty2,ナッティー・打ち上げ2
14731,65534,65534,65534,16,65534,65534,63,KppGlasses,かっぺい・桟橋
65534,3571,65534,65534,34,65534,14769,64,RcoExercises,たぬきち・体操
65534,14771,65534,65534,38,65534,14770,65,SzaExercises,しずえ・体操
65534,65534,65534,65534,52,65534,14773,66,RcmExercises,まめきち・体操
65534,65534,12580,65534,39,65534,65534,67,TtlASitDown,コトブキ・座り
65534,65534,8611,65534,74,65534,65534,68,PooBWedding,カットリーヌ・ウェディング
65534,65534,65534,65534,21,65534,65534,69,MolNoHelmet,リセット・ヘルメットなし
65534,65534,65534,65534,20,65534,65534,70,MobNoHelmet,ラケット・ヘルメットなし
