NormalScaleBottomsA,NormalScaleBottomsB,NormalScaleBottomsG,NormalScaleBottomsR,NormalScaleHA,NormalScaleHB,NormalScaleHG,NormalScaleHR,NormalScaleLA,NormalScaleLB,NormalScaleLG,NormalScaleLR,NormalScaleNA,NormalScaleNB,NormalScaleNG,NormalScaleNR,UniqueID,Label,Name
0.6,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,0,rco,たぬきち
0.7,0,0,0,0,0,0.6,0,0,0.6,0.6,0,0,0,0,0,1,sza,しずえ
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,2,rcm,まめきち
0,0,0,0,0,0.6,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,3,mka,あやしいネコ
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,4,rct,つぶきち
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,5,alw,リサ
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,6,alp,カイゾー
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,7,xct,みしらぬネコ
0.6,0,0,0,0,0,0.6,0,0,0.6,0.6,0,0,0,0,0,8,fox,つねきち
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,9,otg,タクミ
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,10,man,ナッティー
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,11,mnc,ニコ
0,0,0,0,0,0,0.6,0.6,0,0.6,0.6,0.6,0,0,0,0.6,12,mnk,えきいんさん
