AppearArea*,ItemID,ProbAprDaytime,ProbAprMorningAndEvening,ProbAprNight,ProbAugDaytime,ProbAugMorningAndEvening,ProbAugNight,ProbDecDaytime,ProbDecMorningAndEvening,ProbDecNight,ProbFebDaytime,ProbFebMorningAndEvening,ProbFebNight,ProbJanDaytime,ProbJanMorningAndEvening,ProbJanNight,ProbJulDaytime,ProbJulMorningAndEvening,ProbJulNight,ProbJunDaytime,ProbJunMorningAndEvening,ProbJunNight,ProbMarDaytime,ProbMarMorningAndEvening,ProbMarNight,ProbMayDaytime,ProbMayMorningAndEvening,ProbMayNight,ProbNovDaytime,ProbNovMorningAndEvening,ProbNovNight,ProbOctDaytime,ProbOctMorningAndEvening,ProbOctNight,ProbSepDaytime,ProbSepMorningAndEvening,ProbSepNight
North,2620,10,12,7,0,0,0,8,9,6,10,10,10,10,10,8,4,6,4,10,10,5,11,14,10,12,13,7,5,5,4,3,4,3,0,0,0
South,2620,3,4,3,10,10,10,10,10,5,0,0,0,4,6,4,10,10,8,8,9,6,0,0,0,5,5,4,12,13,7,10,12,7,11,14,10
North,2830,0,0,0,11,9,7,0,0,0,0,0,0,0,0,0,12,9,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4
South,2830,0,0,0,0,0,0,8,8,8,11,9,7,12,9,7,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0
North,2831,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,7,5,4,7,5,4,0,0,0,4,4,4,0,0,0,0,0,0,4,2,3
South,2831,0,0,0,0,0,0,7,5,4,6,5,4,7,5,4,0,0,0,0,0,0,4,2,3,0,0,0,4,4,4,0,0,0,0,0,0
North,2832,8,8,8,7,7,8,6,6,8,8,8,11,8,8,8,7,7,10,7,7,8,8,8,8,8,8,8,6,6,6,8,8,8,7,7,8
South,2832,8,8,8,8,8,11,7,7,8,7,7,8,7,7,10,8,8,8,6,6,8,7,7,8,6,6,6,8,8,8,8,8,8,8,8,8
North,2834,8,8,10,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,8,6,10,5,4,5,5,4,5,2,2,3
South,2834,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,2,3,5,4,5,8,6,10,8,8,10,8,8,10
North,2835,0,0,0,0,3,6,0,3,3,0,0,0,0,3,5,0,3,5,0,1,3,0,0,0,0,0,0,0,3,3,0,1,3,0,1,3
South,2835,0,1,3,0,0,0,0,1,3,0,3,6,0,3,5,0,3,5,0,3,3,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0
North,2838,3,2,2,3,2,2,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,4,3,3,3,2,2,3,2,2
South,2838,3,2,2,3,3,3,3,2,2,3,2,2,3,2,2,3,3,3,4,3,3,3,2,2,4,3,3,3,2,2,3,2,2,3,2,2
North,2839,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6
South,2839,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6
North,2840,10,8,8,11,6,4,12,8,8,14,8,14,12,8,12,10,6,6,13,6,4,12,7,7,12,8,7,9,9,5,12,7,7,11,6,3
South,2840,12,7,7,14,8,14,13,6,4,11,6,4,10,6,6,12,8,12,12,8,8,11,6,3,9,9,5,12,8,7,10,8,8,12,7,7
North,2841,8,6,8,7,8,5,6,6,5,8,8,8,8,8,8,5,5,4,6,6,6,8,6,8,8,6,8,6,6,5,9,10,6,9,7,6
South,2841,9,10,6,8,8,8,6,6,6,7,8,5,5,5,4,8,8,8,6,6,5,9,7,6,6,6,5,8,6,8,8,6,8,8,6,8
North,2842,10,8,4,0,0,0,10,6,4,10,9,4,10,8,4,0,0,0,0,0,0,10,9,4,0,0,0,12,6,4,0,0,0,0,0,0
South,2842,0,0,0,10,9,4,0,0,0,0,0,0,0,0,0,10,8,4,10,6,4,0,0,0,12,6,4,0,0,0,10,8,4,10,9,4
North,2843,8,6,6,3,3,1,8,6,6,12,10,8,12,8,8,3,3,3,3,3,3,10,10,8,3,3,3,6,6,3,6,6,3,3,3,3
South,2843,6,6,3,12,10,8,3,3,3,3,3,1,3,3,3,12,8,8,8,6,6,3,3,3,6,6,3,3,3,3,8,6,6,10,10,8
North,2844,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
South,2844,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
North,2845,0,5,8,0,2,5,0,2,5,0,3,5,0,3,5,0,2,5,0,2,5,0,5,8,0,3,5,0,2,5,0,2,5,0,3,5
South,2845,0,2,5,0,3,5,0,2,5,0,2,5,0,2,5,0,3,5,0,2,5,0,3,5,0,2,5,0,3,5,0,5,8,0,5,8
North,2846,0,0,0,0,0,0,0,5,8,0,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,8,12,0,3,5
South,2846,0,8,12,0,4,5,0,0,0,0,0,0,0,0,0,0,4,5,0,5,8,0,3,5,0,5,8,0,0,0,0,0,0,0,0,0
North,2847,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
South,2847,0,0,0,0,0,0,0,1,4,0,1,4,0,1,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
North,2848,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
South,2848,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
North,2849,2,2,2,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
South,2849,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
North,2850,1,1,1,0,0,0,2,2,1,2,3,1,2,3,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
South,2850,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,3,1,2,2,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
North,2852,0,0,0,0,0,0,1,2,1,1,2,1,1,2,1,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0
South,2852,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1
North,2853,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
South,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1
North,2854,2,2,3,6,4,4,5,4,4,2,2,3,6,4,6,5,4,5,6,4,6,2,2,3,6,4,6,6,4,6,8,4,6,8,4,3
South,2854,8,4,6,2,2,3,6,4,6,6,4,4,5,4,5,6,4,6,5,4,4,8,4,3,6,4,6,6,4,6,2,2,3,2,2,3
North,2857,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
South,2857,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
North,2855,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,8,6,0,8,6,0
South,2855,8,6,0,0,0,0,6,6,0,8,6,0,6,6,0,0,0,0,0,0,0,8,6,0,0,0,0,6,6,0,0,0,0,0,0,0
North,2856,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5
South,2856,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,3,5,0,3,5,0,3,5
North,2858,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
South,2858,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
