FlagLand,FlagPlayer,ShopType,AttrCollectBit,ItemFrom
268,-1,Shop,0,Shop_EnableAxe
266,-1,Shop,0,Shop_EnableShovel
13,-1,Shop,0,Shop_EnableRecipeWatering
74,-1,Shop,0,Shop_EnableRecipeScoop
-1,513,Label1,1,MileExchangeLicense
-1,564,Shop,0,ShopRemakeKit
-1,564,Label1,0,MileExchangePhoneCase
-1,269,Label1,1,MileExchangeOnce
245,-1,Shop,0,FruitApple
246,-1,Shop,0,FruitOrange
247,-1,Shop,0,FruitPear
248,-1,Shop,0,FruitPeach
249,-1,Shop,0,FruitCherry
45,-1,Shop,0,ShopRecipeBook2
-1,672,Label1,1,MileExchangePocket40
45,-1,Shop,0,ShopCracker
265,-1,Shop,0,ShopTimer
125,-1,Shop,0,Shop_EnableRecipeLadder
330,-1,Label1,0,MileExchangeNsoPresent
-1,1215,Label1,1,MileExchangeNewColor
-1,1174,Label1,1,MileExchangeMydesignPro2
380,-1,Shop,0,Harvest_RecipeBook
-1,1620,Label1,1,MileExchangeReaction
-1,845,Label1,1,MileExchange_MydesignShowcase
-1,1445,Label1,1,MileExchangeDIYRecipePlus
59,320,Label1,1,MileExchangeOfficePlus
-1,1463,Label1,1,MileExchangeFenceRemake
-1,1445,Shop,0,ShopCookingRecipeBook1
380,1445,Shop,0,Harvest_CookingRecipeBook
2,-1,Label1,0,MileExchangeFtrAfterED
-1,1596,Shop,0,Shop_EnableRecipeFIXLadder
-1,1597,Label1,1,MileExchangeInteriorPRO
-1,1600,Label1,1,MileExchangeHairStylev200
-1,1599,Label1,1,MileExchangeReactionv200
-1,1602,Label1,1,MileExchangeTipsApp
-1,1621,Label1,1,MileExchangeHairStylev160
-1,1622,Label1,1,MileExchangeBridgeSlopePlus
-1,1673,Label1,0,MileExchangeATM
-1,1674,Label1,0,MileExchangeStoreRoom
541,-1,Shop,0,Shop_EnableRecipePitfallSeed
