AudioMusicCategory,AudioMusicID,RefItemUniqueID,UniqueID,KimeProbability,Label
Blue,1,2405,6,80,Sanbika
Gokigen,2,2406,9,40,March
Blue,3,2407,10,80,Waltz
Mattari,4,2408,11,60,Swing
Mattari,5,2409,12,80,Jazz
Mattari,6,2410,13,60,Fusion
Blue,7,2411,14,40,Etude
Blue,8,2412,15,40,Lullaby
Mattari,9,2413,16,40,Maria
Gokigen,10,2414,17,60,Samba
Mattari,11,2415,18,60,Bossa
Gokigen,12,2416,19,80,Caripso
Gokigen,13,2417,20,60,Salsa
Gokigen,14,2418,21,60,Mambo
Mattari,15,2419,22,40,Reggae
Gokigen,16,2420,23,40,Ska
Fukigen,17,2421,24,50,Tango
Mattari,18,2422,25,40,Haisai
Mattari,19,2423,26,40,Aloha
Fukigen,20,2424,27,60,Irish
Blue,21,2425,28,80,Peru
Fukigen,22,2426,29,60,Cossack
Fukigen,23,2427,30,60,China
Fukigen,24,2428,31,60,Turkey
Fukigen,25,2429,32,60,Afro
Wakaranai,26,2430,33,60,Minyo
Fukigen,27,2431,34,60,Rock
Fukigen,28,2432,35,60,Rocknroll
Gokigen,29,2433,36,60,Ragtime
Wakaranai,30,2434,37,80,Neworleans
Wakaranai,31,2435,38,50,Funk
Wakaranai,32,2436,39,40,Blues
Mattari,33,2437,40,70,Gospel
Wakaranai,34,2438,41,70,Soul
Fukigen,35,2439,42,40,Urban
Mattari,36,2440,43,40,Lovesong
Wakaranai,37,2441,44,40,Drumnbass
Wakaranai,38,2442,45,60,Technobeat
Fukigen,39,2443,46,50,Eurobeat
Blue,40,2444,47,80,Onlyme
Gokigen,41,2445,48,60,Country
Fukigen,42,2446,49,40,Eleki
Blue,43,2447,50,40,Ballad
Blue,44,2448,51,60,Showakayo
Blue,45,2449,52,60,Enka
Fukigen,46,2450,53,60,Kekerider
Blue,47,2451,54,60,Kowaiuta
Blue,48,2452,55,60,Western
Mattari,49,2453,56,50,Sensei
Gokigen,50,2454,57,60,Paris
Gokigen,51,2455,58,60,Parade
Gokigen,52,2456,59,60,Senor
Wakaranai,53,2457,60,60,Kekesong
Mattari,54,2458,61,40,Daisuki
Blue,55,2459,62,40,Ototoi
Mattari,56,2460,63,60,Bokunobasho
Mattari,57,2461,64,40,Morinoseikatsu
Wakaranai,58,2462,65,60,Naminami
Mattari,59,2463,66,60,Kangaechu
Gokigen,60,2464,67,40,Dixie
Wakaranai,61,2465,68,80,Gamelan
Blue,62,2466,69,60,Daimyo
Gokigen,63,2467,70,60,Alpine
Mattari,64,2468,71,60,Hunauta2001
Gokigen,65,2469,72,70,Napolitan
Blue,66,2470,73,50,Nidanzaka
Gokigen,67,2471,74,60,Kekebily
Wakaranai,68,2472,75,50,Keiji
Wakaranai,69,2473,76,60,Ondo
Fukigen,70,2474,77,60,Metal
Blue,71,2475,78,60,Blueonigiri
Gokigen,72,2476,79,60,Harunokomorebi
Mattari,73,2477,80,60,Horo
Fukigen,74,2478,81,40,House
Blue,75,2479,82,40,Sonata
Wakaranai,76,2480,83,40,Utatanenoyume
Mattari,77,2481,84,60,Osanpo
Mattari,78,2482,85,60,Doubutsunoshima
Wakaranai,79,2483,86,60,Minimal
Fukigen,80,2484,87,60,Hollywood
Wakaranai,81,2485,88,60,Maharaja
Fukigen,82,2486,89,60,Roma
Blue,83,2487,90,80,Milonga
Gokigen,84,2488,91,50,Raregroove
Fukigen,85,2489,92,60,Jongara
Fukigen,86,2490,93,60,Flamenco
Mattari,87,2491,94,50,Bolero
Gokigen,88,2492,95,60,Idol
Mattari,89,2493,96,40,Electronica
Gokigen,90,2494,97,60,Disco
Mattari,91,2495,98,60,Birthdaysong
Mattari,92,4312,100,60,Town
Gokigen,93,4314,101,40,Drive
Mattari,94,4313,102,60,Sayonara
Mattari,95,4318,103,40,Minnaatsumare
Mattari,96,7657,104,60,Fugue
Gokigen,97,7658,105,60,Polka
Mattari,98,7659,106,60,Slackkey
Gokigen,99,7660,107,60,Choro
Mattari,100,7661,108,60,Chillwave
Mattari,101,7662,109,60,Dub
Mattari,102,7663,110,60,Lovers
Gokigen,103,7664,111,60,Bashment
Gokigen,104,7665,112,60,Hiphop
Gokigen,105,7666,113,60,Break
Mattari,106,7667,114,60,Khoomii
Gokigen,107,7668,115,60,Android
Mattari,901,4315,116,60,Hazure01
Gokigen,902,4316,117,60,Hazure02
Gokigen,903,4317,118,60,Hazure03
