HaniwaPartsType,9ad7622 f32,RefItemUniqueID,UniqueID,NoteMax,NoteMin,9b88ebfe u16
BassDrum,1,14080,8,77,60,40
BassDrum,1,14081,9,77,60,40
BassDrum,1,14082,10,77,60,40
BassDrum,1,14083,11,77,60,40
SnareDrum,1,14086,14,77,60,40
SnareDrum,1,14087,15,77,60,40
SnareDrum,1,14088,16,77,60,40
SnareDrum,1,14089,17,77,60,40
SnareDrum,1,14090,18,77,60,40
HiHat,1,14092,20,77,60,40
HiHat,1,14093,21,77,60,40
HiHat,1,14094,22,77,60,40
HiHat,1,14095,23,77,60,40
CrashCymbal,1,14098,26,77,60,40
CrashCymbal,1,14099,27,77,60,40
CrashCymbal,1,14100,28,77,60,40
CrashCymbal,1,14101,29,77,60,40
