e7e1c6cd.MM3Ref,b6f6977b.MM3Ref,a1def3bb.MM3Ref,98a65efb.MM3Ref,f0c9a20d.MM3Ref,c9b10f4d.MM3Ref,de996b8d.MM3Ref,bb4055cd.MM3Ref,ac68310d.MM3Ref,95109c4d.MM3Ref,8238f88d.MM3Ref,5ea2e0cd.MM3Ref,498a840d.MM3Ref,UniqueID,Name,Stage0,Stage1,Stage10,Stage11,Stage12,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9
InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,0,NoDoor,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse0,InvalidStage,InvalidStage,InvalidStage,PlayerHouse0_1,PlayerHouse0_2,PlayerHouse0_3,PlayerHouse0_4,PlayerHouse0_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,1,PlayerHouse0,PlayerHouse0,PlayerHouse0_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse0_2,PlayerHouse0_3,PlayerHouse0_4,PlayerHouse0_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse1_1,PlayerHouse1_2,PlayerHouse1_3,PlayerHouse1_4,PlayerHouse1_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,2,PlayerHouse1,PlayerHouse1,PlayerHouse1_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse1_2,PlayerHouse1_3,PlayerHouse1_4,PlayerHouse1_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse2,InvalidStage,InvalidStage,InvalidStage,PlayerHouse2_1,PlayerHouse2_2,PlayerHouse2_3,PlayerHouse2_4,PlayerHouse2_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,3,PlayerHouse2,PlayerHouse2,PlayerHouse2_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse2_2,PlayerHouse2_3,PlayerHouse2_4,PlayerHouse2_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse3,InvalidStage,InvalidStage,InvalidStage,PlayerHouse3_1,PlayerHouse3_2,PlayerHouse3_3,PlayerHouse3_4,PlayerHouse3_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,4,PlayerHouse3,PlayerHouse3,PlayerHouse3_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse3_2,PlayerHouse3_3,PlayerHouse3_4,PlayerHouse3_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse4,InvalidStage,InvalidStage,InvalidStage,PlayerHouse4_1,PlayerHouse4_2,PlayerHouse4_3,PlayerHouse4_4,PlayerHouse4_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,5,PlayerHouse4,PlayerHouse4,PlayerHouse4_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse4_2,PlayerHouse4_3,PlayerHouse4_4,PlayerHouse4_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse5,InvalidStage,InvalidStage,InvalidStage,PlayerHouse5_1,PlayerHouse5_2,PlayerHouse5_3,PlayerHouse5_4,PlayerHouse5_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,6,PlayerHouse5,PlayerHouse5,PlayerHouse5_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse5_2,PlayerHouse5_3,PlayerHouse5_4,PlayerHouse5_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse6,InvalidStage,InvalidStage,InvalidStage,PlayerHouse6_1,PlayerHouse6_2,PlayerHouse6_3,PlayerHouse6_4,PlayerHouse6_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,7,PlayerHouse6,PlayerHouse6,PlayerHouse6_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse6_2,PlayerHouse6_3,PlayerHouse6_4,PlayerHouse6_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
PlayerHouse7,InvalidStage,InvalidStage,InvalidStage,PlayerHouse7_1,PlayerHouse7_2,PlayerHouse7_3,PlayerHouse7_4,PlayerHouse7_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage,8,PlayerHouse7,PlayerHouse7,PlayerHouse7_1,InvalidStage,InvalidStage,InvalidStage,PlayerHouse7_2,PlayerHouse7_3,PlayerHouse7_4,PlayerHouse7_5,InvalidStage,InvalidStage,InvalidStage,InvalidStage
NpcHouse0,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,9,NpcHouse0,NpcHouse0,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage,InvalidStage
