Door0Angle,85a0fa49.HashRef,FacilityModelVariation,FloorHeight,Door0,DoorMaterial,9c2d6dc6 u16,RoofMaterial,StructureInfoUniqueID,UniqueID,Construction,GrowLevel,HasDoorEigyoLight,HasEigyoLight,HasNightLight,IsUseXlink,ModelName,UseChimneySmoke,UseMyDesign
0,Invalid,A,0,0,1,7,6,19,0,0,0,0,0,0,0,StrcMarketA00Reserve,0,0
0,MarketLevel1,A,8,20,2,3,3,19,1,0,1,1,1,1,0,StrcMarketA01,0,0
0,MarketLevel2,A,7.5,21,2,18,3,19,2,0,2,1,1,0,0,StrcMarketA02,0,0
0,OfficeLevel1,A,20,24,2,3,6,20,5,0,1,0,1,0,0,StrcOfficeA01,0,1
0,MuseumTent,A,17,26,5,6,5,21,6,0,1,1,1,0,0,StrcMuseumA00,0,0
0,MuseumLevel1,A,20,27,1,23,6,21,7,0,2,0,1,0,0,StrcMuseumA01,0,0
0,MuseumLevel2,A,30,28,1,23,6,21,8,0,3,0,1,0,0,StrcMuseumA02,0,0
315,AirPort,A,362,25,1,3,6,22,10,0,0,0,1,0,0,StrcAirPortA00,0,0
0,TShop,A,365,32,5,25,3,28,11,0,0,1,1,0,1,StrcTsunekichiA00,0,0
0,TanukichiTent,A,17,33,5,6,5,23,12,0,0,1,1,0,0,StrcTanukichiA00,0,0
0,Invalid,A,0,0,1,7,5,21,13,1,0,0,0,0,0,StrcMuseumA00Build,0,0
0,Invalid,A,0,0,1,7,2,21,16,0,0,0,0,0,0,StrcMuseumA00Reserve,0,0
0,Invalid,A,0,0,1,7,6,24,18,0,0,0,0,0,0,StrcTailorA00Reserve,0,0
0,Tailor,A,20,34,2,6,6,24,19,0,1,1,1,1,0,StrcTailorA00,1,0
0,Invalid,A,0,0,1,7,5,24,22,1,0,0,0,0,0,StrcTailorA00Build,0,0
0,Invalid,A,0,0,1,7,5,20,23,1,0,0,0,0,0,StrcOfficeA00Build,0,0
0,Invalid,A,0,0,1,7,5,19,24,1,0,0,0,0,0,StrcMarketA00Build,0,0
0,Invalid,A,0,0,1,7,6,25,29,0,0,0,0,0,0,StrcCampsiteReserveA00,0,0
0,Invalid,A,0,0,1,7,6,25,30,0,1,0,0,0,0,StrcCampsiteA00,0,0
0,CampSite,A,28.8,35,5,6,5,25,31,0,2,1,1,0,0,StrcCampsiteTentA00,0,0
0,Studio,A,20,36,2,6,2,29,32,0,0,0,1,0,0,StrcStudioA00,0,0
0,MuseumLevel2,A,30,47,1,23,6,21,56,0,4,0,1,0,0,StrcMuseumA02,0,0
