DoorDecoZOffset,HouseDoorAnim,HouseDoorShape,CustomizeSortID,Material,UniqueID,DecoForbidden,Dummy,HasDoorWindow,LatchBolt,ModelName
0,KnobRotate,Round,302,2,0,0,0,0,1,HouseDoorStandardAR
0,KnobRotate,Square,302,2,2,0,0,0,1,HouseDoorStandardAS
0,Knob,Square,1308,3,3,0,0,0,0,HouseDoorIronAS
0,Knob,Round,1308,3,4,0,0,0,0,HouseDoorIronAR
0.19,KnobRotate,Square,1102,2,5,0,0,0,1,HouseDoorIronpartsAS
0.19,KnobRotate,Round,1102,2,6,0,0,0,1,HouseDoorIronpartsAR
0,PlayerTent,Square,0,5,7,1,0,1,0,HouseTentPADoor
0,NpcTent,Square,0,5,8,1,0,1,0,HouseTentNADoor
0.13,Knob,Square,402,2,9,0,0,0,1,HouseDoorReliefAS
0.13,Knob,Round,402,2,10,0,0,0,1,HouseDoorReliefAR
0,Knob,Square,1202,2,14,0,0,0,0,HouseDoorJapaneseAS
0,Knob,Round,1202,2,15,0,0,0,0,HouseDoorJapaneseAR
0,KnobRotate,Square,602,2,16,0,0,1,1,HouseDoorWindowAS
0,KnobRotate,Round,602,2,17,0,0,1,1,HouseDoorWindowAR
0,Knob,Square,903,2,18,0,0,1,1,HouseDoorIronGrillAS
0,Knob,Round,903,2,19,0,0,1,1,HouseDoorIronGrillAR
0,Knob,Square,1004,2,20,0,0,1,0,HouseDoorChineseAS
0,Knob,Round,1004,2,21,0,0,1,0,HouseDoorChineseAR
0,Knob,Square,206,2,22,0,0,0,1,HouseDoorSimpleAS
0,Knob,Round,206,2,23,0,0,0,1,HouseDoorSimpleAR
0,NpcTent,Square,0,0,24,1,1,0,0,
0,NpcTent,Square,0,0,25,1,1,0,0,
0,Knob,Square,1405,2,26,0,0,0,1,HouseDoorCarvingAS
0,Knob,Round,1405,2,27,0,0,0,1,HouseDoorCarvingAR
0,KnobRotate,Square,501,2,28,0,0,1,1,HouseDoorCercleWindowAS
0,KnobRotate,Round,501,2,29,0,0,1,1,HouseDoorCercleWindowAR
0.11,KnobRotate,Square,702,2,30,0,0,1,1,HouseDoorVerticalWindowAS
0.11,KnobRotate,Round,702,2,31,0,0,1,1,HouseDoorVerticalWindowAR
0,Knob,Square,803,2,32,0,0,1,0,HouseDoorLatticeAS
0,Knob,Round,803,2,33,0,0,1,0,HouseDoorLatticeAR
0.32,Knob,Square,103,2,34,0,0,0,0,HouseDoorSimplicityAS
0.32,Knob,Round,103,2,35,0,0,0,0,HouseDoorSimplicityAR
0,PlayerTent,Square,0,0,37,1,1,0,0,
0,NpcTent,Square,0,0,38,1,1,0,0,
0,NpcTent,Square,0,5,39,1,0,1,0,HouseTentNBDoor
0,Knob,Square,904,2,40,0,0,1,1,HouseDoorIronGrillBS
