HouseColor,CustomizeSortID,HouseShapeUniqueID,Material,UniqueID,Dummy,a241524a u8,ModelName
Red,1001,0,6,0,0,0,HouseRoofPA04StandardA
Pink,1007,0,6,3,0,0,HouseRoofPA04StandardB
Invalid,0,3,5,4,1,0,
Invalid,0,4,5,5,1,0,
Invalid,4002,0,6,6,0,0,HouseRoofPA04ThatchedA
Invalid,3007,0,6,7,0,0,HouseRoofPA04StoneA
Invalid,2001,0,6,8,0,0,HouseRoofPA04WesterntileA
Invalid,0,5,6,9,1,0,
Red,1,7,2,10,0,0,HouseRoofPA00StandardA
Pink,7,7,2,11,0,0,HouseRoofPA00StandardB
Yellow,2,7,2,12,0,0,HouseRoofPA00StandardC
Green,3,7,2,13,0,0,HouseRoofPA00StandardD
LightBlue,4,7,2,14,0,0,HouseRoofPA00StandardE
Blue,5,7,2,15,0,0,HouseRoofPA00StandardF
Purple,6,7,2,16,0,0,HouseRoofPA00StandardG
Black,8,7,2,17,0,0,HouseRoofPA00StandardH
Invalid,0,6,6,18,1,0,
Invalid,404,1,6,19,0,0,HouseRoofNASlateA
Invalid,414,1,3,20,0,0,HouseRoofNAMetalA
Invalid,422,1,6,21,0,0,HouseRoofNATileA
Invalid,303,8,6,22,0,0,HouseRoofPB04SlateA
Invalid,4005,0,6,23,0,0,HouseRoofPA04ThatchedB
Invalid,4001,0,6,24,0,0,HouseRoofPA04ThatchedC
Invalid,4003,0,6,25,0,0,HouseRoofPA04ThatchedD
Invalid,4006,0,6,26,0,0,HouseRoofPA04ThatchedE
Invalid,522,9,2,27,0,0,HouseRoofNBWoodtileA
Invalid,532,9,6,28,0,0,HouseRoofNBThatchedA
Invalid,501,9,2,29,0,0,HouseRoofNBWoodpanelA
Invalid,608,10,6,30,0,0,HouseRoofNCJapaneseA
Invalid,622,10,6,31,0,0,HouseRoofNCThatchedA
Invalid,612,10,2,32,0,0,HouseRoofNCStoneweightA
Invalid,0,11,6,33,1,0,
Invalid,0,12,6,34,1,0,
Invalid,716,13,6,35,0,0,HouseRoofNDStoneA
Invalid,722,13,6,36,0,0,HouseRoofNDThatchedA
Invalid,703,13,2,37,0,0,HouseRoofNDWoodA
Red,11,14,6,38,0,0,HouseRoofPA01StandardA
Red,31,16,6,39,0,0,HouseRoofPA03StandardA
Invalid,421,1,6,40,0,0,HouseRoofNATileB
Invalid,423,1,6,41,0,0,HouseRoofNATileC
Invalid,428,1,6,42,0,0,HouseRoofNATileD
Invalid,426,1,6,43,0,0,HouseRoofNATileE
Invalid,424,1,6,44,0,0,HouseRoofNATileF
