AppearanceLevel,CustomizeSortID,DefaultDoorUniqueID,DefaultRoofUniqueID,DefaultWallUniqueID,HousePartsType,UniqueID,DoorBellName,Name
Level04,15,0,0,0,0,0,DoorBell_House_Standard1_Pl,ノーマルないえXL
Invalid,1,9,19,14,1,1,DoorBell_House_Standard1_Npc,コンパクトないえA
Tent,0,7,4,7,0,3,,プレイヤテント
Invalid,0,8,5,8,1,4,,NPCテント
Invalid,0,24,9,11,1,5,,NPC売地
Invalid,0,25,18,12,1,6,,NPC売約済み
Level00,11,17,10,13,0,7,DoorBell_House_Standard1_Pl,ノーマルないえXS
Invalid,2,0,27,24,1,9,DoorBell_House_Standard2_Npc,コンパクトないえB
Invalid,3,32,30,27,1,10,DoorBell_House_Oriental1_Npc,コンパクトないえC
Invalid,0,37,33,30,0,11,,プレイヤ家移設予定地
Invalid,0,38,34,31,1,12,,NPC家移設予定地
Invalid,4,35,35,32,1,13,DoorBell_House_Fantasy1_Npc,コンパクトないえD
Level01,12,17,38,35,0,14,DoorBell_House_Standard1_Pl,ノーマルないえS
Level02,13,17,47,64,0,15,DoorBell_House_Standard1_Pl,ノーマルないえM
Level03,14,17,39,37,0,16,DoorBell_House_Standard1_Pl,ノーマルないえL
