HouseDoorStep,CustomizeSortID,9c2d6dc6 u16,HouseShapeUniqueID,UniqueID,LightParamName,ModelName,UseCurtain,UseExteriorLight
Normal,3003,3,0,0,HouseWallPA04StandardA,HouseWallPA04StandardA,1,1
Normal,3002,3,0,5,HouseWallPA04StandardA,HouseWallPA04StandardB,1,1
Normal,3005,3,0,6,HouseWallPA04StandardA,HouseWallPA04StandardC,1,1
Tent,0,42,3,7,HouseTentPA,HouseTentPA,0,0
Tent,0,42,4,8,HouseTentNA,HouseTentNA,0,0
Normal,4007,3,0,9,HouseWallPA04WoodframeA,HouseWallPA04WoodframeA,1,1
Normal,2006,3,0,10,HouseWallPA04StoneA,HouseWallPA04StoneA,1,1
None,0,7,5,11,HouseWallNForSale,HouseWallNForSale,0,0
None,0,7,6,12,HouseWallNSoldOut,HouseWallNSoldOut,0,0
Normal,0,6,7,13,HouseWallPA00StandardA,HouseWallPA00StandardA,0,0
Normal,28,3,1,14,HouseWallNAWoodsidingA,HouseWallNAWoodsidingA,1,1
Normal,35,3,1,15,HouseWallNABrickA,HouseWallNABrickA,1,1
Normal,11,3,1,16,HouseWallNAStuccoA,HouseWallNAStuccoA,1,1
Normal,216,3,8,17,HouseWallPB04WoodsidngA,HouseWallPB04WoodsidngA,1,1
Normal,1007,6,0,19,HouseWallPA04StuccoA,HouseWallPA04StuccoA,1,1
Normal,4005,3,0,20,HouseWallPA04WoodframeA,HouseWallPA04WoodframeB,1,1
Normal,4001,3,0,21,HouseWallPA04WoodframeA,HouseWallPA04WoodframeC,1,1
Normal,4004,3,0,22,HouseWallPA04WoodframeA,HouseWallPA04WoodframeD,1,1
Normal,4003,3,0,23,HouseWallPA04WoodframeA,HouseWallPA04WoodframeE,1,1
Normal,57,3,9,24,HouseWallNBStuccoA,HouseWallNBStuccoA,1,1
Normal,74,3,9,25,HouseWallNBLogA,HouseWallNBLogA,1,1
Normal,64,3,9,26,HouseWallNBStoneA,HouseWallNBStoneA,1,1
Normal,86,3,10,27,HouseWallNCJapaneseA,HouseWallNCJapaneseA,1,1
Normal,91,3,10,28,HouseWallNCOrientalA,HouseWallNCOrientalA,1,1
Normal,106,3,10,29,HouseWallNCWoodA,HouseWallNCWoodA,1,1
None,0,7,11,30,HouseWallHouseMovingPA,HouseWallHouseMovingPA,0,0
None,0,7,12,31,HouseWallHouseMovingNA,HouseWallHouseMovingNA,0,0
Normal,117,3,13,32,HouseWallNDStuccoA,HouseWallNDStuccoA,1,1
Normal,123,3,13,33,HouseWallNDSoilA,HouseWallNDSoilA,1,1
Normal,137,3,13,34,HouseWallNDWoodA,HouseWallNDWoodA,1,1
Normal,0,3,14,35,HouseWallPA01StandardA,HouseWallPA01StandardA,0,0
Tent,0,42,4,36,HouseTentNB,HouseTentNB,0,0
Normal,0,3,16,37,HouseWallPA03StandardA,HouseWallPA03StandardA,1,1
Normal,16,3,1,42,HouseWallNAStuccoA,HouseWallNAStuccoB,1,1
Normal,15,3,1,43,HouseWallNAStuccoA,HouseWallNAStuccoC,1,1
Normal,12,3,1,44,HouseWallNAStuccoA,HouseWallNAStuccoD,1,1
Normal,14,3,1,45,HouseWallNAStuccoA,HouseWallNAStuccoE,1,1
Normal,13,3,1,46,HouseWallNAStuccoA,HouseWallNAStuccoF,1,1
Normal,17,3,1,47,HouseWallNAStuccoA,HouseWallNAStuccoG,1,1
Normal,18,3,1,48,HouseWallNAStuccoA,HouseWallNAStuccoH,1,1
Normal,37,3,1,57,HouseWallNABrickA,HouseWallNABrickB,1,1
Normal,36,3,1,58,HouseWallNABrickA,HouseWallNABrickC,1,1
Normal,34,3,1,59,HouseWallNABrickA,HouseWallNABrickD,1,1
Normal,32,3,1,60,HouseWallNABrickA,HouseWallNABrickE,1,1
Normal,31,3,1,61,HouseWallNABrickA,HouseWallNABrickF,1,1
Normal,33,3,1,62,HouseWallNABrickA,HouseWallNABrickG,1,1
Normal,38,3,1,63,HouseWallNABrickA,HouseWallNABrickH,1,1
Normal,0,3,15,64,HouseWallPA02StandardA,HouseWallPA02StandardA,1,1
Normal,30,3,1,65,HouseWallNAWoodsidingA,HouseWallNAWoodsidingB,1,1
Normal,27,3,1,66,HouseWallNAWoodsidingA,HouseWallNAWoodsidingC,1,1
Normal,21,3,1,67,HouseWallNAWoodsidingA,HouseWallNAWoodsidingD,1,1
Normal,22,3,1,68,HouseWallNAWoodsidingA,HouseWallNAWoodsidingE,1,1
Normal,29,3,1,69,HouseWallNAWoodsidingA,HouseWallNAWoodsidingF,1,1
Normal,25,3,1,70,HouseWallNAWoodsidingA,HouseWallNAWoodsidingG,1,1
Normal,26,3,1,71,HouseWallNAWoodsidingA,HouseWallNAWoodsidingH,1,1
Normal,56,3,9,72,HouseWallNBStuccoA,HouseWallNBStuccoB,1,1
Normal,58,3,9,73,HouseWallNBStuccoA,HouseWallNBStuccoC,1,1
Normal,51,3,9,74,HouseWallNBStuccoA,HouseWallNBStuccoD,1,1
Normal,54,3,9,75,HouseWallNBStuccoA,HouseWallNBStuccoE,1,1
Normal,55,3,9,76,HouseWallNBStuccoA,HouseWallNBStuccoF,1,1
Normal,52,3,9,77,HouseWallNBStuccoA,HouseWallNBStuccoG,1,1
Normal,53,3,9,78,HouseWallNBStuccoA,HouseWallNBStuccoH,1,1
Normal,65,3,9,79,HouseWallNBStoneA,HouseWallNBStoneB,1,1
Normal,63,3,9,80,HouseWallNBStoneA,HouseWallNBStoneC,1,1
