HousePartsType,ModelType,fec3548b.HashRef,StructureInfoHouseType,StructureInfoType,Door0,UniqueID
Player,House,0,Player,House,1,0
Player,House,MainField,Player,House,1,1
Player,House,MainField,Player,House,2,2
Player,House,MainField,Player,House,3,3
Player,House,MainField,Player,House,4,4
Player,House,MainField,Player,House,5,5
Player,House,MainField,Player,House,6,6
Player,House,MainField,Player,House,7,7
Player,House,MainField,Player,House,8,8
Npc,House,MainField,Npc,House,9,9
Npc,House,MainField,Npc,House,10,10
Npc,House,MainField,Npc,House,11,11
Npc,House,MainField,Npc,House,12,12
Npc,House,MainField,Npc,House,13,13
Npc,House,MainField,Npc,House,14,14
Npc,House,MainField,Npc,House,15,15
Npc,House,MainField,Npc,House,16,16
Npc,House,MainField,Npc,House,17,17
Npc,House,MainField,Npc,House,18,18
Player,Facility,MainField,Player,Facility,0,19
Player,Facility,MainField,Player,Facility,0,20
Player,Facility,MainField,Player,Facility,0,21
Player,Facility,MainField,Player,Facility,0,22
Player,Facility,MainField,Player,Facility,0,23
Player,Facility,MainField,Player,Facility,0,24
Player,Facility,MainField,Player,Facility,0,25
Player,Bridge,MainField,Player,Bridge,0,26
Player,Slope,MainField,Player,Slope,0,27
Player,Facility,MainField,Player,Facility,0,28
Player,Facility,PhotoStudioIsland,Player,Facility,0,29
Player,WherearenFacility,WherearenMainIsland,Player,Facility,37,32
Npc,House,WherearenNpcGarden,WherearenNpc,House,38,33
Player,WherearenFacility,WherearenMainIsland,Player,Facility,42,37
Player,WherearenFacility,WherearenMainIsland,Player,Facility,43,38
Player,WherearenFacility,WherearenMainIsland,Player,Facility,44,39
Player,WherearenFacility,WherearenMainIsland,Player,Facility,45,40
Player,WherearenFacility,WherearenMainIsland,Player,Facility,46,41
