CustomizeSortID,StructureInfoUniqueID,UniqueID,ModelName,8062290b u8,UseMyDesign
0,32,0,StrcAccWherearenOfficeA,0,0
13,37,1,StrcAccWherearenSchoolA,1,0
22,38,2,StrcAccWherearenHospitalA,1,0
32,39,3,StrcAccWherearenRestaurantA,1,0
42,40,4,StrcAccWherearenCafeA,1,0
51,41,5,StrcAccWherearenTailorA,1,0
52,41,6,StrcAccWherearenTailorB,1,0
53,41,7,StrcAccWherearenTailorC,1,0
54,41,8,StrcAccWherearenTailorD,1,0
55,41,9,StrcAccWherearenTailorE,1,0
56,41,10,StrcAccWherearenTailorF,1,0
57,41,11,StrcAccWherearenTailorG,1,0
58,41,12,StrcAccWherearenTailorH,1,0
59,41,13,StrcAccWherearenTailorI,1,0
43,40,14,StrcAccWherearenCafeB,1,0
44,40,15,StrcAccWherearenCafeC,1,0
45,40,16,StrcAccWherearenCafeD,1,0
46,40,17,StrcAccWherearenCafeE,1,0
41,40,18,StrcAccWherearenCafeF,1,1
47,40,19,StrcAccWherearenCafeG,1,0
48,40,20,StrcAccWherearenCafeH,1,0
49,40,21,StrcAccWherearenCafeI,1,0
18,37,22,StrcAccWherearenSchoolB,1,0
12,37,23,StrcAccWherearenSchoolC,1,0
11,37,24,StrcAccWherearenSchoolD,1,0
15,37,25,StrcAccWherearenSchoolE,1,0
14,37,26,StrcAccWherearenSchoolF,1,0
17,37,27,StrcAccWherearenSchoolG,1,0
19,37,28,StrcAccWherearenSchoolH,1,0
16,37,29,StrcAccWherearenSchoolI,1,0
23,38,30,StrcAccWherearenHospitalB,1,0
29,38,31,StrcAccWherearenHospitalC,1,0
25,38,32,StrcAccWherearenHospitalD,1,0
26,38,33,StrcAccWherearenHospitalE,1,0
27,38,34,StrcAccWherearenHospitalF,1,0
28,38,35,StrcAccWherearenHospitalG,1,0
24,38,36,StrcAccWherearenHospitalH,1,0
21,38,37,StrcAccWherearenHospitalI,1,1
33,39,38,StrcAccWherearenRestaurantB,1,0
34,39,39,StrcAccWherearenRestaurantC,1,0
35,39,40,StrcAccWherearenRestaurantD,1,0
36,39,41,StrcAccWherearenRestaurantE,1,0
37,39,42,StrcAccWherearenRestaurantF,1,0
38,39,43,StrcAccWherearenRestaurantG,1,0
39,39,44,StrcAccWherearenRestaurantH,1,0
31,39,45,StrcAccWherearenRestaurantI,1,1
