CustomizeSortID,StructureInfoUniqueID,UniqueID,3440cdd7 u8,ModelName
0,32,0,0,StrcDoorWherearenOfficeA
0,37,1,1,StrcDoorWherearenSchoolLock
0,38,2,1,StrcDoorWherearenHospitalLock
0,39,3,1,StrcDoorWherearenRestaurantLock
0,40,4,1,StrcDoorWherearenCafeLock
0,41,5,1,StrcDoorWherearenTailorLock
15,37,6,0,StrcDoorWherearenSchoolA
24,38,7,0,StrcDoorWherearenHospitalA
32,39,8,0,StrcDoorWherearenRestaurantA
44,40,9,0,StrcDoorWherearenCafeA
58,41,10,0,StrcDoorWherearenTailorA
59,41,11,0,StrcDoorWherearenTailorB
54,41,12,0,StrcDoorWherearenTailorC
56,41,13,0,StrcDoorWherearenTailorD
57,41,14,0,StrcDoorWherearenTailorE
55,41,15,0,StrcDoorWherearenTailorF
52,41,16,0,StrcDoorWherearenTailorG
53,41,17,0,StrcDoorWherearenTailorH
51,41,18,0,StrcDoorWherearenTailorI
42,40,19,0,StrcDoorWherearenCafeB
41,40,20,0,StrcDoorWherearenCafeC
45,40,21,0,StrcDoorWherearenCafeD
46,40,22,0,StrcDoorWherearenCafeE
48,40,23,0,StrcDoorWherearenCafeF
49,40,24,0,StrcDoorWherearenCafeG
43,40,25,0,StrcDoorWherearenCafeH
47,40,26,0,StrcDoorWherearenCafeI
33,39,27,0,StrcDoorWherearenRestaurantB
35,39,28,0,StrcDoorWherearenRestaurantC
36,39,29,0,StrcDoorWherearenRestaurantD
37,39,30,0,StrcDoorWherearenRestaurantE
38,39,31,0,StrcDoorWherearenRestaurantF
31,39,32,0,StrcDoorWherearenRestaurantG
34,39,33,0,StrcDoorWherearenRestaurantH
39,39,34,0,StrcDoorWherearenRestaurantI
21,38,35,0,StrcDoorWherearenHospitalB
22,38,36,0,StrcDoorWherearenHospitalC
23,38,37,0,StrcDoorWherearenHospitalD
25,38,38,0,StrcDoorWherearenHospitalE
28,38,39,0,StrcDoorWherearenHospitalF
29,38,40,0,StrcDoorWherearenHospitalG
27,38,41,0,StrcDoorWherearenHospitalH
26,38,42,0,StrcDoorWherearenHospitalI
14,37,43,0,StrcDoorWherearenSchoolB
13,37,44,0,StrcDoorWherearenSchoolC
16,37,45,0,StrcDoorWherearenSchoolD
12,37,46,0,StrcDoorWherearenSchoolE
18,37,47,0,StrcDoorWherearenSchoolF
17,37,48,0,StrcDoorWherearenSchoolG
11,37,49,0,StrcDoorWherearenSchoolH
19,37,50,0,StrcDoorWherearenSchoolI
