CustomizeSortID,StructureInfoUniqueID,UniqueID,3440cdd7 u8,ModelName
0,32,0,0,StrcRoofWherearenOfficeA
0,37,1,1,StrcRoofWherearenSchoolLock
0,38,2,1,StrcRoofWherearenHospitalLock
0,39,3,1,StrcRoofWherearenRestaurantLock
0,40,4,1,StrcRoofWherearenCafeLock
0,41,5,1,StrcRoofWherearenTailorLock
15,37,6,0,StrcRoofWherearenSchoolA
24,38,7,0,StrcRoofWherearenHospitalA
31,39,8,0,StrcRoofWherearenRestaurantA
44,40,9,0,StrcRoofWherearenCafeA
53,41,10,0,StrcRoofWherearenTailorA
54,41,11,0,StrcRoofWherearenTailorB
59,41,12,0,StrcRoofWherearenTailorC
56,41,13,0,StrcRoofWherearenTailorD
57,41,14,0,StrcRoofWherearenTailorE
51,41,15,0,StrcRoofWherearenTailorF
58,41,16,0,StrcRoofWherearenTailorG
55,41,17,0,StrcRoofWherearenTailorH
52,41,18,0,StrcRoofWherearenTailorI
42,40,19,0,StrcRoofWherearenCafeB
41,40,20,0,StrcRoofWherearenCafeC
45,40,21,0,StrcRoofWherearenCafeD
46,40,22,0,StrcRoofWherearenCafeE
48,40,23,0,StrcRoofWherearenCafeF
49,40,24,0,StrcRoofWherearenCafeG
43,40,25,0,StrcRoofWherearenCafeH
47,40,26,0,StrcRoofWherearenCafeI
32,39,27,0,StrcRoofWherearenRestaurantB
33,39,28,0,StrcRoofWherearenRestaurantC
34,39,29,0,StrcRoofWherearenRestaurantD
35,39,30,0,StrcRoofWherearenRestaurantE
38,39,31,0,StrcRoofWherearenRestaurantF
36,39,32,0,StrcRoofWherearenRestaurantG
37,39,33,0,StrcRoofWherearenRestaurantH
39,39,34,0,StrcRoofWherearenRestaurantI
21,38,35,0,StrcRoofWherearenHospitalB
22,38,36,0,StrcRoofWherearenHospitalC
23,38,37,0,StrcRoofWherearenHospitalD
25,38,38,0,StrcRoofWherearenHospitalE
28,38,39,0,StrcRoofWherearenHospitalF
29,38,40,0,StrcRoofWherearenHospitalG
27,38,41,0,StrcRoofWherearenHospitalH
26,38,42,0,StrcRoofWherearenHospitalI
14,37,43,0,StrcRoofWherearenSchoolB
13,37,44,0,StrcRoofWherearenSchoolC
16,37,45,0,StrcRoofWherearenSchoolD
12,37,46,0,StrcRoofWherearenSchoolE
18,37,47,0,StrcRoofWherearenSchoolF
17,37,48,0,StrcRoofWherearenSchoolG
11,37,49,0,StrcRoofWherearenSchoolH
19,37,50,0,StrcRoofWherearenSchoolI
