CustomizeSortID,StructureInfoUniqueID,UniqueID,IsBeforeUnlock,LightParamName,ModelName
0,32,0,0,StrcWallWherearenOfficeA,StrcWallWherearenOfficeA
0,37,1,1,StrcWallWherearenSchoolLock,StrcWallWherearenSchoolLock
0,38,2,1,StrcWallWherearenHospitalLock,StrcWallWherearenHospitalLock
0,39,3,1,StrcWallWherearenRestaurantLock,StrcWallWherearenRestaurantLock
0,40,4,1,StrcWallWherearenCafeLock,StrcWallWherearenCafeLock
0,41,5,1,StrcWallWherearenTailorLock,StrcWallWherearenTailorLock
14,37,6,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolA
24,38,7,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalA
31,39,8,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantA
44,40,9,0,StrcWallWherearenCafeA,StrcWallWherearenCafeA
52,41,10,0,StrcWallWherearenTailorA,StrcWallWherearenTailorA
55,41,11,0,StrcWallWherearenTailorA,StrcWallWherearenTailorB
58,41,12,0,StrcWallWherearenTailorA,StrcWallWherearenTailorC
53,41,13,0,StrcWallWherearenTailorA,StrcWallWherearenTailorD
54,41,14,0,StrcWallWherearenTailorA,StrcWallWherearenTailorE
56,41,15,0,StrcWallWherearenTailorA,StrcWallWherearenTailorF
57,41,16,0,StrcWallWherearenTailorA,StrcWallWherearenTailorG
59,41,17,0,StrcWallWherearenTailorA,StrcWallWherearenTailorH
51,41,18,0,StrcWallWherearenTailorA,StrcWallWherearenTailorI
42,40,19,0,StrcWallWherearenCafeA,StrcWallWherearenCafeB
41,40,20,0,StrcWallWherearenCafeA,StrcWallWherearenCafeC
45,40,21,0,StrcWallWherearenCafeA,StrcWallWherearenCafeD
46,40,22,0,StrcWallWherearenCafeA,StrcWallWherearenCafeE
48,40,23,0,StrcWallWherearenCafeA,StrcWallWherearenCafeF
49,40,24,0,StrcWallWherearenCafeA,StrcWallWherearenCafeG
43,40,25,0,StrcWallWherearenCafeA,StrcWallWherearenCafeH
47,40,26,0,StrcWallWherearenCafeA,StrcWallWherearenCafeI
32,39,27,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantB
33,39,28,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantC
34,39,29,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantD
35,39,30,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantE
38,39,31,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantF
37,39,32,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantG
36,39,33,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantH
39,39,34,0,StrcWallWherearenRestaurantA,StrcWallWherearenRestaurantI
21,38,35,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalB
22,38,36,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalC
23,38,37,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalD
25,38,38,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalE
28,38,39,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalF
29,38,40,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalG
27,38,41,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalH
26,38,42,0,StrcWallWherearenHospitalA,StrcWallWherearenHospitalI
13,37,43,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolB
12,37,44,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolC
15,37,45,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolD
11,37,46,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolE
18,37,47,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolF
16,37,48,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolG
17,37,49,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolH
19,37,50,0,StrcWallWherearenSchoolA,StrcWallWherearenSchoolI
